timestamp_utc,ticker,floor_strike,yes_bid,yes_ask,last_price,volume,open_time,close_time
2026-09-15T00:00:46.315+00:00,KXBTC15M-26SEP142000-00,78316.89,0.0000,1.0000,0.0010,2328002.46,2026-09-14T23:45:00Z,2026-09-15T00:00:00Z
2026-09-15T00:00:48.517+00:00,KXBTC15M-26SEP142000-00,78316.89,0.0000,1.0000,0.0010,2328002.46,2026-09-14T23:45:00Z,2026-09-15T00:00:00Z
2026-09-15T00:00:50.674+00:00,KXBTC15M-26SEP142000-00,78316.89,0.0000,1.0000,0.0010,2328002.46,2026-09-14T23:45:00Z,2026-09-15T00:00:00Z
2026-09-15T00:00:52.821+00:00,KXBTC15M-26SEP142000-00,78316.89,0.0000,1.0000,0.0010,2328002.46,2026-09-14T23:45:00Z,2026-09-15T00:00:00Z
2026-09-15T00:00:54.989+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5500,0.5600,0.5500,199447.40,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:00:57.214+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5500,0.5600,0.5500,199447.40,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:00:59.358+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5500,0.5600,0.5500,199447.40,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:01.504+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5500,0.5600,0.5500,199447.40,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:03.648+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5500,0.5600,0.5500,199447.40,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:05.796+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5800,0.5900,0.5900,257262.21,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:08.182+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5800,0.5900,0.5900,257262.21,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:10.326+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5800,0.5900,0.5900,257262.21,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:12.502+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5800,0.5900,0.5900,257262.21,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:14.646+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5800,0.5900,0.5900,257262.21,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:16.837+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5200,0.5300,0.5200,294401.89,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:19.057+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5200,0.5300,0.5200,294401.89,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:21.206+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5200,0.5300,0.5200,294401.89,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:23.353+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5200,0.5300,0.5200,294401.89,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:25.517+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5200,0.5300,0.5200,294401.89,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:27.661+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5600,0.5700,0.5700,341491.28,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:29.803+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5600,0.5700,0.5700,341491.28,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:31.998+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5600,0.5700,0.5700,341491.28,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:34.193+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5600,0.5700,0.5700,341491.28,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:36.336+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5600,0.5700,0.5700,341491.28,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:38.480+00:00,KXBTC15M-26SEP142015-15,78179.05,0.5600,0.5700,0.5700,341491.28,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:40.620+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6000,0.6100,0.6100,366567.80,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:42.758+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6000,0.6100,0.6100,366567.80,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:44.906+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6000,0.6100,0.6100,366567.80,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:47.045+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6000,0.6100,0.6100,366567.80,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:49.246+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6000,0.6100,0.6100,366567.80,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:51.389+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6900,0.7100,0.7000,428882.38,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:53.534+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6900,0.7100,0.7000,428882.38,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:55.746+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6900,0.7100,0.7000,428882.38,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:01:57.889+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6900,0.7100,0.7000,428882.38,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:00.063+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6900,0.7100,0.7000,428882.38,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:02.213+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6900,0.7100,0.7000,428882.38,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:04.358+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6600,0.6700,0.6700,475822.95,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:06.507+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6600,0.6700,0.6700,475822.95,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
