timestamp_utc,activo,nesting,combo,coste,profit_min_pct,gap_opens_pct,depth_usd,restante_s,ask_leg1,ask_leg2,o_inner,o_outer,o_inner_chainlink,o_outer_chainlink,inner_slug,outer_slug
2026-09-12T00:41:33+00:00,BTC,5min15m,NOout+YESin,1.37,-37.0,-0.059,39.3,206,0.73,0.64,77229.695,77275.305,77249.37070723424,77240.4710372464,btc-updown-5m-1789173600,btc-updown-15m-1789173000
2026-09-12T00:41:33+00:00,ETH,5min15m,NOout+YESin,1.23,-23.0,-0.0988,8.06,206,0.92,0.31,2513.51,2515.995,2513.2801676733916,2513.9468522606294,eth-updown-5m-1789173600,eth-updown-15m-1789173000
2026-09-12T00:41:34+00:00,SOL,5min15m,YESout+NOin,0.94,6.0,0.0588,1.55,205,0.31,0.63,102.18,102.12,102.15103388958015,102.09623848776475,sol-updown-5m-1789173600,sol-updown-15m-1789173000
2026-09-12T00:41:34+00:00,XRP,5min15m,YESout+NOin,1.22,-22.0,0.1105,11.39,205,0.55,0.67,1.3588,1.3573,1.358488611485366,1.3570232454228175,xrp-updown-5m-1789173600,xrp-updown-15m-1789173000
2026-09-12T00:43:48+00:00,BTC,5min15m,NOout+YESin,1.34,-34.0,-0.059,2.33,71,0.35,0.99,77229.695,77275.305,77249.37070723424,77240.4710372464,btc-updown-5m-1789173600,btc-updown-15m-1789173000
2026-09-12T00:43:48+00:00,SOL,5min15m,YESout+NOin,0.99,1.0,0.0588,0.15,71,0.03,0.96,102.18,102.12,102.15103388958015,102.09623848776475,sol-updown-5m-1789173600,sol-updown-15m-1789173000
2026-09-12T00:43:49+00:00,XRP,5min15m,YESout+NOin,1.45,-45.0,0.1105,4.14,70,0.69,0.76,1.3588,1.3573,1.358488611485366,1.3570232454228175,xrp-updown-5m-1789173600,xrp-updown-15m-1789173000
2026-09-12T00:47:33+00:00,BTC,15min60m,YESout+NOin,1.37,-37.0,0.0996,42.24,746,0.88,0.49,77261.64,77184.775,77273.39928346766,77225.71932553886,btc-updown-15m-1789173900,bitcoin-up-or-down-september-11-2026-8pm-et
2026-09-12T00:47:33+00:00,ETH,15min60m,NOout+YESin,1.28,-28.0,-0.1097,19.97,746,0.9,0.38,2512.805,2515.565,2512.898358316418,2514.48811798266,eth-updown-15m-1789173900,ethereum-up-or-down-september-11-2026-8pm-et
2026-09-12T00:47:34+00:00,SOL,15min60m,NOout+YESin,1.31,-31.0,-0.3125,2.64,745,0.98,0.33,102.08,102.4,102.0586458855648,102.39218231144304,sol-updown-15m-1789173900,solana-up-or-down-september-11-2026-8pm-et
2026-09-12T00:47:34+00:00,XRP,15min60m,YESout+NOin,1.43,-43.0,0.1844,67.75,745,0.73,0.7,1.358,1.3555,1.3575330899744484,1.3554573331479514,xrp-updown-15m-1789173900,xrp-up-or-down-september-11-2026-8pm-et
2026-09-12T00:49:37+00:00,BTC,15min60m,YESout+NOin,1.41,-41.0,0.0996,100.45,622,0.92,0.49,77261.64,77184.775,77273.39928346766,77225.71932553886,btc-updown-15m-1789173900,bitcoin-up-or-down-september-11-2026-8pm-et
2026-09-12T00:49:37+00:00,ETH,15min60m,NOout+YESin,1.23,-23.0,-0.1097,26.12,622,0.95,0.28,2512.805,2515.565,2512.898358316418,2514.48811798266,eth-updown-15m-1789173900,ethereum-up-or-down-september-11-2026-8pm-et
2026-09-12T00:49:37+00:00,SOL,15min60m,NOout+YESin,1.2,-20.0,-0.3125,1.68,622,0.99,0.21,102.08,102.4,102.0586458855648,102.39218231144304,sol-updown-15m-1789173900,solana-up-or-down-september-11-2026-8pm-et
2026-09-12T00:49:38+00:00,XRP,15min60m,YESout+NOin,1.4,-40.0,0.1844,6.72,621,0.84,0.56,1.358,1.3555,1.3575330899744484,1.3554573331479514,xrp-updown-15m-1789173900,xrp-up-or-down-september-11-2026-8pm-et
2026-09-12T00:51:03+00:00,BTC,15min60m,YESout+NOin,1.43,-43.0,0.0996,95.5,536,0.93,0.5,77261.64,77184.775,77273.39928346766,77225.71932553886,btc-updown-15m-1789173900,bitcoin-up-or-down-september-11-2026-8pm-et
2026-09-12T00:51:04+00:00,ETH,15min60m,NOout+YESin,1.19,-19.0,-0.1097,2.6,535,0.97,0.22,2512.805,2515.565,2512.898358316418,2514.48811798266,eth-updown-15m-1789173900,ethereum-up-or-down-september-11-2026-8pm-et
2026-09-12T00:51:04+00:00,SOL,15min60m,NOout+YESin,1.116,-11.6,-0.3125,0.6,535,0.996,0.12,102.08,102.4,102.0586458855648,102.39218231144304,sol-updown-15m-1789173900,solana-up-or-down-september-11-2026-8pm-et
2026-09-12T00:51:04+00:00,XRP,15min60m,YESout+NOin,1.48,-48.0,0.1844,7.44,535,0.86,0.62,1.358,1.3555,1.3575330899744484,1.3554573331479514,xrp-updown-15m-1789173900,xrp-up-or-down-september-11-2026-8pm-et
2026-09-12T00:52:38+00:00,BTC,15min60m,YESout+NOin,1.55,-55.0,0.0996,137.24,441,0.94,0.61,77261.64,77184.775,77273.39928346766,77225.71932553886,btc-updown-15m-1789173900,bitcoin-up-or-down-september-11-2026-8pm-et
2026-09-12T00:52:38+00:00,ETH,15min60m,NOout+YESin,1.14,-14.0,-0.1097,9.05,441,0.99,0.15,2512.805,2515.565,2512.898358316418,2514.48811798266,eth-updown-15m-1789173900,ethereum-up-or-down-september-11-2026-8pm-et
2026-09-12T00:52:39+00:00,SOL,15min60m,NOout+YESin,1.058,-5.8,-0.3125,1.49,440,0.998,0.06,102.08,102.4,102.0586458855648,102.39218231144304,sol-updown-15m-1789173900,solana-up-or-down-september-11-2026-8pm-et
2026-09-12T00:52:39+00:00,XRP,15min60m,YESout+NOin,1.54,-54.0,0.1844,8.76,440,0.81,0.73,1.358,1.3555,1.3575330899744484,1.3554573331479514,xrp-updown-15m-1789173900,xrp-up-or-down-september-11-2026-8pm-et
2026-09-12T00:54:47+00:00,BTC,15min60m,YESout+NOin,1.15,-15.0,0.0996,4.0,312,0.99,0.16,77261.64,77184.775,77273.39928346766,77225.71932553886,btc-updown-15m-1789173900,bitcoin-up-or-down-september-11-2026-8pm-et
2026-09-12T00:54:47+00:00,ETH,15min60m,NOout+YESin,1.34,-34.0,-0.1097,17.21,312,0.91,0.43,2512.805,2515.565,2512.898358316418,2514.48811798266,eth-updown-15m-1789173900,ethereum-up-or-down-september-11-2026-8pm-et
2026-09-12T00:54:48+00:00,SOL,15min60m,NOout+YESin,1.138,-13.8,-0.3125,1.12,311,0.998,0.14,102.08,102.4,102.0586458855648,102.39218231144304,sol-updown-15m-1789173900,solana-up-or-down-september-11-2026-8pm-et
2026-09-12T00:54:48+00:00,XRP,15min60m,YESout+NOin,1.31,-31.0,0.1844,4.08,311,0.97,0.34,1.358,1.3555,1.3575330899744484,1.3554573331479514,xrp-updown-15m-1789173900,xrp-up-or-down-september-11-2026-8pm-et
2026-09-12T00:56:18+00:00,BTC,15min60m,YESout+NOin,1.15,-15.0,0.0996,9.6,221,0.99,0.16,77261.64,77184.775,77273.39928346766,77225.71932553886,btc-updown-15m-1789173900,bitcoin-up-or-down-september-11-2026-8pm-et
2026-09-12T00:56:19+00:00,ETH,15min60m,NOout+YESin,1.196,-19.6,-0.1097,20.61,220,0.986,0.21,2512.805,2515.565,2512.898358316418,2514.48811798266,eth-updown-15m-1789173900,ethereum-up-or-down-september-11-2026-8pm-et
2026-09-12T00:56:19+00:00,SOL,15min60m,NOout+YESin,1.109,-10.9,-0.3125,1.65,220,0.999,0.11,102.08,102.4,102.0586458855648,102.39218231144304,sol-updown-15m-1789173900,solana-up-or-down-september-11-2026-8pm-et
2026-09-12T00:56:19+00:00,XRP,15min60m,YESout+NOin,1.69,-69.0,0.1844,3.8,220,0.93,0.76,1.358,1.3555,1.3575330899744484,1.3554573331479514,xrp-updown-15m-1789173900,xrp-up-or-down-september-11-2026-8pm-et
2026-09-12T00:57:56+00:00,BTC,15min60m,YESout+NOin,1.148,-14.8,0.0996,55.33,123,0.998,0.15,77261.64,77184.775,77273.39928346766,77225.71932553886,btc-updown-15m-1789173900,bitcoin-up-or-down-september-11-2026-8pm-et
2026-09-12T00:57:56+00:00,ETH,15min60m,NOout+YESin,1.059,-5.9,-0.1097,6.42,123,0.999,0.06,2512.805,2515.565,2512.898358316418,2514.48811798266,eth-updown-15m-1789173900,ethereum-up-or-down-september-11-2026-8pm-et
2026-09-12T00:57:56+00:00,SOL,15min60m,NOout+YESin,1.049,-4.9,-0.3125,0.75,123,0.999,0.05,102.08,102.4,102.0586458855648,102.39218231144304,sol-updown-15m-1789173900,solana-up-or-down-september-11-2026-8pm-et
2026-09-12T00:57:57+00:00,XRP,15min60m,YESout+NOin,1.82,-82.0,0.1844,10.08,122,0.98,0.84,1.358,1.3555,1.3575330899744484,1.3554573331479514,xrp-updown-15m-1789173900,xrp-up-or-down-september-11-2026-8pm-et
2026-09-12T00:57:57+00:00,BTC,5min15m,YESout+NOin,1.26,-26.0,0.0591,4.29,122,0.87,0.39,77307.335,77261.64,77295.20299261904,77273.39928346766,btc-updown-5m-1789174500,btc-updown-15m-1789173900
2026-09-12T00:57:57+00:00,ETH,5min15m,YESout+NOin,0.8,20.0,0.0092,3.75,122,0.05,0.75,2513.035,2512.805,2511.76471859327,2512.898358316418,eth-updown-5m-1789174500,eth-updown-15m-1789173900
2026-09-12T00:57:58+00:00,SOL,5min15m,NOout+YESin,1.63,-63.0,-0.1176,9.46,121,0.98,0.65,101.96,102.08,101.92211515470707,102.0586458855648,sol-updown-5m-1789174500,sol-updown-15m-1789173900
2026-09-12T00:57:58+00:00,XRP,5min15m,YESout+NOin,1.14,-14.0,0.0147,2.29,121,0.27,0.87,1.3582,1.358,1.3572891370854976,1.3575330899744484,xrp-updown-5m-1789174500,xrp-updown-15m-1789173900
2026-09-12T01:12:33+00:00,BTC,5min15m,YESout+NOin,1.15,-15.0,0.0507,42.14,146,0.99,0.16,77301.525,77262.38,77340.23901101948,77256.36516005419,btc-updown-5m-1789175400,btc-updown-15m-1789174800
2026-09-12T01:12:34+00:00,ETH,5min15m,YESout+NOin,1.69,-69.0,0.1568,26.52,145,0.99,0.7,2513.37,2509.435,2513.8768,2509.76976902443,eth-updown-5m-1789175400,eth-updown-15m-1789174800
