timestamp_utc,activo,marco,slug,market_id,condition_id,ts_end,offset_s,direccion_implicita,ask_implicita,profundidad_implicita_eur,ratio_implicita_vs_stake,mejor_ask_implicita,n_niveles_implicita
2026-08-19T09:10:02.964+00:00,SOL,5min,sol-updown-5m-1787130300,3693109,0x736f94e7da0986a028641503721d3e1dcf34242e6a3c3bdfcef21e7252050a05,1787130600,2,Down,0.51,10.35,9.9,0.51,7
2026-08-19T09:10:03.698+00:00,SOL,5min,sol-updown-5m-1787130300,3693109,0x736f94e7da0986a028641503721d3e1dcf34242e6a3c3bdfcef21e7252050a05,1787130600,3,Down,0.51,10.35,9.9,0.51,7
2026-08-19T09:10:00.700+00:00,BNB,5min,bnb-updown-5m-1787130300,3693111,0x48fae190d42b30820e2fa31d673d6894e4335065c4aa66ff59bfbd3a569a5081,1787130600,0,Down,0.51,7.8,7.4,0.51,7
2026-08-19T09:10:01.670+00:00,BNB,5min,bnb-updown-5m-1787130300,3693111,0x48fae190d42b30820e2fa31d673d6894e4335065c4aa66ff59bfbd3a569a5081,1787130600,1,Down,0.51,7.8,7.4,0.51,7
2026-08-19T09:10:02.969+00:00,BNB,5min,bnb-updown-5m-1787130300,3693111,0x48fae190d42b30820e2fa31d673d6894e4335065c4aa66ff59bfbd3a569a5081,1787130600,2,Down,0.51,7.8,7.4,0.51,7
2026-08-19T09:10:03.711+00:00,BNB,5min,bnb-updown-5m-1787130300,3693111,0x48fae190d42b30820e2fa31d673d6894e4335065c4aa66ff59bfbd3a569a5081,1787130600,3,Down,0.51,7.8,7.4,0.51,7
2026-08-19T09:10:00.773+00:00,XRP,5min,xrp-updown-5m-1787130300,3693114,0xd44078f8a675777d071086b42b513558482a3215b00c66e1acde211c72c964c3,1787130600,0,Down,0.51,7.8,7.4,0.51,7
2026-08-19T09:10:01.618+00:00,XRP,5min,xrp-updown-5m-1787130300,3693114,0xd44078f8a675777d071086b42b513558482a3215b00c66e1acde211c72c964c3,1787130600,1,Down,0.51,7.8,7.4,0.51,7
2026-08-19T09:10:03.035+00:00,XRP,5min,xrp-updown-5m-1787130300,3693114,0xd44078f8a675777d071086b42b513558482a3215b00c66e1acde211c72c964c3,1787130600,2,Down,0.51,7.8,7.4,0.51,7
2026-08-19T09:10:03.716+00:00,XRP,5min,xrp-updown-5m-1787130300,3693114,0xd44078f8a675777d071086b42b513558482a3215b00c66e1acde211c72c964c3,1787130600,3,Down,0.51,7.8,7.4,0.51,7
2026-08-19T09:10:00.633+00:00,ETH,5min,eth-updown-5m-1787130300,3693113,0x9eb18aded66332f579d606f0d9399ffbd680f366bddfddb8a0e1878f90407685,1787130600,0,Down,0.51,7.8,7.4,0.51,9
2026-08-19T09:10:01.742+00:00,ETH,5min,eth-updown-5m-1787130300,3693113,0x9eb18aded66332f579d606f0d9399ffbd680f366bddfddb8a0e1878f90407685,1787130600,1,Down,0.51,7.8,7.4,0.51,9
2026-08-19T09:10:02.963+00:00,ETH,5min,eth-updown-5m-1787130300,3693113,0x9eb18aded66332f579d606f0d9399ffbd680f366bddfddb8a0e1878f90407685,1787130600,2,Down,0.51,7.8,7.4,0.51,9
2026-08-19T09:10:03.733+00:00,ETH,5min,eth-updown-5m-1787130300,3693113,0x9eb18aded66332f579d606f0d9399ffbd680f366bddfddb8a0e1878f90407685,1787130600,3,Down,0.51,7.8,7.4,0.51,9
2026-08-19T09:15:01.183+00:00,BTC,5min,btc-updown-5m-1787130600,3693120,0x033278e7388454207f00fd6cf71d69e20cc1309240b6cd4b550acda24e45ede3,1787130900,0,Down,0.5,153.12,145.8,0.5,16
2026-08-19T09:15:02.938+00:00,BTC,5min,btc-updown-5m-1787130600,3693120,0x033278e7388454207f00fd6cf71d69e20cc1309240b6cd4b550acda24e45ede3,1787130900,1,Down,0.5,153.12,145.8,0.5,16
2026-08-19T09:15:05.525+00:00,BTC,5min,btc-updown-5m-1787130600,3693120,0x033278e7388454207f00fd6cf71d69e20cc1309240b6cd4b550acda24e45ede3,1787130900,2,Down,0.5,153.12,145.8,0.5,16
2026-08-19T09:15:07.829+00:00,BTC,5min,btc-updown-5m-1787130600,3693120,0x033278e7388454207f00fd6cf71d69e20cc1309240b6cd4b550acda24e45ede3,1787130900,3,Down,0.5,153.12,145.8,0.5,15
2026-08-19T09:15:00.885+00:00,SOL,15min,sol-updown-15m-1787130000,3692769,0x40e66f3b2105525ba0f0e78778e1d5b8521856d539636d467ae5a23aefd847f0,1787130900,0,Up,0.66,39.8,37.9,0.66,8
2026-08-19T09:15:02.337+00:00,SOL,15min,sol-updown-15m-1787130000,3692769,0x40e66f3b2105525ba0f0e78778e1d5b8521856d539636d467ae5a23aefd847f0,1787130900,1,Up,0.66,39.8,37.9,0.66,8
2026-08-19T09:15:05.044+00:00,SOL,15min,sol-updown-15m-1787130000,3692769,0x40e66f3b2105525ba0f0e78778e1d5b8521856d539636d467ae5a23aefd847f0,1787130900,2,Up,0.66,39.8,37.9,0.66,8
2026-08-19T09:15:07.873+00:00,SOL,15min,sol-updown-15m-1787130000,3692769,0x40e66f3b2105525ba0f0e78778e1d5b8521856d539636d467ae5a23aefd847f0,1787130900,3,Down,0.39,6.91,6.6,0.39,8
2026-08-19T09:15:01.009+00:00,DOGE,15min,doge-updown-15m-1787130000,3692773,0x978eecf3fd946bb13b066a3948cc0a959d77a00ec8092f0cc37c21ab0d9bf642,1787130900,0,Down,0.8,4.0,3.8,0.8,5
2026-08-19T09:15:02.674+00:00,DOGE,15min,doge-updown-15m-1787130000,3692773,0x978eecf3fd946bb13b066a3948cc0a959d77a00ec8092f0cc37c21ab0d9bf642,1787130900,1,Down,0.8,4.0,3.8,0.8,5
2026-08-19T09:15:05.284+00:00,DOGE,15min,doge-updown-15m-1787130000,3692773,0x978eecf3fd946bb13b066a3948cc0a959d77a00ec8092f0cc37c21ab0d9bf642,1787130900,2,Down,0.8,4.0,3.8,0.8,5
2026-08-19T09:15:08.332+00:00,DOGE,15min,doge-updown-15m-1787130000,3692773,0x978eecf3fd946bb13b066a3948cc0a959d77a00ec8092f0cc37c21ab0d9bf642,1787130900,3,Down,0.8,4.0,3.8,0.8,5
2026-08-19T09:15:00.908+00:00,ETH,15min,eth-updown-15m-1787130000,3692780,0x56613d852e57a2408178fefb568a9011e3c8d1f54b352e1ed134ca83258726a7,1787130900,0,Up,0.87,35.4,33.7,0.87,7
2026-08-19T09:15:02.852+00:00,ETH,15min,eth-updown-15m-1787130000,3692780,0x56613d852e57a2408178fefb568a9011e3c8d1f54b352e1ed134ca83258726a7,1787130900,1,Up,0.87,35.4,33.7,0.87,7
2026-08-19T09:15:05.327+00:00,ETH,15min,eth-updown-15m-1787130000,3692780,0x56613d852e57a2408178fefb568a9011e3c8d1f54b352e1ed134ca83258726a7,1787130900,2,Up,0.87,35.4,33.7,0.87,7
2026-08-19T09:15:08.425+00:00,ETH,15min,eth-updown-15m-1787130000,3692780,0x56613d852e57a2408178fefb568a9011e3c8d1f54b352e1ed134ca83258726a7,1787130900,3,Up,0.87,35.4,33.7,0.87,7
2026-08-19T09:15:01.025+00:00,BTC,15min,btc-updown-15m-1787130000,3692774,0x07c9e888c4267b0a7590fc7a84f99a150621de63423727b33c092aa560572cc3,1787130900,0,Down,0.35,7.0,6.7,0.35,16
2026-08-19T09:15:03.220+00:00,BTC,15min,btc-updown-15m-1787130000,3692774,0x07c9e888c4267b0a7590fc7a84f99a150621de63423727b33c092aa560572cc3,1787130900,1,Down,0.35,7.0,6.7,0.35,16
2026-08-19T09:15:05.950+00:00,BTC,15min,btc-updown-15m-1787130000,3692774,0x07c9e888c4267b0a7590fc7a84f99a150621de63423727b33c092aa560572cc3,1787130900,2,Down,0.35,7.0,6.7,0.35,16
2026-08-19T09:15:08.554+00:00,BTC,15min,btc-updown-15m-1787130000,3692774,0x07c9e888c4267b0a7590fc7a84f99a150621de63423727b33c092aa560572cc3,1787130900,3,Down,0.35,7.0,6.7,0.35,16
