timestamp_utc,wallet,market_slug,title,outcome,asset,end_date,avg_price_wallet,size_wallet,usd_cost_wallet,cur_price_gamma,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion
2026-08-27T07:12:23+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-ethereum-dip-to-2100-august-24-30-2026,"Will Ethereum dip to $2,100 August 24-30?",No,58343613738294275797811929721886068644484315319337533474010157651170805282825,2026-08-31,0.9778,130.9606,128.0588,0.9925,0.996,3814.6,3633.0
2026-08-27T07:12:23+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-74k-on-august-27-2026,"Will Bitcoin dip to $74,000 on August 27?",No,72251220911818933528291263650275666843653975985580387214815153693420876504742,2026-08-28,0.991,128.0933,126.9404,0.992,0.994,3131.55,2982.4
2026-08-27T07:12:23+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-76k-on-august-27-2026,"Will Bitcoin dip to $76,000 on August 27?",Yes,50539761852892910980061358764259734138942345278954355465554135756579170674387,2026-08-28,0.0399,120.9555,4.8278,0.055,0.06,0.0,0.0
2026-08-27T07:12:24+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-74k-on-august-26-2026,"Will Bitcoin dip to $74,000 on August 26?",Yes,51226996796488616512569493684145074141938003252072379255223679224903131075679,2026-08-27,0.001,119.617,0.1197,0,,,
2026-08-27T07:12:24+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-86k-on-august-27-2026,"Will the price of Bitcoin be above $86,000 on August 27?",No,67839668743088410335232311490920275252378161584206326090804013351733179467982,2026-08-27,0.995,108.9,108.3555,0.9985,0.999,9.99,9.5
2026-08-27T07:12:24+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-72k-on-august-28-2026,"Will the price of Bitcoin be above $72,000 on August 28?",Yes,68192989920943148443045874022298442741391351872101785386864545014820036265788,2026-08-28,0.995,100,99.5,0.9945,0.996,53801.23,51239.3
2026-08-27T07:12:25+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-ethereum-reach-2900-august-24-30-2026,"Will Ethereum reach $2,900 August 24-30?",No,60339431619638114167759178611417162082139353982363641619155290805887352473605,2026-08-31,0.9716,99.4137,96.5986,0.98,0.983,14428.11,13741.1
2026-08-27T07:12:25+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-72k-on-august-26-2026,"Will Bitcoin dip to $72,000 on August 26?",Yes,2840125707000605352912947828652813190175675618343746935404457869804215056655,2026-08-27,0.0022,76.8545,0.1729,0,,,
2026-08-27T07:12:25+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-75k-in-august-2026,"Will Bitcoin dip to $75,000 in August?",No,33845737663413960170985492786440998521551287949819743740394448926263971272381,2026-09-01,0.7296,74.3271,54.2299,0.745,0.75,23765.78,22634.1
2026-08-27T07:12:26+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-reach-80k-on-august-27-2026,"Will Bitcoin reach $80,000 on August 27?",No,4757374591284939172626790594597744924932495272808774788390287860201413114383,2026-08-28,0.5838,68.9472,40.2571,0.615,0.64,0.0,0.0
