timestamp_utc,market_id,condition_id,activo,marco,end_date,restante_s,ask_yes,ask_no,ask_sum,bid_yes,bid_no
2026-07-28T12:38:46+00:00,3126297,0xb299731bf8d98c7abb54bfa3dc35cf819ec4467ce206b77d766a1c247f1a1bba,BNB,5min,2026-07-28T12:55:00+00:00,973.8,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:50+00:00,3117016,0x0f1edeef156ceb4c6fbfd7bee13c6d1850ac950a32b565c6de490a8a7ffc5ec3,BTC,60min,2026-07-28T13:00:00+00:00,1269.0,0.36,0.65,1.01,0.35,0.64
2026-07-28T12:38:51+00:00,3117019,0xd6b99375a4185d0edf71dc16fe55fbbfe396f2d83d50b65bcf1ccd411dee2fbb,BTC,60min,2026-07-28T14:00:00+00:00,4868.8,0.53,0.5,1.03,0.5,0.47
2026-07-28T12:38:51+00:00,3117023,0x81f726f1612e105296d367de9216376ef8613da5d49373d38f36d5bca545399e,BTC,60min,2026-07-28T15:00:00+00:00,8468.6,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:38:51+00:00,3117028,0x4fe1691d5e96e24c61693d091dcc2553787fc5b7c44f1e4d6ec135d84b013e17,BTC,60min,2026-07-28T16:00:00+00:00,12068.4,0.5,0.51,1.01,0.49,0.5
2026-07-28T12:38:51+00:00,3117032,0xa23395869f1c91711a3017deb49cb9a33c60df9299c8bde516ead9140a2c2b2a,BTC,60min,2026-07-28T17:00:00+00:00,15668.2,0.5,0.51,1.01,0.49,0.5
2026-07-28T12:38:51+00:00,3117035,0x28d77fc3d2688ab88d5facd33469307d3d090dbd3ff49027f98c292db18cd128,BTC,60min,2026-07-28T18:00:00+00:00,19268.0,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:52+00:00,3117039,0xad516d4180c9828a645a35d1ae0735c8732f4f60333c71fb74d11a8b856da457,BTC,60min,2026-07-28T19:00:00+00:00,22867.8,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:52+00:00,3117044,0x70d8c5f3b2d1e23765f59b05f7d3d3a217213ca1c01c758c20df20ad289f813d,BTC,60min,2026-07-28T20:00:00+00:00,26467.6,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:52+00:00,3118219,0x48bd4cae61b8e87c2b9e1664e2d29f0a91c1e9d5b28bc0d1d003c2538a2abf33,BTC,60min,2026-07-28T21:00:00+00:00,30067.3,0.5,0.51,1.01,0.49,0.5
