timestamp_utc,slug,market_id,condition_id,activo,end_date,restante_s,py_yes,lado,direccion,best_bid,best_ask,spread,outcome_real,acierto
2026-07-28T10:49:50+00:00,bnb-updown-5m-1785235500,3126055,0x5c77495677790263ea755a2bd5bf95f3bd903c1eb064af01b92a6a10342225c1,BNB,2026-07-28T10:50:00+00:00,9.8,0.205,Down,BUY_NO,0.11,0.21,0.1,Down,1
2026-07-28T10:54:50+00:00,xrp-updown-5m-1785235800,3126066,0x24d52c8f49ca76aeeb752a4f3882315f555865b5ee45faa4b427635e55d3f45e,XRP,2026-07-28T10:55:00+00:00,9.9,0.83,Up,BUY_YES,0.92,0.99,0.07,Up,1
2026-07-28T10:54:50+00:00,doge-updown-5m-1785235800,3126071,0x7a1ceff0e20392b140d996f44d86bea2764e44714a0e76f374d735bb5b9c5fa1,DOGE,2026-07-28T10:55:00+00:00,9.9,0.64,Up,BUY_YES,0.9,0.98,0.08,Up,1
2026-07-28T10:54:50+00:00,bnb-updown-5m-1785235800,3126068,0x8a005d9413bae641119064430561b14e2a7731cf29d8bdd3ad68e5fbecab0da3,BNB,2026-07-28T10:55:00+00:00,9.9,0.38,Down,BUY_NO,0.03,0.6,0.57,Down,1
2026-07-28T10:59:50+00:00,xrp-updown-5m-1785236100,3126072,0x8ddcaa257004910f7b075f709235e59cf7c68c9a4c62b680a796b4474995b7e5,XRP,2026-07-28T11:00:00+00:00,9.9,0.085,Down,BUY_NO,,0.01,,Down,1
2026-07-28T10:59:50+00:00,doge-updown-5m-1785236100,3126076,0x3f7ffb6590510e8f1e50e866842ae13c0c856986eb330940273812deac7ec1da,DOGE,2026-07-28T11:00:00+00:00,9.9,0.355,Down,BUY_NO,0.38,0.55,0.17,Down,1
2026-07-28T10:59:50+00:00,bnb-updown-5m-1785236100,3126077,0x8442b70658eabbc3132d96a6e83367edb59b8b6094a38a6372e39e6d3bd31b18,BNB,2026-07-28T11:00:00+00:00,9.9,0.005,Down,BUY_NO,,0.01,,Down,1
2026-07-28T11:04:50+00:00,xrp-updown-5m-1785236400,3126086,0xab45cbe3fc09239567c5bfd61660b496661c9616b104b143e77eba34f0cb81f7,XRP,2026-07-28T11:05:00+00:00,9.9,0.445,Down,BUY_NO,,0.001,,Down,1
2026-07-28T11:04:50+00:00,doge-updown-5m-1785236400,3126081,0xe9eae750a22662706ee5abae879e2d12badb3669869f6274ffaaa8571c0ae999,DOGE,2026-07-28T11:05:00+00:00,9.9,0.08,Down,BUY_NO,,0.01,,Down,1
2026-07-28T11:04:50+00:00,bnb-updown-5m-1785236400,3126092,0x59d3d81f85621360322d12e3132474415a514918d41e6be50a86d0643d4a6e53,BNB,2026-07-28T11:05:00+00:00,9.9,0.73,Up,BUY_YES,0.04,0.2,0.16,Down,0
2026-07-28T11:09:50+00:00,xrp-updown-5m-1785236700,3126098,0x547a091da74dad075e754c27471e4b1bc8443e2d0e874bb565430bbda6bdd15e,XRP,2026-07-28T11:10:00+00:00,9.9,0.005,Down,BUY_NO,,0.01,,Down,1
2026-07-28T11:09:50+00:00,doge-updown-5m-1785236700,3126094,0x693de3f7270293ad7a43e8622d136ea0c7c8b6c971a2a78452ab05c72eddaa81,DOGE,2026-07-28T11:10:00+00:00,9.9,0.045,Down,BUY_NO,,0.01,,Down,1
2026-07-28T11:14:50+00:00,xrp-updown-5m-1785237000,3126112,0xdb7b098c00a4ec95a02e59a44700583685fc7c5bbacaca6ae5422fe8b6771526,XRP,2026-07-28T11:15:00+00:00,9.9,0.115,Down,BUY_NO,,0.01,,Down,1
2026-07-28T11:19:50+00:00,doge-updown-5m-1785237300,3126110,0x39a472f93d3f7867844e707d7809ec4c6d9a7a300bb4de5daae45c3f6623c1c3,DOGE,2026-07-28T11:20:00+00:00,9.9,0.55,Up,BUY_YES,0.99,,,Up,1
2026-07-28T11:24:50+00:00,xrp-updown-5m-1785237600,3126126,0x9175d197366efdee02771bfd25424221855ee3e98d50ff14296d255e2b90db59,XRP,2026-07-28T11:25:00+00:00,9.9,0.26,Down,BUY_NO,0.001,0.002,0.001,Down,1
2026-07-28T11:24:50+00:00,doge-updown-5m-1785237600,3126127,0xda53e8b8d26166cb8f5ffdbcc1a444869f7093ac8420af1a79d66bcb1be2e62b,DOGE,2026-07-28T11:25:00+00:00,9.9,0.38,Down,BUY_NO,0.001,0.01,0.009,Down,1
2026-07-28T11:24:50+00:00,bnb-updown-5m-1785237600,3126124,0x58567bf8e0fc3e6a3e67245abe41def36848a5e5c9e1782c5dd90555546489c3,BNB,2026-07-28T11:25:00+00:00,9.8,0.205,Down,BUY_NO,,0.01,,Down,1
2026-07-28T11:29:50+00:00,xrp-updown-5m-1785237900,3126129,0x670dc5c5f00c88df6b2612eadb54fb10c7db33604deb147336a454633b15dd28,XRP,2026-07-28T11:30:00+00:00,9.9,0.33,Down,BUY_NO,0.98,0.99,0.01,Up,0
2026-07-28T11:29:50+00:00,doge-updown-5m-1785237900,3126131,0x7385147ad1e81d6a7adde4834ce19aebef0e7542fcff9b47816efd08b4e0c8d6,DOGE,2026-07-28T11:30:00+00:00,9.9,0.17,Down,BUY_NO,0.73,0.96,0.23,Down,1
2026-07-28T11:34:50+00:00,xrp-updown-5m-1785238200,3126139,0x9265af758e080ac7ed2aa9bd4c6ac234509c4fd7b92a4d070e9a83fe62412358,XRP,2026-07-28T11:35:00+00:00,9.9,0.645,Up,BUY_YES,0.99,,,Up,1
2026-07-28T11:34:50+00:00,doge-updown-5m-1785238200,3126145,0xf3990f6040e42e3c86350fe4397cedd7a21d137b0857d229f7e17bdbee15343d,DOGE,2026-07-28T11:35:00+00:00,9.9,0.965,Up,BUY_YES,0.96,,,Up,1
2026-07-28T11:34:50+00:00,bnb-updown-5m-1785238200,3126148,0xc31e0aaa1976967a5144203d22e68756b2134f9b218f221e926dba56e765902b,BNB,2026-07-28T11:35:00+00:00,9.9,0.405,Down,BUY_NO,0.99,,,Up,0
2026-07-28T11:39:50+00:00,doge-updown-5m-1785238500,3126152,0x4c7ac1cfa456e96c1918a2a5aa567579e4b5bc1a326698c2872461f40815c372,DOGE,2026-07-28T11:40:00+00:00,9.9,0.61,Up,BUY_YES,0.97,0.99,0.02,Up,1
2026-07-28T11:39:50+00:00,bnb-updown-5m-1785238500,3126150,0xc2dda1fab2827f0bb93a60c1ab9a6fcc2d645673586592fd567cecf9db6b83c0,BNB,2026-07-28T11:40:00+00:00,9.8,0.73,Up,BUY_YES,0.95,0.99,0.04,Up,1
2026-07-28T11:44:50+00:00,xrp-updown-5m-1785238800,3126159,0xce41161037e7e5ce874bb628eca4e8ffb3d40886de5ccb1417a055e351d5f977,XRP,2026-07-28T11:45:00+00:00,9.8,0.345,Down,BUY_NO,,0.01,,Down,1
2026-07-28T11:44:50+00:00,doge-updown-5m-1785238800,3126161,0xe71e8fee2f1fe5fe3c381212a5a53c64408fa61ac8bc30b7517530f2c65b0eca,DOGE,2026-07-28T11:45:00+00:00,9.8,0.305,Down,BUY_NO,,0.01,,Down,1
2026-07-28T12:04:50+00:00,doge-updown-5m-1785240000,3126192,0xbe71f1a80f93f0de82fa675ce4a1b444ec7d32cb45e03efa3dcf90b3ca081478,DOGE,2026-07-28T12:05:00+00:00,9.9,0.41,Down,BUY_NO,0.99,,,Up,0
2026-07-28T12:04:50+00:00,bnb-updown-5m-1785240000,3126209,0xb3ba989774a29010f591d014200107fa7ad19376ec04f236890fdd8ab1d85696,BNB,2026-07-28T12:05:00+00:00,9.9,0.15,Down,BUY_NO,0.21,0.56,0.35,Up,0
2026-07-28T12:09:50+00:00,xrp-updown-5m-1785240300,3126216,0x8fe37deff19573641076ccd34d2f26669bf189f11529abb0786f7deedf3352aa,XRP,2026-07-28T12:10:00+00:00,9.8,0.565,Up,BUY_YES,0.46,0.81,0.35,Up,1
2026-07-28T12:09:50+00:00,bnb-updown-5m-1785240300,3126215,0x11080d685d7c9c4e5e30b2dd3f5fabdd61821251c5096d84d08a6167fc9d7410,BNB,2026-07-28T12:10:00+00:00,9.9,0.655,Up,BUY_YES,0.4,0.99,0.59,Up,1
2026-07-28T12:14:50+00:00,xrp-updown-5m-1785240600,3126225,0xf5c42079679dbc30109dcbfc9ba6846e8b440d8940b369362698ccc5a7621340,XRP,2026-07-28T12:15:00+00:00,9.8,0.05,Down,BUY_NO,,0.01,,Down,1
2026-07-28T12:14:50+00:00,doge-updown-5m-1785240600,3126220,0x0e004cb12f4e6dcf3cd3ed1c1368ef6c71bf80849f11c550834861fc1b06b0d5,DOGE,2026-07-28T12:15:00+00:00,9.8,0.415,Down,BUY_NO,0.55,0.72,0.17,Up,0
2026-07-28T12:29:50+00:00,xrp-updown-5m-1785241500,3126252,0x3d21bf4db9dc90572f70ff02827ea693b7d97e86b08fae28a65745fb4bf262a9,XRP,2026-07-28T12:30:00+00:00,9.9,0.795,Up,BUY_YES,0.97,,,Up,1
2026-07-28T12:29:50+00:00,doge-updown-5m-1785241500,3126249,0xa8846e85a34b6b928671eb5746f90bb9af15b0bc0e99c595c77a894af2701021,DOGE,2026-07-28T12:30:00+00:00,9.9,0.615,Up,BUY_YES,0.07,0.26,0.19,Down,0
2026-07-28T12:34:50+00:00,xrp-updown-5m-1785241800,3126268,0xfa3bf4a8943cb95af28956459406869b66428a5b95cb739baa2a253b9d8c6f45,XRP,2026-07-28T12:35:00+00:00,9.9,0.92,Up,BUY_YES,0.99,,,Up,1
2026-07-28T12:34:50+00:00,doge-updown-5m-1785241800,3126262,0xf6a1c0255de7d37a1a0009450b367afb64aa28961d3b4627fb9dba8b44fed97d,DOGE,2026-07-28T12:35:00+00:00,9.9,0.665,Up,BUY_YES,0.13,0.34,0.21,Down,0
2026-07-28T12:34:50+00:00,bnb-updown-5m-1785241800,3126263,0x24a548269b19f645f7288463a8182f69cbbb247b40bbc29c49ca91e9a33cad86,BNB,2026-07-28T12:35:00+00:00,9.9,0.34,Down,BUY_NO,0.03,0.6,0.57,Down,1
2026-07-28T12:39:50+00:00,xrp-updown-5m-1785242100,3126273,0x3da7fbe47bef81f2b11f6f86e4d31d5e7876afcf54d355aef50c65204557ecbe,XRP,2026-07-28T12:40:00+00:00,9.9,0.035,Down,BUY_NO,,0.01,,Down,1
2026-07-28T12:39:50+00:00,doge-updown-5m-1785242100,3126272,0x507eb69090ca926ff072c91ab84f5bef1062fa83b5504ff16adbbb8e5a00cb88,DOGE,2026-07-28T12:40:00+00:00,9.9,0.42,Down,BUY_NO,0.55,0.95,0.4,Down,1
2026-07-28T12:44:50+00:00,bnb-updown-5m-1785242400,3126282,0x0d0cbd0e2440b8f437a7986448a64ff317355d12b030a084960deb6cc00fb4d1,BNB,2026-07-28T12:45:00+00:00,9.9,0.65,Up,BUY_YES,0.99,,,Up,1
2026-07-28T12:49:50+00:00,doge-updown-5m-1785242700,3126289,0xb77ce21ea58ce5e53bf544ae287ba4d7cb401c809d60b0e1d9218ddd878db62a,DOGE,2026-07-28T12:50:00+00:00,9.9,0.335,Down,BUY_NO,0.99,,,Up,0
2026-07-28T12:49:50+00:00,bnb-updown-5m-1785242700,3126294,0xec64a7fa1c54cab3f7231ba54f26cdb2e9bd4a228499adb2b17c53083ba86e6d,BNB,2026-07-28T12:50:00+00:00,9.9,0.325,Down,BUY_NO,0.99,,,,
2026-07-28T12:54:50+00:00,xrp-updown-5m-1785243000,3126301,0xcb349d60be30c6ae4b7bba4dfd2909a80b89deae5c438849b86cb64343d7c0eb,XRP,2026-07-28T12:55:00+00:00,9.9,0.275,Down,BUY_NO,0.01,0.02,0.01,,
2026-07-28T12:54:50+00:00,doge-updown-5m-1785243000,3126298,0xecac2ca73ffe5189ca559379bfdb372fd8e196503d3c95386f9a3821c6ef7fe7,DOGE,2026-07-28T12:55:00+00:00,9.9,0.085,Down,BUY_NO,0.04,0.1,0.06,,
2026-07-28T12:54:50+00:00,bnb-updown-5m-1785243000,3126297,0xb299731bf8d98c7abb54bfa3dc35cf819ec4467ce206b77d766a1c247f1a1bba,BNB,2026-07-28T12:55:00+00:00,9.9,0.4,Down,BUY_NO,,0.06,,,
