veto_timestamp_utc,market_id,strategy,subtype,direction,motivo_origen,precio_plan,stake_eur,ratio_inicial,muestras_json,mejora_detectada,t_mejora_s,ratio_max
2026-08-02T16:09:28+00:00,3264346,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,BTC#15min,BUY_YES,candidato_evaluacion,0.7,1.05,0.0,"[[5.0,0.0,0.81],[10.1,63.1,0.72],[15.2,0.0,0.74],[20.3,0.0,0.74],[25.6,0.0,0.76],[30.8,0.0,0.75],[35.9,0.0,0.75],[41.1,0.0,0.75],[46.6,0.0,0.77],[51.7,0.0,0.78],[56.8,0.0,0.78],[61.9,0.0,0.81]]",1,10.1,63.1
2026-08-02T16:10:06+00:00,3264346,GBM_LATE_15M_TARDIO,BTC#15min,BUY_YES,candidato_evaluacion,0.215,1.05,0.0,"[[5.0,0.0,0.77],[10.1,0.0,0.77],[15.2,0.0,0.78],[20.3,0.0,0.8],[25.6,0.0,0.81],[30.7,0.0,0.81],[36.0,0.0,0.81],[41.3,0.0,0.87],[46.4,0.0,0.9],[51.5,0.0,0.96],[56.7,0.0,0.96],[62.0,0.0,0.97]]",0,,0.0
2026-08-02T16:12:17+00:00,3264361,BALLENAS_CONFIRMADAS_15M,DOGE#15min,BUY_YES,candidato_evaluacion,0.06,1.05,0.6,"[[5.0,0.0,0.11],[10.1,0.0,0.11],[15.2,0.0,0.11],[20.3,0.0,0.11],[25.4,0.6,0.06],[30.5,0.0,0.11],[35.6,0.0,0.11],[40.7,0.0,0.11],[45.9,0.0,0.09],[51.0,5.8,0.01],[56.3,6.3,0.01],[61.3,12.3,0.01]]",1,51.0,12.3
2026-08-02T16:22:20+00:00,3265543,FAVORITO_CONFIRMADO,DOGE#5min,BUY_YES,candidato_evaluacion,0.58,1.05,0.0,"[[5.0,0.0,0.88],[10.2,0.0,0.9],[15.3,0.0,0.9],[20.4,0.0,0.9],[25.5,0.0,0.95],[30.7,0.0,0.94],[35.8,0.0,0.96],[41.3,0.0,0.96],[46.5,0.0,0.96],[51.6,0.0,0.97],[56.7,0.0,0.97],[61.8,0.0,0.97]]",0,,0.0
2026-08-02T16:22:21+00:00,3265544,FAVORITO_CONFIRMADO,ETH#5min,BUY_YES,candidato_evaluacion,0.63,1.05,0.0,"[[5.0,0.0,0.95],[10.2,0.0,0.93],[15.4,0.0,0.93],[20.6,0.0,0.96],[25.8,0.0,0.99],[31.0,0.0,0.99],[36.2,0.0,0.99],[41.3,0.0,0.99],[46.4,0.0,null],[51.6,0.0,null],[56.7,0.0,null],[61.9,0.0,null]]",0,,0.0
2026-08-02T16:22:22+00:00,3265542,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BTC#5min,BUY_YES,candidato_evaluacion,0.8,1.05,0.0,"[[5.0,0.0,0.96],[10.2,0.0,0.95],[15.4,0.0,0.96],[20.6,0.0,0.96],[25.7,0.0,0.97],[31.0,0.0,0.98],[36.2,0.0,0.98],[41.4,0.0,0.98],[46.5,0.0,0.99],[51.7,0.0,0.99],[56.8,0.0,0.99],[62.0,0.0,0.99]]",0,,0.0
2026-08-02T16:22:21+00:00,3265548,FAVORITO_CONFIRMADO,SOL#5min,BUY_YES,candidato_evaluacion,0.68,1.05,0.0,"[[5.0,0.0,0.94],[10.2,0.0,0.94],[15.4,0.0,0.94],[20.6,0.0,0.97],[25.8,0.0,0.98],[31.0,0.0,0.99],[36.2,0.0,0.99],[41.4,0.0,0.99],[46.5,0.0,0.99],[51.7,0.0,0.99],[56.8,0.0,0.99],[61.9,0.0,null]]",0,,0.0
2026-08-02T16:22:20+00:00,3265545,FAVORITO_CONFIRMADO,XRP#5min,BUY_YES,candidato_evaluacion,0.62,1.05,0.0,"[[5.0,0.0,0.9],[10.2,0.0,0.9],[15.3,0.0,0.91],[20.5,0.0,0.91],[25.6,0.0,0.92],[30.7,0.0,0.92],[36.2,0.0,0.97],[41.4,0.0,0.97],[46.5,0.0,0.97],[51.7,0.0,0.97],[56.9,0.0,0.99],[62.0,0.0,0.99]]",0,,0.0
2026-08-02T16:22:21+00:00,3265542,FAVORITO_CONFIRMADO,BTC#5min,BUY_YES,candidato_evaluacion,0.6,1.05,0.0,"[[5.0,0.0,0.96],[10.2,0.0,0.95],[15.4,0.0,0.96],[20.6,0.0,0.96],[25.8,0.0,0.97],[31.0,0.0,0.98],[36.3,0.0,0.98],[41.6,0.0,0.98],[46.7,0.0,0.99],[51.8,0.0,0.99],[57.0,0.0,0.99],[62.1,0.0,0.99]]",0,,0.0
2026-08-02T16:22:23+00:00,3265544,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,ETH#5min,BUY_YES,candidato_evaluacion,0.75,1.05,0.0,"[[5.0,0.0,0.95],[10.3,0.0,0.93],[15.4,0.0,0.93],[20.6,0.0,0.96],[25.8,0.0,0.99],[31.1,0.0,0.99],[36.4,0.0,0.99],[41.6,0.0,0.99],[46.7,0.0,null],[51.9,0.0,null],[57.0,0.0,null],[62.2,0.0,null]]",0,,0.0
