timestamp_utc,trade_timestamp,condition_id,market_slug,lado_mayoria,n_votos_trigger,precio_trigger,ratio_deteccion,ask_deteccion,ratio_decision,ask_decision,degradacion_ask_pct,sigue_fillable_en_decision,en_zona_confirmada,registrada_prediccion
2026-08-27T17:04:47+00:00,2026-08-27T17:04:11.538+00:00,0xb3c5e76864533053cfc7bc36f428ed11c929758800f69e5481c5cac1153d8abd,btc-updown-5m-1787850300,Down,2,0.4899999930753698,389.2,0.46,704.5,0.44,-4.35,1,0,0
2026-08-27T17:10:57+00:00,2026-08-27T17:09:13.343+00:00,0x0935b2a65ad225a297ae79523cb96500924e2e584afb0857e070a1e5760de248,btc-updown-5m-1787850600,Up,6,0.49,0.0,0.72,0.0,0.74,2.78,0,0,0
2026-08-27T17:16:16+00:00,2026-08-27T17:14:22.078+00:00,0xd90e3d1cc208f4e500bf1131d4168412da0cb5d638c91b994e3b700bfa237294,btc-updown-5m-1787850900,Up,10,0.46,1291.9,0.44,606.7,0.45,2.27,1,0,0
2026-08-27T17:20:07+00:00,2026-08-27T17:19:05.681+00:00,0x190247ec5841c2396b0e2594e7584ea5ff9b4c84af5c871a979dfe26ccd326a6,btc-updown-5m-1787851200,Up,3,0.47,246.9,0.48,0.0,0.52,8.33,0,1,0
2026-08-27T17:26:01+00:00,2026-08-27T17:24:14.839+00:00,0xcb42040a3b554ef920ec8788acc1629cc35fb19c262368051c91dfcb34b0aff4,btc-updown-5m-1787851500,Up,7,0.5,0.0,0.57,0.0,0.57,0.0,0,0,0
2026-08-27T17:30:43+00:00,2026-08-27T17:29:28.142+00:00,0xc000914051761be1a282506c100b0664addfa088ce5a14302b9e8c00e8c8a099,btc-updown-5m-1787851800,Down,7,0.5099999980013062,0.0,0.55,1065.5,0.5,-9.09,1,1,1
2026-08-27T17:35:25+00:00,2026-08-27T17:34:16.659+00:00,0x305bd1cef6143c2eb96db4024437cd8ee2e88fbfc0281fcca113e07bc47316fa,btc-updown-5m-1787852100,Down,4,0.51,0.0,0.81,0.0,0.79,-2.47,0,0,0
2026-08-27T17:41:20+00:00,2026-08-27T17:39:26.971+00:00,0xf96d538c6fa4535692a9c41c30578555b8a99cb90cc4893ad1cef934b7310057,btc-updown-5m-1787852400,Up,9,0.5199999798058195,0.0,0.55,0.0,0.55,0.0,0,0,0
2026-08-27T17:45:53+00:00,2026-08-27T17:44:05.286+00:00,0xf6c6e919f7c28ae6271a30ed60bd322801afc47c7f1b6f6eb39b29409bf9c646,btc-updown-5m-1787852700,Down,9,0.4799999943329395,0.0,0.69,0.0,0.69,0.0,0,0,0
2026-08-27T17:50:50+00:00,2026-08-27T17:49:51.934+00:00,0xd4ee4fb38e69ffbefb881bee27abd36dc805d39b0055a44292db1b122e7a1e90,btc-updown-5m-1787853000,Down,6,0.43,3448.1,0.25,3471.2,0.26,4.0,1,0,0
