resolution_ts,strategy,subtype,market_id,decision,taker_price,limit_price,filled,n_trades_vistos,acierto,pnl1_taker,pnl1_maker
2026-07-02T09:19:22+00:00,GBM_LATE_15M,XRP#15min,2754439,BUY_NO,0.52,0.5,0,202,1,0.9231,0.0
2026-07-02T09:19:22+00:00,GBM_LATE_15M,ETH#15min,2754442,BUY_NO,0.515,0.495,0,270,1,0.9417,0.0
2026-07-02T09:34:00+00:00,GBM_LATE_15M,XRP#15min,2754480,BUY_NO,0.495,0.475,1,116,0,-1.0,-1.0
2026-07-02T09:34:00+00:00,GBM_LATE_15M,ETH#15min,2754473,BUY_NO,0.485,0.465,1,334,0,-1.0,-1.0
2026-07-02T09:35:18+00:00,GBM_LATE_15M,BTC#15min,2754470,BUY_NO,0.505,0.485,1,500,0,-1.0,-1.0
2026-07-02T09:36:36+00:00,GBM_LATE_15M,SOL#15min,2754471,BUY_NO,0.525,0.505,1,500,0,-1.0,-1.0
2026-07-02T09:45:54+00:00,GBM_LATE_15M,XRP#15min,2754512,BUY_YES,0.475,0.455,0,108,1,1.1053,0.0
2026-07-02T09:45:54+00:00,GBM_LATE_15M,ETH#15min,2754518,BUY_NO,0.165,0.145,1,400,0,-1.0,-1.0
2026-07-02T09:45:54+00:00,GBM_LATE_15M,BTC#15min,2754519,BUY_NO,0.145,0.125,1,500,0,-1.0,-1.0
2026-07-02T09:45:54+00:00,GBM_LATE_15M,SOL#15min,2754511,BUY_YES,0.645,0.625,0,231,1,0.5504,0.0
2026-07-02T10:01:37+00:00,GBM_LATE_15M,ETH#15min,2754611,BUY_NO,0.555,0.535,1,500,0,-1.0,-1.0
2026-07-02T10:06:49+00:00,GBM_LATE_15M,BTC#15min,2754606,BUY_YES,0.365,0.345,0,500,1,1.7397,0.0
2026-07-02T10:17:22+00:00,GBM_LATE_15M,XRP#15min,2754777,BUY_YES,0.48,0.46,0,96,1,1.0833,0.0
2026-07-02T10:19:56+00:00,GBM_LATE_15M,ETH#15min,2754774,BUY_YES,0.485,0.465,1,500,1,1.0619,1.1505
2026-07-02T10:19:56+00:00,GBM_LATE_15M,SOL#15min,2754775,BUY_YES,0.485,0.465,0,188,1,1.0619,0.0
2026-07-02T10:21:17+00:00,GBM_LATE_15M,BTC#15min,2754776,BUY_NO,0.545,0.525,0,500,0,-1.0,0.0
2026-07-02T10:32:02+00:00,GBM_LATE_15M,BTC#15min,2754808,BUY_NO,0.535,0.515,1,500,1,0.8692,0.9417
2026-07-02T10:32:02+00:00,GBM_LATE_15M,SOL#15min,2754816,BUY_YES,0.155,0.135,0,291,1,5.4516,0.0
2026-07-02T10:33:20+00:00,GBM_LATE_15M,ETH#15min,2754812,BUY_NO,0.515,0.495,0,500,1,0.9417,0.0
2026-07-02T10:33:20+00:00,GBM_LATE_15M,XRP#15min,2754810,BUY_YES,0.48,0.46,1,277,1,1.0833,1.1739
2026-07-02T10:49:05+00:00,GBM_LATE_15M,BTC#15min,2754930,BUY_NO,0.405,0.385,0,500,1,1.4691,0.0
2026-07-02T10:49:05+00:00,GBM_LATE_15M,SOL#15min,2754932,BUY_NO,0.375,0.355,1,269,0,-1.0,-1.0
2026-07-02T10:49:05+00:00,GBM_LATE_15M,ETH#15min,2754936,BUY_NO,0.325,0.305,1,500,1,2.0769,2.2787
2026-07-02T10:49:05+00:00,GBM_LATE_15M,XRP#15min,2754937,BUY_YES,0.48,0.46,0,99,1,1.0833,0.0
