resolution_timestamp,prediction_timestamp,strategy,subtype,market_id,question,end_date,decision,precio_yes_mercado,prob_yes_modelo,edge_neto,edge_direccional,outcome_real,acierto,pnl_bruto,pnl_neto
2026-06-24T06:11:35+00:00,2026-06-24T06:03:57+00:00,UPDOWN_GBM,DOGE#5min,2649280,"Dogecoin Up or Down - June 24, 2:05AM-2:10AM ET",2026-06-24T06:10:00,BUY_NO,0.5000,0.2011,-0.2789,0.2789,YES,0,-0.9000,-0.9180
2026-06-24T06:16:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,ETH#15min,2649266,"Ethereum Up or Down - June 24, 2:00AM-2:15AM ET",2026-06-24T06:15:00,BUY_NO,0.4850,0.4004,-0.0646,0.0646,NO,1,0.8476,0.8296
2026-06-24T06:16:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,BTC#15min,2649273,"Bitcoin Up or Down - June 24, 2:00AM-2:15AM ET",2026-06-24T06:15:00,BUY_NO,0.4850,0.4367,-0.0283,0.0283,NO,1,0.8476,0.8296
2026-06-24T06:16:39+00:00,2026-06-24T06:08:57+00:00,UPDOWN_GBM,ETH#5min,2649292,"Ethereum Up or Down - June 24, 2:10AM-2:15AM ET",2026-06-24T06:15:00,BUY_YES,0.4950,0.8332,0.3182,0.3182,NO,0,-0.9000,-0.9180
2026-06-24T06:21:40+00:00,2026-06-24T06:13:58+00:00,UPDOWN_GBM,SOL#5min,2649300,"Solana Up or Down - June 24, 2:15AM-2:20AM ET",2026-06-24T06:20:00,BUY_NO,0.4950,0.3027,-0.1723,0.1723,NO,1,0.8822,0.8642
2026-06-24T06:21:40+00:00,2026-06-24T06:13:58+00:00,UPDOWN_GBM,ETH#5min,2649298,"Ethereum Up or Down - June 24, 2:15AM-2:20AM ET",2026-06-24T06:20:00,BUY_NO,0.5050,0.3499,-0.1351,0.1351,NO,1,0.9182,0.9002
2026-06-24T06:21:40+00:00,2026-06-24T06:13:58+00:00,UPDOWN_GBM,BTC#5min,2649304,"Bitcoin Up or Down - June 24, 2:15AM-2:20AM ET",2026-06-24T06:20:00,BUY_NO,0.4950,0.3285,-0.1465,0.1465,NO,1,0.8822,0.8642
2026-06-24T06:28:02+00:00,2026-06-24T06:19:01+00:00,UPDOWN_GBM,BTC#5min,2649312,"Bitcoin Up or Down - June 24, 2:20AM-2:25AM ET",2026-06-24T06:25:00,BUY_NO,0.4950,0.4376,-0.0374,0.0374,YES,0,-0.9000,-0.9180
2026-06-24T06:30:33+00:00,2026-06-24T06:15:13+00:00,UPDOWN_GBM,BNB#15min,2649303,"BNB Up or Down - June 24, 2:15AM-2:30AM ET",2026-06-24T06:30:00,BUY_NO,0.4750,0.4323,-0.0227,0.0227,NO,1,0.8143,0.7963
2026-06-24T06:31:50+00:00,2026-06-24T06:08:57+00:00,UPDOWN_GBM,ETH#15min,2649306,"Ethereum Up or Down - June 24, 2:15AM-2:30AM ET",2026-06-24T06:30:00,BUY_YES,0.4950,0.6883,0.1733,0.1733,YES,1,0.9182,0.9002
