timestamp_utc,event_title,direccion,umbral_bajo,umbral_alto,bid_yes_bajo,ask_yes_bajo,bid_no_alto,ask_no_alto,maker_hipotetico_bajo,maker_hipotetico_alto,cruce_pata_bajo,cruce_pata_alto,cruce_ambas_patas
2026-08-15T10:07:57+00:00,What price will Ethena hit in 2026?,reach,0.52,0.6,0.023,0.024,0.959,0.971,0.024,0.96,True,False,False
2026-08-15T10:07:57+00:00,What price will Ethena hit in 2026?,reach,0.6,0.7,0.029,0.041,0.954,0.972,0.03,0.955,False,False,False
2026-08-15T10:07:58+00:00,What price will Ethena hit in 2026?,reach,0.8,1.0,0.013,0.037,0.967,0.979,0.014,0.968,False,False,False
2026-08-15T10:07:59+00:00,What price will Zcash hit in 2026?,reach,800.0,900.0,0.16,0.19,0.77,0.85,0.161,0.771,False,False,False
2026-08-15T10:07:59+00:00,What price will Aster hit in 2026?,reach,2.0,2.2,0.031,0.038,0.95,0.974,0.032,0.951,False,False,False
2026-08-15T10:07:59+00:00,What price will Plasma hit in 2026?,reach,0.24,0.3,0.09,0.41,0.49,0.93,0.091,0.491,False,False,False
2026-08-15T10:08:00+00:00,What price will Plasma hit in 2026?,reach,1.8,2.0,0.019,0.03,0.951,0.966,0.02,0.952,False,False,False
2026-08-15T10:08:00+00:00,What price will Uniswap hit in 2026?,reach,12.5,14.0,0.03,0.05,0.944,0.972,0.031,0.945,False,False,False
2026-08-15T10:08:00+00:00,What price will Bitcoin hit in August?,reach,82500.0,85000.0,0.002,0.003,0.996,0.997,0.003,0.997,True,True,True
2026-08-15T10:08:01+00:00,What price will Solana hit in August?,reach,140.0,150.0,0.002,0.007,0.996,0.998,0.003,0.997,False,False,False
2026-08-15T10:08:01+00:00,What price will Solana hit August 10-16?,dip to,40.0,50.0,0.001,0.01,0.991,0.999,0.002,0.992,False,False,False
2026-08-15T10:13:01+00:00,What price will Bitcoin hit in 2026?,dip to,15000.0,20000.0,0.03,0.031,0.971,0.972,0.031,0.972,True,True,True
2026-08-15T10:13:01+00:00,What price will Bitcoin hit in 2026?,reach,180000.0,190000.0,0.021,0.022,0.977,0.978,0.022,0.978,True,True,True
2026-08-15T10:13:02+00:00,What price will Bitcoin hit in 2026?,reach,200000.0,250000.0,0.014,0.015,0.983,0.984,0.015,0.984,True,True,True
2026-08-15T10:13:02+00:00,What price will Ethereum hit in 2026?,reach,6000.0,6500.0,0.021,0.022,0.973,0.974,0.022,0.974,True,True,True
2026-08-15T10:13:02+00:00,What price will Solana hit in 2026?,reach,240.0,260.0,0.035,0.036,0.927,0.97,0.036,0.928,True,False,False
2026-08-15T10:13:02+00:00,What price will Solana hit in 2026?,reach,280.0,300.0,0.014,0.029,0.972,0.979,0.015,0.973,False,False,False
2026-08-15T10:13:02+00:00,What price will XRP hit in 2026?,reach,2.6,2.8,0.04,0.05,0.923,0.979,0.041,0.924,False,False,False
2026-08-15T10:13:02+00:00,What price will XRP hit in 2026?,reach,3.6,3.8,0.013,0.047,0.957,0.984,0.014,0.958,False,False,False
2026-08-15T10:13:03+00:00,What price will Dogecoin hit in 2026?,reach,0.28,0.32,0.06,0.08,0.9,0.94,0.061,0.901,False,False,False
2026-08-15T10:13:03+00:00,What price will Dogecoin hit in 2026?,reach,0.36,0.4,0.02,0.05,0.93,0.96,0.021,0.931,False,False,False
2026-08-15T10:13:03+00:00,What price will Dogecoin hit in 2026?,reach,0.44,0.48,0.016,0.038,0.928,0.97,0.017,0.929,False,False,False
2026-08-15T10:13:03+00:00,What price will BNB hit in 2026?,reach,1500.0,1600.0,0.031,0.039,0.952,0.97,0.032,0.953,False,False,False
2026-08-15T10:13:04+00:00,What price will Ethena hit in 2026?,reach,0.32,0.36,0.07,0.09,0.87,0.94,0.071,0.871,False,False,False
2026-08-15T10:13:04+00:00,What price will Ethena hit in 2026?,reach,0.4,0.44,0.03,0.08,0.92,0.96,0.031,0.921,False,False,False
2026-08-15T10:13:04+00:00,What price will Ethena hit in 2026?,reach,0.52,0.6,0.023,0.024,0.959,0.971,0.024,0.96,True,False,False
2026-08-15T10:13:04+00:00,What price will Ethena hit in 2026?,reach,0.6,0.7,0.029,0.041,0.954,0.97,0.03,0.955,False,False,False
2026-08-15T10:13:04+00:00,What price will Ethena hit in 2026?,reach,0.8,1.0,0.013,0.037,0.967,0.979,0.014,0.968,False,False,False
2026-08-15T10:13:04+00:00,What price will Zcash hit in 2026?,reach,800.0,900.0,0.16,0.19,0.77,0.84,0.161,0.771,False,False,False
2026-08-15T10:13:05+00:00,What price will Aster hit in 2026?,reach,2.0,2.2,0.031,0.038,0.95,0.974,0.032,0.951,False,False,False
2026-08-15T10:13:05+00:00,What price will Plasma hit in 2026?,reach,0.24,0.3,0.09,0.4,0.5,0.93,0.091,0.501,False,False,False
2026-08-15T10:13:05+00:00,What price will Plasma hit in 2026?,reach,1.8,2.0,0.019,0.03,0.951,0.966,0.02,0.952,False,False,False
2026-08-15T10:13:05+00:00,What price will Uniswap hit in 2026?,reach,12.5,14.0,0.03,0.05,0.944,0.972,0.031,0.945,False,False,False
2026-08-15T10:13:05+00:00,What price will Bitcoin hit in August?,reach,82500.0,85000.0,0.002,0.003,0.996,0.997,0.003,0.997,True,True,True
2026-08-15T10:13:05+00:00,What price will Solana hit in August?,reach,140.0,150.0,0.002,0.007,0.996,0.998,0.003,0.997,False,False,False
2026-08-15T10:13:05+00:00,What price will Solana hit August 10-16?,dip to,40.0,50.0,0.001,0.01,0.991,0.999,0.002,0.992,False,False,False
2026-08-15T10:18:06+00:00,What price will Bitcoin hit in 2026?,dip to,15000.0,20000.0,0.03,0.031,0.971,0.972,0.031,0.972,True,True,True
2026-08-15T10:18:07+00:00,What price will Bitcoin hit in 2026?,reach,180000.0,190000.0,0.021,0.022,0.977,0.978,0.022,0.978,True,True,True
