market_id,subtype,prediction_timestamp,outcome_real,n_wallets_sospechosas_activas,wallets_vistas,resultado_shadow,es_forward
2839586,ETH#15min,2026-07-09T00:22:35+00:00,NO,3,0x634ca733fa43fac1ad98f3cf948e931d4628c89f;0xce25e214d5cfe4f459cf67f08df581885aae7fdc;0xe5fdb42ce16299be4c3d1a52ecc0ade4f603842d,PERDIDA,0
2839533,ETH#15min,2026-07-09T00:03:14+00:00,NO,0,,PERDIDA,0
2839544,SOL#15min,2026-07-09T00:03:14+00:00,NO,2,0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2839444,ETH#15min,2026-07-08T23:49:43+00:00,YES,0,,GANANCIA,0
2839446,SOL#15min,2026-07-08T23:48:54+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2839312,SOL#15min,2026-07-08T23:33:19+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,0
2839152,ETH#15min,2026-07-08T23:04:12+00:00,YES,0,,GANANCIA,0
2839151,SOL#15min,2026-07-08T23:03:30+00:00,YES,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2837043,SOL#15min,2026-07-08T22:48:05+00:00,YES,1,0xcb5c1844d9a5b39d3747ca92af659491fb036b2b,GANANCIA,0
2836941,SOL#15min,2026-07-08T22:18:07+00:00,YES,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2836901,ETH#15min,2026-07-08T22:05:37+00:00,YES,0,,GANANCIA,0
2836437,ETH#15min,2026-07-08T21:49:36+00:00,YES,4,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x634ca733fa43fac1ad98f3cf948e931d4628c89f;0x704849e569f6007fee277c2a5ffcf1d9f3e853e0;0xe5fdb42ce16299be4c3d1a52ecc0ade4f603842d,GANANCIA,0
2836444,SOL#15min,2026-07-08T21:48:07+00:00,YES,3,0x59178ed0f66bcfa02193bcc77097715399bedb33;0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b,GANANCIA,0
2836328,ETH#15min,2026-07-08T21:33:33+00:00,NO,0,,PERDIDA,0
2836174,SOL#15min,2026-07-08T21:18:11+00:00,YES,0,,GANANCIA,0
2836130,ETH#15min,2026-07-08T21:04:20+00:00,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2836134,SOL#15min,2026-07-08T21:03:18+00:00,NO,3,0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2835979,ETH#15min,2026-07-08T20:52:40+00:00,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x634ca733fa43fac1ad98f3cf948e931d4628c89f;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2835978,SOL#15min,2026-07-08T20:48:13+00:00,YES,0,,GANANCIA,0
2835777,ETH#15min,2026-07-08T20:41:22+00:00,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2835541,ETH#15min,2026-07-08T20:03:06+00:00,NO,0,,PERDIDA,0
2835545,SOL#15min,2026-07-08T20:03:06+00:00,YES,0,,GANANCIA,0
2835365,SOL#15min,2026-07-08T19:18:43+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2835210,ETH#15min,2026-07-08T19:04:02+00:00,NO,0,,PERDIDA,0
2834892,ETH#15min,2026-07-08T18:18:22+00:00,NO,0,,PERDIDA,0
2834897,SOL#15min,2026-07-08T18:18:22+00:00,NO,0,,PERDIDA,0
2834847,ETH#15min,2026-07-08T18:05:05+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x634ca733fa43fac1ad98f3cf948e931d4628c89f;0xe5fdb42ce16299be4c3d1a52ecc0ade4f603842d,GANANCIA,0
2834578,ETH#15min,2026-07-08T17:33:03+00:00,NO,0,,PERDIDA,0
2834586,SOL#15min,2026-07-08T17:33:03+00:00,NO,2,0x5c3d055aee56f79d755a9388b8dbf483fce9182c;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2834539,ETH#15min,2026-07-08T17:20:43+00:00,YES,5,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x634ca733fa43fac1ad98f3cf948e931d4628c89f;0x704849e569f6007fee277c2a5ffcf1d9f3e853e0;0xce25e214d5cfe4f459cf67f08df581885aae7fdc;0xe5fdb42ce16299be4c3d1a52ecc0ade4f603842d,GANANCIA,0
2834544,SOL#15min,2026-07-08T17:19:40+00:00,YES,6,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0x59178ed0f66bcfa02193bcc77097715399bedb33;0x704849e569f6007fee277c2a5ffcf1d9f3e853e0;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2833670,SOL#15min,2026-07-08T16:48:10+00:00,YES,0,,GANANCIA,0
2833660,ETH#15min,2026-07-08T16:48:10+00:00,YES,0,,GANANCIA,0
2833567,SOL#15min,2026-07-08T16:33:10+00:00,YES,0,,GANANCIA,0
2833402,SOL#15min,2026-07-08T16:20:46+00:00,YES,0,,GANANCIA,0
2833361,ETH#15min,2026-07-08T16:05:20+00:00,YES,5,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x59178ed0f66bcfa02193bcc77097715399bedb33;0x634ca733fa43fac1ad98f3cf948e931d4628c89f;0xce25e214d5cfe4f459cf67f08df581885aae7fdc;0xe5fdb42ce16299be4c3d1a52ecc0ade4f603842d,GANANCIA,0
