market_id,strategy,subtype,direction,precio_plan,precio_limit,mejor_ask_veto,ts_snapshot,end_date,filled,acierto,pnl1_maker
2808395,GBM_LATE_15M,ETH#15min,BUY_YES,0.485,0.48,0.74,2026-07-06T16:33:09+00:00,2026-07-06T16:45:00,0,1,0.0
2808397,GBM_LATE_15M,SOL#15min,BUY_YES,0.485,0.48,0.61,2026-07-06T16:33:09+00:00,2026-07-06T16:45:00,0,1,0.0
2808399,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.71,2026-07-06T16:33:09+00:00,2026-07-06T16:45:00,0,1,0.0
2808587,GBM_LATE_15M,XRP#15min,BUY_YES,0.485,0.48,0.56,2026-07-06T16:48:24+00:00,2026-07-06T17:00:00,1,1,1.0833
2808617,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.86,2026-07-06T17:03:48+00:00,2026-07-06T17:15:00,0,1,0.0
2808616,GBM_LATE_15M,SOL#15min,BUY_NO,0.515,0.52,0.58,2026-07-06T17:04:35+00:00,2026-07-06T17:15:00,1,1,0.9231
2808623,GBM_LATE_15M,ETH#15min,BUY_YES,0.3,0.3,0.73,2026-07-06T17:08:51+00:00,2026-07-06T17:15:00,0,1,0.0
2808649,GBM_LATE_15M,XRP#15min,BUY_NO,0.51,0.51,0.62,2026-07-06T17:18:24+00:00,2026-07-06T17:30:00,0,1,0.0
2808658,GBM_LATE_15M,ETH#15min,BUY_YES,0.495,0.49,0.74,2026-07-06T17:19:51+00:00,2026-07-06T17:30:00,0,1,0.0
2808700,GBM_LATE_15M,XRP#15min,BUY_YES,0.475,0.47,0.6,2026-07-06T17:33:07+00:00,2026-07-06T17:45:00,1,0,-1.0
2808701,GBM_LATE_15M,SOL#15min,BUY_NO,0.475,0.47,0.64,2026-07-06T17:34:35+00:00,2026-07-06T17:45:00,0,1,0.0
2808770,GBM_LATE_15M,SOL#15min,BUY_YES,0.505,0.51,0.68,2026-07-06T17:48:09+00:00,2026-07-06T18:00:00,0,1,0.0
2808768,GBM_LATE_15M,XRP#15min,BUY_NO,0.485,0.48,0.57,2026-07-06T17:49:02+00:00,2026-07-06T18:00:00,1,1,1.0833
2810168,GBM_LATE_15M,SOL#15min,BUY_YES,0.475,0.47,0.72,2026-07-06T18:03:05+00:00,2026-07-06T18:15:00,1,0,-1.0
2810160,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.66,2026-07-06T18:03:54+00:00,2026-07-06T18:15:00,1,0,-1.0
2810167,GBM_LATE_15M,ETH#15min,BUY_YES,0.445,0.45,0.65,2026-07-06T18:06:47+00:00,2026-07-06T18:15:00,0,1,0.0
2810240,GBM_LATE_15M,SOL#15min,BUY_NO,0.495,0.49,0.65,2026-07-06T18:18:38+00:00,2026-07-06T18:30:00,1,0,-1.0
2810242,GBM_LATE_15M,XRP#15min,BUY_NO,0.495,0.49,0.68,2026-07-06T18:18:38+00:00,2026-07-06T18:30:00,1,0,-1.0
2810244,GBM_LATE_15M,ETH#15min,BUY_YES,0.425,0.42,0.81,2026-07-06T18:22:10+00:00,2026-07-06T18:30:00,0,1,0.0
2810272,GBM_LATE_15M,SOL#15min,BUY_NO,0.445,0.45,0.47,2026-07-06T18:34:08+00:00,2026-07-06T18:45:00,1,0,-1.0
2810277,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.78,2026-07-06T18:37:18+00:00,2026-07-06T18:45:00,0,1,0.0
2811193,GBM_LATE_15M,SOL#15min,BUY_YES,0.51,0.51,0.71,2026-07-06T23:03:22+00:00,2026-07-06T23:15:00,1,0,-1.0
2811190,GBM_LATE_15M,XRP#15min,BUY_YES,0.525,0.53,0.87,2026-07-06T23:05:54+00:00,2026-07-06T23:15:00,0,1,0.0
2811289,GBM_LATE_15M,ETH#15min,BUY_YES,0.465,0.47,0.49,2026-07-06T23:55:24+00:00,2026-07-07T00:00:00,1,0,-1.0
2814580,GBM_LATE_15M,SOL#15min,BUY_YES,0.365,0.36,0.8,2026-07-07T06:33:22+00:00,2026-07-07T06:45:00,0,1,0.0
2814584,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.85,2026-07-07T06:33:44+00:00,2026-07-07T06:45:00,0,1,0.0
2814589,GBM_LATE_15M,ETH#15min,BUY_YES,0.345,0.34,0.79,2026-07-07T06:34:47+00:00,2026-07-07T06:45:00,0,1,0.0
2814720,GBM_LATE_15M,SOL#15min,BUY_YES,0.515,0.52,0.7,2026-07-07T06:48:22+00:00,2026-07-07T07:00:00,0,1,0.0
2814724,GBM_LATE_15M,ETH#15min,BUY_YES,0.465,0.47,0.86,2026-07-07T06:50:26+00:00,2026-07-07T07:00:00,0,1,0.0
2814760,GBM_LATE_15M,SOL#15min,BUY_YES,0.475,0.47,0.75,2026-07-07T07:03:08+00:00,2026-07-07T07:15:00,1,1,1.1277
2814763,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.69,2026-07-07T07:03:08+00:00,2026-07-07T07:15:00,1,1,1.0408
2815214,GBM_LATE_15M,SOL#15min,BUY_YES,0.495,0.49,0.63,2026-07-07T09:03:04+00:00,2026-07-07T09:15:00,0,1,0.0
2816978,GBM_LATE_15M,SOL#15min,BUY_YES,0.32,0.32,0.66,2026-07-07T13:03:08+00:00,2026-07-07T13:15:00,1,0,-1.0
2817042,GBM_LATE_15M,SOL#15min,BUY_YES,0.525,0.53,0.73,2026-07-07T13:33:19+00:00,2026-07-07T13:45:00,1,1,0.8868
2817047,GBM_LATE_15M,ETH#15min,BUY_YES,0.545,0.55,0.71,2026-07-07T13:33:19+00:00,2026-07-07T13:45:00,1,1,0.8182
2817051,GBM_LATE_15M,XRP#15min,BUY_YES,0.5,0.5,0.71,2026-07-07T13:33:19+00:00,2026-07-07T13:45:00,1,1,1.0
2817322,GBM_LATE_15M,SOL#15min,BUY_YES,0.515,0.52,0.71,2026-07-07T13:52:37+00:00,2026-07-07T14:00:00,1,0,-1.0
2817325,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.8,2026-07-07T13:52:38+00:00,2026-07-07T14:00:00,1,0,-1.0
2817324,GBM_LATE_15M,ETH#15min,BUY_YES,0.505,0.51,0.71,2026-07-07T13:52:38+00:00,2026-07-07T14:00:00,1,0,-1.0
2817363,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.71,2026-07-07T14:03:21+00:00,2026-07-07T14:15:00,1,0,-1.0
2817371,GBM_LATE_15M,SOL#15min,BUY_YES,0.505,0.51,0.61,2026-07-07T14:03:21+00:00,2026-07-07T14:15:00,0,1,0.0
2817367,GBM_LATE_15M,ETH#15min,BUY_YES,0.515,0.52,0.79,2026-07-07T14:05:17+00:00,2026-07-07T14:15:00,0,0,0.0
2817629,GBM_LATE_15M,SOL#15min,BUY_YES,0.595,0.59,0.72,2026-07-07T14:19:14+00:00,2026-07-07T14:30:00,1,1,0.6949
2817666,GBM_LATE_15M,ETH#15min,BUY_YES,0.515,0.52,0.64,2026-07-07T14:33:32+00:00,2026-07-07T14:45:00,1,0,-1.0
2817673,GBM_LATE_15M,SOL#15min,BUY_YES,0.465,0.47,0.59,2026-07-07T14:33:32+00:00,2026-07-07T14:45:00,1,0,-1.0
2817661,GBM_LATE_15M,XRP#15min,BUY_YES,0.51,0.51,0.78,2026-07-07T14:33:56+00:00,2026-07-07T14:45:00,1,0,-1.0
2817738,GBM_LATE_15M,ETH#15min,BUY_YES,0.505,0.51,0.99,2026-07-07T14:54:10+00:00,2026-07-07T15:00:00,0,1,0.0
2817742,GBM_LATE_15M,SOL#15min,BUY_YES,0.505,0.51,0.998,2026-07-07T14:54:10+00:00,2026-07-07T15:00:00,0,1,0.0
2817746,GBM_LATE_15M,XRP#15min,BUY_YES,0.52,0.52,0.998,2026-07-07T14:54:10+00:00,2026-07-07T15:00:00,0,1,0.0
2817797,GBM_LATE_15M,ETH#15min,BUY_YES,0.155,0.15,0.24,2026-07-07T15:08:17+00:00,2026-07-07T15:15:00,0,0,0.0
2817884,GBM_LATE_15M,SOL#15min,BUY_YES,0.505,0.51,0.56,2026-07-07T15:18:14+00:00,2026-07-07T15:30:00,0,1,0.0
2817895,GBM_LATE_15M,XRP#15min,BUY_YES,0.5,0.5,0.7,2026-07-07T15:18:14+00:00,2026-07-07T15:30:00,0,1,0.0
2817941,GBM_LATE_15M,SOL#15min,BUY_YES,0.495,0.49,0.54,2026-07-07T15:34:03+00:00,2026-07-07T15:45:00,1,1,1.0408
2817937,GBM_LATE_15M,ETH#15min,BUY_YES,0.485,0.48,0.66,2026-07-07T15:34:27+00:00,2026-07-07T15:45:00,1,1,1.0833
2819133,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.91,2026-07-07T15:48:52+00:00,2026-07-07T16:00:00,0,1,0.0
2819137,GBM_LATE_15M,ETH#15min,BUY_YES,0.445,0.45,0.65,2026-07-07T16:06:34+00:00,2026-07-07T16:15:00,1,0,-1.0
2819233,GBM_LATE_15M,SOL#15min,BUY_YES,0.3,0.3,0.41,2026-07-07T16:33:25+00:00,2026-07-07T16:45:00,1,1,2.3333
2819234,GBM_LATE_15M,ETH#15min,BUY_YES,0.295,0.29,0.35,2026-07-07T16:33:25+00:00,2026-07-07T16:45:00,1,1,2.4483
2819393,GBM_LATE_15M,XRP#15min,BUY_YES,0.485,0.48,0.57,2026-07-07T16:48:31+00:00,2026-07-07T17:00:00,1,0,-1.0
2820162,GBM_LATE_15M,XRP#15min,BUY_YES,0.49,0.49,0.63,2026-07-07T17:07:13+00:00,2026-07-07T17:15:00,0,1,0.0
2820151,GBM_LATE_15M,ETH#15min,BUY_YES,0.545,0.55,0.92,2026-07-07T17:10:37+00:00,2026-07-07T17:15:00,0,1,0.0
2821203,GBM_LATE_15M,SOL#15min,BUY_YES,0.395,0.4,0.53,2026-07-07T19:05:42+00:00,2026-07-07T19:15:00,1,0,-1.0
2824186,GBM_LATE_15M,SOL#15min,BUY_YES,0.505,0.51,0.77,2026-07-07T23:03:09+00:00,2026-07-07T23:15:00,0,1,0.0
2824182,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.85,2026-07-07T23:06:14+00:00,2026-07-07T23:15:00,0,1,0.0
2824222,GBM_LATE_15M,SOL#15min,BUY_YES,0.505,0.51,0.68,2026-07-07T23:18:18+00:00,2026-07-07T23:30:00,0,1,0.0
2824229,GBM_LATE_15M,ETH#15min,BUY_YES,0.505,0.51,0.74,2026-07-07T23:18:18+00:00,2026-07-07T23:30:00,1,1,0.9608
2824334,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.59,2026-07-07T23:48:33+00:00,2026-07-08T00:00:00,1,0,-1.0
2827999,GBM_LATE_15M,SOL#15min,BUY_YES,0.525,0.53,0.77,2026-07-08T06:48:08+00:00,2026-07-08T07:00:00,0,1,0.0
2828010,GBM_LATE_15M,XRP#15min,BUY_YES,0.525,0.53,0.79,2026-07-08T06:48:08+00:00,2026-07-08T07:00:00,0,1,0.0
2828009,GBM_LATE_15M,ETH#15min,BUY_YES,0.535,0.54,0.91,2026-07-08T06:50:01+00:00,2026-07-08T07:00:00,0,1,0.0
2828191,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.64,2026-07-08T07:19:49+00:00,2026-07-08T07:30:00,1,1,0.9608
2828631,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.62,2026-07-08T08:34:42+00:00,2026-07-08T08:45:00,1,1,0.9608
2828699,GBM_LATE_15M,SOL#15min,BUY_YES,0.635,0.64,0.93,2026-07-08T08:48:20+00:00,2026-07-08T09:00:00,0,1,0.0
2828704,GBM_LATE_15M,XRP#15min,BUY_YES,0.525,0.53,0.88,2026-07-08T08:48:20+00:00,2026-07-08T09:00:00,0,0,0.0
2828701,GBM_LATE_15M,ETH#15min,BUY_YES,0.615,0.61,0.87,2026-07-08T08:50:53+00:00,2026-07-08T09:00:00,0,1,0.0
2830968,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.89,2026-07-08T13:33:06+00:00,2026-07-08T13:45:00,0,1,0.0
2831128,GBM_LATE_15M,SOL#15min,BUY_YES,0.105,0.1,0.62,2026-07-08T14:25:40+00:00,2026-07-08T14:30:00,0,0,0.0
2831120,GBM_LATE_15M,ETH#15min,BUY_YES,0.135,0.14,0.79,2026-07-08T14:25:40+00:00,2026-07-08T14:30:00,0,0,0.0
2832273,GBM_LATE_15M,SOL#15min,BUY_YES,0.315,0.32,0.35,2026-07-08T15:03:24+00:00,2026-07-08T15:15:00,1,0,-1.0
2832952,GBM_LATE_15M,XRP#15min,BUY_YES,0.515,0.52,0.67,2026-07-08T15:33:16+00:00,2026-07-08T15:45:00,0,1,0.0
2832955,GBM_LATE_15M,SOL#15min,BUY_YES,0.525,0.53,0.7,2026-07-08T15:33:16+00:00,2026-07-08T15:45:00,0,1,0.0
2832961,GBM_LATE_15M,ETH#15min,BUY_YES,0.505,0.51,0.72,2026-07-08T15:33:42+00:00,2026-07-08T15:45:00,0,1,0.0
2833042,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.64,2026-07-08T15:48:43+00:00,2026-07-08T16:00:00,0,1,0.0
2833374,GBM_LATE_15M,SOL#15min,BUY_YES,0.495,0.49,0.61,2026-07-08T16:03:30+00:00,2026-07-08T16:15:00,0,1,0.0
2833361,GBM_LATE_15M,ETH#15min,BUY_YES,0.5,0.5,0.83,2026-07-08T16:05:23+00:00,2026-07-08T16:15:00,0,1,0.0
2833402,GBM_LATE_15M,SOL#15min,BUY_YES,0.465,0.47,0.6,2026-07-08T16:20:48+00:00,2026-07-08T16:30:00,0,1,0.0
2833410,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.57,2026-07-08T16:20:48+00:00,2026-07-08T16:30:00,1,1,1.0408
2833660,GBM_LATE_15M,ETH#15min,BUY_YES,0.385,0.39,0.42,2026-07-08T16:48:11+00:00,2026-07-08T17:00:00,1,1,1.5641
2834498,GBM_LATE_15M,XRP#15min,BUY_YES,0.475,0.47,0.66,2026-07-08T17:03:47+00:00,2026-07-08T17:15:00,1,1,1.1277
2834545,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.79,2026-07-08T17:18:10+00:00,2026-07-08T17:30:00,0,1,0.0
2834544,GBM_LATE_15M,SOL#15min,BUY_YES,0.515,0.52,0.72,2026-07-08T17:19:42+00:00,2026-07-08T17:30:00,0,1,0.0
2834539,GBM_LATE_15M,ETH#15min,BUY_YES,0.545,0.55,0.89,2026-07-08T17:20:48+00:00,2026-07-08T17:30:00,0,1,0.0
2834578,GBM_LATE_15M,ETH#15min,BUY_YES,0.555,0.56,0.73,2026-07-08T17:33:06+00:00,2026-07-08T17:45:00,1,0,-1.0
2834586,GBM_LATE_15M,SOL#15min,BUY_YES,0.335,0.34,0.53,2026-07-08T17:33:06+00:00,2026-07-08T17:45:00,1,0,-1.0
2834581,GBM_LATE_15M,XRP#15min,BUY_YES,0.49,0.49,0.62,2026-07-08T17:34:08+00:00,2026-07-08T17:45:00,1,0,-1.0
2834844,GBM_LATE_15M,XRP#15min,BUY_YES,0.515,0.52,0.79,2026-07-08T18:03:01+00:00,2026-07-08T18:15:00,0,1,0.0
2834847,GBM_LATE_15M,ETH#15min,BUY_YES,0.675,0.68,0.92,2026-07-08T18:05:06+00:00,2026-07-08T18:15:00,0,1,0.0
2839312,GBM_LATE_15M,SOL#15min,BUY_YES,0.485,0.48,0.59,2026-07-08T23:33:21+00:00,2026-07-08T23:45:00,1,1,1.0833
2839446,GBM_LATE_15M,SOL#15min,BUY_YES,0.495,0.49,0.56,2026-07-08T23:48:56+00:00,2026-07-09T00:00:00,1,1,1.0408
2839444,GBM_LATE_15M,ETH#15min,BUY_YES,0.495,0.49,0.56,2026-07-08T23:51:31+00:00,2026-07-09T00:00:00,1,1,1.0408
2841297,GBM_LATE_15M,ETH#15min,BUY_YES,0.565,0.56,0.61,2026-07-09T04:03:30+00:00,2026-07-09T04:15:00,0,1,0.0
