market_id,ts_bloqueo,combo,pct_ballenas,n_ballenas,umbral,n_intentos,strategy,subtype,decision,precio_yes_mercado,edge_neto,ic_hist,n_hist,resuelto,outcome_real,acierto_dir,pnl_neto_hipotetico_eur,fee_est_eur,motivo_sin_match
3236767,2026-08-01T04:13:55+00:00,ETH#15m,0.0,35,0.6,4,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7100,0.0600,0.2826,136,1,YES,1,0.4137,0.0151,
3240390,2026-08-01T13:10:55+00:00,ETH#15m,0.0,7,0.6,2,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7000,0.0600,0.2901,160,1,YES,1,0.4346,0.0154,
3240580,2026-08-01T13:57:25+00:00,ETH#15m,0.0,32,0.6,1,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7200,0.0600,0.2914,161,1,YES,1,0.3935,0.0148,
3242087,2026-08-01T17:50:12+00:00,SOL#15m,0.5869565217391305,46,0.6,2,FAVORITO_CONFIRMADO,SOL#15min,BUY_NO,0.4050,-0.0550,0.194,877,1,NO,1,0.697,0.0177,
3254580,2026-08-02T04:22:22+00:00,ETH#15m,0.0,11,0.6,6,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7000,0.0600,0.2839,197,1,NO,0,-1.0654,0.0154,
3277878,2026-08-02T23:44:33+00:00,ETH#15m,0.0,21,0.6,3,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.8800,0.0600,0.2751,247,1,YES,1,0.1354,0.0078,
3290633,2026-08-03T16:05:11+00:00,SOL#15m,0.4444444444444444,27,0.6,3,GBM_LATE_15M_ESPACIO_ATR,SOL#15min,BUY_YES,0.5050,0.3556,0.0978,980,1,NO,0,-1.0684,0.0184,
3273238,2026-08-03T20:50:47+00:00,BTC#60m,0.0,228,0.6,1,FAVORITO_CONFIRMADO,BTC#60min,BUY_NO,0.2200,-0.0600,0.1517,288,1,NO,1,0.2835,0.0126,
3301472,2026-08-04T08:37:19+00:00,ETH#5m,0.55,20,0.6,1,BALLENAS_TARDIAS,ETH#5min,BUY_YES,0.5800,0.0308,0.1125,6,1,YES,1,0.7424,0.0179,
3361237,2026-08-07T16:31:35+00:00,BTC#60m,0.4911935047669943,1291,0.6,3,FAVORITO_CONFIRMADO,BTC#60min,BUY_NO,0.4300,-0.0600,0.1553,378,1,NO,1,0.7741,0.018,
3517200,2026-08-12T15:58:57+00:00,ETH#5m,0.3235294117647059,34,0.6,1,BALLENAS_TARDIAS,ETH#5min,BUY_YES,0.1800,0.0171,0.0931,664,1,NO,0,-1.0608,0.0108,
3518112,2026-08-12T17:04:57+00:00,ETH#5m,0.5675675675675675,37,0.6,1,BALLENAS_TARDIAS,ETH#5min,BUY_YES,0.1800,0.0147,0.0875,672,1,NO,0,-1.0608,0.0108,
3807478,2026-08-24T13:54:01+00:00,ETH#15m,0.5405405405405406,74,0.6,1,BALLENAS_CONFIRMADAS_15M,ETH#15min,BUY_YES,0.7000,0.1165,0.1629,176,1,YES,1,0.4346,0.0154,
4030008,2026-09-01T14:16:04+00:00,ETH#15m,0.5238095238095238,21,0.6,2,STRUCT_NO_15M,ETH#15min,BUY_NO,0.4950,-0.0600,0.0197,1751,0,,,,,
4187939,2026-09-04T13:00:26+00:00,ETH#15m,0.5789473684210527,19,0.6,1,UPDOWN_GBM,ETH#15min,BUY_NO,0.5050,-0.0483,0.0128,899,0,,,,,
4192130,2026-09-04T17:45:25+00:00,ETH#15m,0.4375,16,0.6,1,,,,,,,,0,,,,,sin_prediccion_encontrada
4200570,2026-09-04T23:00:50+00:00,ETH#15m,0.45454545454545453,11,0.6,1,MOMENTUM_IBS_15M_BALLENA,ETH#15min,BUY_NO,0.5150,-0.0201,-0.0507,1024,1,NO,1,1.0966,0.0184,
