market_id,strategy,subtype,direction,ts_exec,outcome_real,resultado_nuestro,n_validadas_lado_ganador,n_validadas_lado_perdedor,lag_min_ganador_s,lags_ganador_s
2800811,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-05T23:53:03+00:00,YES,PERDIDA,0,0,,
2803824,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T06:37:53+00:00,YES,GANANCIA,22,20,90.0,300.0;266.0;266.0;251.0;242.0;236.0;210.0;209.0;153.0;150.0;150.0;149.0;90.0;-190.0;-196.0;-198.0;-199.0;-201.0;-208.0;-208.0;-213.0;-277.0
2804284,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-06T06:56:36+00:00,YES,PERDIDA,0,0,,
2804279,GBM_LATE_15M,XRP#15min,BUY_NO,2026-07-06T07:11:32+00:00,YES,PERDIDA,10,17,37.0,177.0;161.0;152.0;125.0;39.0;-37.0;-39.0;-52.0;-52.0;-226.0
2804313,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-06T07:19:11+00:00,YES,GANANCIA,38,9,38.0,300.0;240.0;165.0;108.0;108.0;107.0;105.0;104.0;102.0;102.0;101.0;99.0;98.0;96.0;96.0;95.0;93.0;92.0;90.0;89.0;87.0;84.0;81.0;81.0;80.0;78.0;78.0;77.0;75.0;74.0;72.0;72.0;62.0;62.0;44.0;41.0;38.0;-156.0
2804617,GBM_LATE_15M,XRP#15min,BUY_NO,2026-07-06T08:55:19+00:00,YES,PERDIDA,11,28,9.0,177.0;175.0;172.0;171.0;-9.0;-11.0;-143.0;-195.0;-198.0;-288.0;-291.0
2804680,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T09:22:11+00:00,YES,GANANCIA,38,17,1.0,293.0;254.0;200.0;194.0;194.0;152.0;146.0;144.0;143.0;143.0;141.0;141.0;141.0;140.0;138.0;138.0;137.0;134.0;131.0;128.0;122.0;81.0;78.0;62.0;54.0;54.0;-1.0;-25.0;-52.0;-55.0;-70.0;-72.0;-180.0;-273.0;-274.0;-274.0;-276.0;-277.0
2806762,GBM_LATE_15M,XRP#15min,BUY_NO,2026-07-06T13:21:36+00:00,NO,GANANCIA,53,33,37.0,287.0;286.0;286.0;286.0;158.0;154.0;154.0;152.0;149.0;122.0;122.0;119.0;118.0;118.0;116.0;116.0;-37.0;-38.0;-148.0;-154.0;-155.0;-157.0;-163.0;-163.0;-164.0;-170.0;-172.0;-173.0;-178.0;-181.0;-181.0;-187.0;-188.0;-190.0;-196.0;-197.0;-199.0;-205.0;-206.0;-208.0;-212.0;-214.0;-215.0;-221.0;-223.0;-224.0;-230.0;-230.0;-232.0;-238.0;-239.0;-242.0;-247.0
2806760,GBM_LATE_15M,SOL#15min,BUY_NO,2026-07-06T13:23:31+00:00,NO,GANANCIA,25,32,0.0,220.0;199.0;196.0;195.0;195.0;192.0;192.0;171.0;153.0;130.0;124.0;118.0;106.0;103.0;91.0;43.0;36.0;30.0;0.0;-2.0;-2.0;-86.0;-99.0;-110.0;-245.0
2806822,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-06T13:39:12+00:00,YES,GANANCIA,18,15,10.0,122.0;22.0;17.0;-10.0;-17.0;-19.0;-20.0;-20.0;-25.0;-26.0;-28.0;-29.0;-31.0;-32.0;-40.0;-40.0;-46.0;-142.0
2806882,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T13:56:29+00:00,NO,PERDIDA,28,28,21.0,183.0;159.0;144.0;141.0;140.0;138.0;114.0;104.0;99.0;87.0;75.0;66.0;47.0;35.0;33.0;30.0;-21.0;-64.0;-76.0;-114.0;-123.0;-127.0;-133.0;-171.0;-207.0;-213.0;-262.0;-277.0
2806911,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T14:07:32+00:00,NO,PERDIDA,14,14,3.0,212.0;147.0;132.0;132.0;132.0;132.0;131.0;41.0;-3.0;-12.0;-12.0;-13.0;-22.0;-300.0
2806913,GBM_LATE_15M,XRP#15min,BUY_NO,2026-07-06T14:09:22+00:00,YES,PERDIDA,13,36,78.0,187.0;186.0;-78.0;-186.0;-195.0;-203.0;-216.0;-221.0;-245.0;-285.0;-294.0;-299.0;-299.0
2807011,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-06T14:18:18+00:00,YES,GANANCIA,11,9,226.0,290.0;287.0;287.0;286.0;284.0;269.0;257.0;242.0;238.0;229.0;226.0
2807013,GBM_LATE_15M,SOL#15min,BUY_NO,2026-07-06T14:24:47+00:00,YES,PERDIDA,35,28,2.0,120.0;117.0;108.0;101.0;95.0;93.0;92.0;90.0;89.0;87.0;87.0;87.0;84.0;81.0;74.0;71.0;69.0;68.0;66.0;66.0;56.0;54.0;50.0;48.0;45.0;44.0;6.0;2.0;-94.0;-174.0;-208.0;-229.0;-232.0;-265.0;-267.0
2807052,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T14:33:52+00:00,NO,PERDIDA,9,14,69.0,249.0;223.0;198.0;189.0;162.0;-69.0;-135.0;-158.0;-189.0
