timestamp_utc,slug,market_id,condition_id,activo,end_date,restante_s_objetivo,restante_s_real,precio_yes,lado_favorito,best_ask_favorito,ask_usd_le5c,best_bid_favorito,profundidad_favorito_usd,n_niveles_favorito,outcome_real,favorito_gano
2026-07-21T19:44:00+00:00,btc-updown-15m-1784662200,3005076,0x324ba6b2af98d447e9a495ba634ba1af23f43033c6ef3a1f8665575924608c9e,BTC,2026-07-21T19:45:00+00:00,60,59.9,0.965,Up,0.999,136.85,0.993,136.85,1,,
2026-07-21T20:01:00+00:00,sol-updown-5m-1784664000,3005681,0xea9da3c88f69f021e9787602ca9cdadaf8d65b503816ba45ceff564504e6c39b,SOL,5min,2026-07-21T20:05:00+00:00,240,239.9,0.505,Up,0.53,201.84,0.52,17591.95,47,,
2026-07-21T20:02:00+00:00,eth-updown-5m-1784664000,3005685,0x52ee5ccf22e869fa0914f9aec34492f2e5bda49620abf7dc64e9ab8682af3cd1,ETH,5min,2026-07-21T20:05:00+00:00,180,179.8,0.495,Down,0.77,793.87,0.76,22980.51,23,,
2026-07-21T20:02:00+00:00,xrp-updown-15m-1784664000,3005675,0xbad3f78d54523c8562114c7019172d7f5a58ec0965435f9e519c233121c3ecd6,XRP,15min,2026-07-21T20:15:00+00:00,780,779.7,0.52,Up,0.56,102.07,0.55,12019.17,28,,
2026-07-21T20:06:00+00:00,sol-updown-5m-1784664300,3005729,0xcf6e0c88b4d676b900347557ca388b89a5885d62fd04be9c857613b792612f97,SOL,5min,2026-07-21T20:10:00+00:00,240,239.9,0.5,Up,0.55,53.06,0.54,20672.65,42,,
2026-07-21T20:07:00+00:00,eth-updown-5m-1784664300,3005735,0xce09d3905e03815cffe0830a519721aef80643854002f14a517c278e1a570ec8,ETH,5min,2026-07-21T20:10:00+00:00,180,179.8,0.475,Down,0.52,233.84,0.51,22685.19,48,,
2026-07-21T20:07:00+00:00,sol-updown-15m-1784664000,3005671,0x4b605d6fa772ab81db64960fa62643c53abe89deb4dfc7282648bcb44d99d837,SOL,15min,2026-07-21T20:15:00+00:00,480,479.6,0.545,Up,0.74,462.63,0.73,11873.58,26,,
2026-07-21T20:10:00+00:00,eth-updown-15m-1784664000,3005683,0x703a7a875cecba2557216a0510c88ac5065cd578d193348b5076382d33befbc8,ETH,15min,2026-07-21T20:15:00+00:00,300,299.9,0.255,Down,0.64,394.41,0.63,15033.27,36,,
2026-07-21T20:11:00+00:00,sol-updown-5m-1784664600,3005778,0x985a702aea1fab81b14d91ec0ccdc135458ff4a589a941a740e09f2a1c31ef30,SOL,5min,2026-07-21T20:15:00+00:00,240,239.8,0.495,Down,0.58,171.08,0.57,20515.68,42,,
2026-07-21T20:12:00+00:00,eth-updown-5m-1784664600,3005780,0xe326fa78774af65d8679c206351ef2be691fc0afe26c2f498d6667e33492743e,ETH,5min,2026-07-21T20:15:00+00:00,180,179.9,0.505,Up,0.65,553.13,0.64,23327.49,35,,
2026-07-21T20:14:00+00:00,btc-updown-15m-1784664000,3005679,0x7f67f50a8263bb65ae097e7495ea72803d13d4c81af994f0055be969c252d67a,BTC,15min,2026-07-21T20:15:00+00:00,60,59.9,0.335,Down,0.9,917.95,0.89,3736.36,10,,
