fecha,wallet,nombre,pnl_neto,roi_sobre_comprado,buy_usd,sell_usd,redeem_usd,buy_n,sell_n,redeem_n,pct_maker,mercados_unicos,span_h,trades_por_mercado_mediana,precio_buy_mediana,pct_precio_lt010,pct_precio_045_055,pct_precio_gte070,seg_ventana_restante_pct_mediana,en_leaderboard_hoy,pnl_leaderboard_rank
2026-07-10,0xcb92e59eef071c7dfac33fbc64c60952d277e62f,lelimarket,17478.97,0.6353,27511.8,13223.6,31767.2,558,1211,497,0.0,593,31.0,2,0.52,0.036,0.301,0.183,0.573,1,61
2026-07-10,0x31393e2f8333d4a6e2e31ca6424defe8b6cb9e2e,hot-garbage,-1820.84,-0.1184,15383.1,0.0,13562.3,2958,0,42,0.971,46,1.8,51.5,0.57,0.024,0.134,0.28,0.54,1,62
2026-07-10,0x5bb44d0d51c6a04b8e292ed163936d491bda692a,F0xff5BB44d0D51C6A04B8E29,-792.04,-0.0488,16234.7,2192.8,13249.9,2839,19,137,0.005,97,65.1,28,0.18,0.284,0.034,0.041,0.403,1,63
2026-07-10,0x44ab68a9e1272216005366a9a955e5320d28bef3,jaicobioas,-17906.86,-0.6682,26796.8,0.0,8890.0,2872,0,72,1.0,75,3.6,40,0.47,0.038,0.138,0.225,0.613,1,64
2026-07-10,0x60b84c9f528f0da2217f2e37b73699f6315981e0,jj8899666,22647.16,0.1983,114184.5,26173.3,110658.4,2018,889,86,0.926,81,111.9,21,0.3,0.099,0.221,0.0,0.413,1,65
2026-07-10,0x13ee84edba45fa1bcf530a0f84889c71e1e1e5ee,Mbeng666,4428.94,0.0858,51630.3,3530.0,52529.3,1447,98,1448,0.539,795,86.3,1,0.532,0.007,0.866,0.0,0.953,1,66
2026-07-10,0x48ea6b561bdef5c384f83b1e05fde6b7af973e30,plytrader4life,-15839.4,-0.6721,23567.0,0.0,7727.6,2885,0,63,1.0,70,3.0,35.0,0.47,0.034,0.126,0.243,0.633,1,67
2026-07-10,0x5b6331e7ff0831a3fe2ed12004747db1a9c911a4,neutralwave23,231127.51,1.4514,159243.5,246998.1,143373.0,2249,458,290,0.075,696,14.9,2.0,0.466,0.108,0.143,0.144,0.607,1,68
2026-07-10,0x6916cc00aa1c3e75ecf4081df7cae7d2f3592fd4,x6916Cc00AA1c3e75ECf4081DF7caE7D2f3592fd4,30643.09,0.0661,463800.1,233846.1,260597.1,1798,1116,53,0.439,77,237.2,18,0.37,0.232,0.11,0.249,,1,69
2026-07-10,0x946769f131a690e168efb9e26e6628f4152ed15f,cereals155970,16707.0,0.0363,460231.3,0.0,476938.3,2538,0,448,0.948,389,139.9,2,0.99,0.0,0.001,0.997,-0.023,1,70
2026-07-10,0x691a8cf1e3dfc5add6291a44e0f2855eec4b12ba,turtlesallthewaydown,-45127.26,-0.2,225689.0,85844.5,94717.2,520,43,33,0.956,40,2537.2,4.5,0.45,0.037,0.194,0.273,0.723,1,71
2026-07-10,0xb0f85baa97990910a3e8ac2b4a58a322f01ecef5,pspspsps5,-582.28,-0.0257,22631.8,0.0,22049.6,2808,0,192,1.0,349,7.4,6,0.22,0.291,0.069,0.175,0.353,1,72
2026-07-10,0x7049557c76a0b416d52b14903cde08be14480eed,0x7049557c76A0b416D52B14903cdE08Be14480eED-1781947947917,-8083.07,-0.1549,52199.0,0.0,44115.9,1249,0,184,0.404,370,478.7,2.0,0.33,0.148,0.268,0.049,0.417,1,73
2026-07-10,0x9b7ac362d911e3483bdf0fb95a423278bc54bc22,Sociopathy,-36802.54,-0.061,603346.8,505316.8,61227.5,1670,672,606,0.423,940,2977.5,2.0,0.32,0.06,0.213,0.006,0.577,1,74
2026-07-10,0x84413583462b68f0a379f533bcbdcd089acfbc73,OBParasite,354.27,0.0206,17173.8,0.0,17528.1,2906,0,94,1.0,94,3.8,22.5,0.57,0.021,0.167,0.313,0.587,1,75
2026-07-11,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,sin_nombre_20d2,21.45,0.0014,15787.8,2514.6,13294.6,2005,800,195,0.015,201,3.1,10,0.647,0.038,0.145,0.432,0.544,1,4
2026-07-11,0xee55214ee3a9ee22a404663c76ca832577df7b04,sixx7,-2694.17,-0.3012,8946.2,0.0,6252.0,2875,0,115,0.64,119,3.1,18,0.45,0.006,0.203,0.168,0.568,0,
2026-07-11,0x48ac40fc545cf327edd5365435c3a9f385614a7e,BoneOhio,455.73,0.0042,107727.9,0.0,108183.6,2487,0,511,0.451,512,11.1,3.0,0.69,0.058,0.069,0.492,0.377,1,8
2026-07-11,0xfcdc071df7080c214196bb0b3b751e5417f9d8e3,neversmiling,-11187.5,-0.4509,24811.9,0.0,13624.4,2799,0,167,0.414,190,4.5,7.0,0.48,0.044,0.175,0.229,0.473,1,56
2026-07-11,0xe3eeb127d5763a6e4ad597f773f9d259c94d5176,sin_nombre_e3ee,5657.17,0.1667,33938.8,8754.5,30841.4,2658,167,174,0.798,178,4.0,10.0,0.05,0.616,0.101,0.128,0.293,1,23
2026-07-11,0x0479be41c67b588ece5bdc8913beb2adb3ca8177,cybermaxs,-36.96,-0.0224,1651.9,0.0,1615.0,1620,0,1379,0.0,1620,60.0,1.0,0.78,0.0,0.002,0.805,0.323,0,
2026-07-11,0x3deac23f85896126e9fc8134247a643092087b7b,EvanChance,102.05,0.0152,6705.3,0.0,6807.4,2006,0,991,0.0,983,32.1,2,0.67,0.006,0.122,0.4,0.501,0,
2026-07-11,0x0d7dfb4f0299335c81991c8c011df5d7cebb15c0,manual-large,-672.19,-0.0176,38262.6,2275.0,35315.4,1754,99,1139,0.132,1285,223.7,1,0.93,0.0,0.0,0.997,0.258,0,
2026-07-11,0xdc8923aa7d6b293af2974c521092d0026ac37ac3,sin_nombre_dc89,26629.21,7.2663,3664.8,4340.4,25953.6,1342,1478,88,0.878,90,1.3,25.0,0.47,0.017,0.159,0.248,0.516,1,31
2026-07-11,0xf3531b23b504cf0aed4ff21325232b2a2d496685,powerwinner,-2939.02,-0.0125,235838.0,0.0,232899.0,2829,0,169,0.006,169,14.0,14,0.51,0.039,0.202,0.216,0.653,1,1
2026-07-11,0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,0xb55fa1296E6ec55D0cE53d93B9237389f11764d4-1777575277609,7531.76,0.191,39433.7,0.0,46965.5,2893,0,105,0.557,117,5.6,17,0.5,0.218,0.143,0.216,0.356,1,2
2026-07-11,0xee65685de42f8de9a03b4c53ee77d56a20d2cfc9,0x50f7,15859.61,0.0261,606486.3,0.0,622345.9,2263,0,735,0.675,652,23.5,2.0,0.99,0.056,0.262,0.679,0.011,1,3
2026-07-11,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,Bonereaper,-4216.5,-0.0386,109344.8,0.0,105128.3,2900,0,98,0.56,95,5.6,30,0.573,0.037,0.197,0.347,0.463,1,5
2026-07-11,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,0xcE25E214D5cfE4f459cf67F08DF581885AAE7Fdc-1777575398144,90.27,0.0028,32295.6,0.0,32385.8,2892,0,106,0.432,108,7.2,17.0,0.52,0.121,0.153,0.225,0.451,1,6
2026-07-11,0xa01c0a5e4f8c1114e95c68ee97694bc95e51766c,0xa01c0A5E4F8c1114e95c68eE97694BC95E51766C-1782858480408,60053.93,0.2501,240155.7,0.0,300209.6,2983,0,14,0.99,33,26.3,7,0.01,0.503,0.131,0.006,0.183,1,7
2026-07-11,0x13e0d447520ebe7f8eeaf7817211201b2c585204,0x13e0d447,651.4,0.0159,41071.4,0.0,41722.7,2968,0,32,1.0,34,2.7,75.0,0.4,0.114,0.16,0.159,0.417,1,9
2026-07-11,0x251c1a283703beed41590b0875a8dcb8ddd1541f,0xAAAAA,-395.25,-0.004,98735.1,0.0,98339.9,2844,0,155,0.004,156,12.9,16.0,0.58,0.017,0.166,0.281,0.593,1,10
2026-07-11,0x0484e64092ba4108c2786b61e6fc052d3bf41b1a,DoggyStyIe,-860.41,-0.0079,108948.6,0.0,108088.2,2855,0,143,0.002,144,11.9,18.5,0.5,0.075,0.184,0.225,0.587,1,11
2026-07-11,0x565ca59275f81991bd9877d7fa8404c5ecf6519e,bbwlover,65261.74,0.1373,475311.2,496.3,540076.6,2892,1,95,0.569,123,117.4,8,0.5,0.091,0.238,0.168,0.333,1,12
2026-07-11,0x1465b79bff7992bc703e1aafb3683b1089647072,JnStTrdrBnusFnd,-1499332.06,-0.5004,2996315.7,37312.1,1459671.5,2747,94,49,0.906,68,2258.8,12.0,0.84,0.0,0.087,0.805,,1,13
2026-07-11,0x04b6d7e930cf9e493c5e6ef24b496294f95594c8,0x04b6D7E930cf9e493c5E6eF24B496294F95594C8-1774448369789,7460.85,0.1281,58264.0,0.0,65724.9,2985,0,14,1.0,14,8.8,240.0,0.42,0.037,0.231,0.075,0.647,1,14
2026-07-11,0x32ed2e546b187ca15e2841edc82b22c713cf8ec3,mo-money,-21105.16,-0.3841,54940.4,0.0,33835.3,2573,0,315,0.923,315,10.6,4,0.42,0.137,0.087,0.25,0.383,1,15
2026-07-11,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,justdance,-191636.78,-0.5097,375961.2,0.0,184324.5,2333,0,143,0.49,273,126.8,1,0.5,0.071,0.162,0.34,0.332,1,16
2026-07-11,0x55be7aa03ecfbe37aa5460db791205f7ac9ddca3,coinman2,-7099.47,-1.0,7099.5,0.0,0.0,2945,0,0,0.999,3,3.4,3,0.19,0.0,0.0,0.498,,1,17
2026-07-11,0xa0e72d5575095199ae08ce0dce447f21b7249461,uninformedfloww,141.61,0.0056,25405.2,0.0,25546.8,2804,0,194,1.0,186,3.7,6.0,0.63,0.032,0.102,0.386,0.343,1,18
2026-07-11,0xbbd339eb192219358de7b92f70f595e41471641b,FOLLOWSMARTWALLET,53516.38,0.1619,330541.3,0.0,384057.7,1680,0,69,0.881,115,193.1,3,0.6,0.005,0.159,0.415,0.307,1,19
2026-07-11,0x252d7bae5ec87553dcafb23e275c202ac0d3c456,getbipped,-353351.93,-0.6201,569865.9,0.0,216513.9,2060,0,72,0.428,142,559.2,5.0,0.44,0.157,0.091,0.291,,1,20
2026-07-11,0xdf7930e89a2c47560165331863c31deca0733dcd,std0,122068.64,14.0874,8665.1,7564.6,123169.1,1396,1476,64,0.697,65,2.6,38,0.59,0.006,0.191,0.345,0.617,1,21
2026-07-11,0x27091ce48a08a3e21d63c42d33428cf1e55d20f5,dgcf,-663.83,-0.0351,18888.1,0.0,18224.3,2920,0,77,0.241,104,5.8,27.5,0.18,0.289,0.03,0.104,0.367,1,22
2026-07-11,0x5fe14b52584c83c18496914db0b30a28d4510981,Bitara,34304.64,0.0499,687358.4,297306.9,424356.1,2632,110,250,0.572,271,1841.6,6,0.482,0.01,0.309,0.021,0.627,1,24
2026-07-11,0x7e5d2991c2647de2348287e2f499329fc6a6c4c3,aswfadq1555,176.88,0.0126,14022.5,0.0,14199.4,2953,0,44,0.826,45,6.4,66,0.56,0.035,0.168,0.317,0.544,1,25
2026-07-11,0x2fc26fa727e3fa7aa5011564ac5f55599826cfce,8xdsag32d45gd,47691.2,0.3005,158689.4,0.0,206380.6,2642,0,328,0.727,282,479.6,3.0,0.4,0.318,0.095,0.121,0.193,1,26
2026-07-11,0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,0xb27bc932,-13047.32,-0.9678,13480.9,0.0,433.6,2900,0,11,1.0,19,0.5,137,0.41,0.042,0.141,0.146,0.557,1,27
2026-07-11,0x3725d52f3c252e8374999cc8617292ea2608ad88,almach,-11753.84,-0.4092,28720.8,0.0,16967.0,2617,0,281,0.962,301,9.9,4,0.26,0.149,0.086,0.099,0.297,1,28
2026-07-11,0xc2ad03f79ca3f3c17d8c7de2612ce0c89b7d40ed,bosona,-15365.34,-0.2909,52822.1,0.0,37456.8,2439,0,377,0.917,386,13.1,4.0,0.42,0.134,0.107,0.241,0.357,1,29
2026-07-11,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,suntori,-40066.47,-0.2646,151450.6,18531.6,92852.6,2448,339,213,0.09,422,2.2,2.0,0.374,0.189,0.224,0.106,0.753,1,30
2026-07-11,0x06dc51826bc524d9a83770e7de9dd7e005b04524,0x06dc51826bc524d9a83770e7de9dd7e005b0452,-86524.2,-0.2262,382558.2,0.0,296034.0,2830,0,76,0.424,173,17.9,3,0.57,0.097,0.124,0.329,,1,32
2026-07-11,0x7f41e63ca804dd85ae1e3b8d11a8fc1fdec8c39b,0x7f41e63cA804Dd85Ae1e3b8d11A8FC1fDEC8c39B-1783151863044,12796.91,0.2575,49696.0,0.0,62492.9,2974,0,17,0.974,35,79.2,12,0.27,0.0,0.09,0.01,0.463,1,33
2026-07-11,0x9d57c42e847173d06841703825d3fe2299e456ea,Polkadot-Frog,-10458.94,-0.5689,18383.0,1336.8,6587.3,2305,132,161,0.466,83,3.4,27,0.45,0.057,0.129,0.276,0.563,1,34
2026-07-11,0x76d4d4703add6e94cfdb1107f3d991d85ff2c512,0x76d4d470,-11829.03,-0.9219,12831.0,0.0,1002.0,2490,0,98,1.0,104,1.3,15.0,0.37,0.219,0.094,0.254,0.333,1,35
2026-07-11,0x9412cdfc1e3171e1aabb013d0f494986445d0cd0,gansinimen,1824.22,0.0634,28769.1,0.0,30593.3,2959,0,41,0.907,45,3.0,52,0.39,0.094,0.133,0.131,0.457,1,36
2026-07-11,0xa7011667f22c121c6cea7aab30192307c58c47cd,BadTattoo,-28704.64,-0.0362,792668.7,0.0,763964.1,1147,0,27,0.971,46,3702.5,5.0,0.54,0.001,0.262,0.331,,1,37
2026-07-11,0x4c9497941333332d29f1c235dd23200f3623ffad,0x4c949794,-13104.77,-0.8655,15141.1,0.0,2036.3,2945,0,28,1.0,18,1.4,155.0,0.5,0.086,0.122,0.259,0.497,1,38
2026-07-11,0x997cda7b31612e3c394bfb55440619f3f689251e,coinfilippe,9094.0,0.1734,52445.8,54405.1,7134.6,1400,1580,18,1.0,59,15.1,27,0.56,0.274,0.094,0.435,,1,39
2026-07-11,0x568b079891fcc8bef2e557fa2a8a7ecca1700b3b,0x568b0798,-12392.39,-0.6732,18408.0,0.0,6015.6,2936,0,31,1.0,29,2.4,93,0.56,0.008,0.293,0.178,0.663,1,40
2026-07-11,0xd02b6d910a38479c3125308fc4737a46509cd6df,wowitsamazing,-15303.79,-0.0857,178517.3,0.0,163213.5,2758,0,240,0.0,340,24.0,3.0,0.726,0.0,0.045,0.656,0.633,1,41
2026-07-11,0x60b84c9f528f0da2217f2e37b73699f6315981e0,jj8899666,29753.55,0.2415,123195.3,25951.3,126997.5,2010,890,91,0.919,84,132.7,17.5,0.31,0.087,0.212,0.0,0.413,1,42
2026-07-11,0x3048d65321be3497164cdfc2996f94f98a2e7537,BadFallen,1047.96,0.0294,35595.4,0.0,36643.3,2800,0,198,0.376,206,18.6,10.0,0.48,0.004,0.151,0.176,0.363,1,43
2026-07-11,0x927f7694de44d19a72bce76254e628d1c141d215,baloneigh,-24168.75,-0.3416,70760.3,0.0,46591.5,2263,0,410,0.658,415,19.7,3,0.5,0.009,0.577,0.097,0.967,1,44
2026-07-11,0xf9b7876ba2c35370e0bedb7f8ee772da722aa37c,0xf9b7876b,-12890.99,-0.6738,19131.3,0.0,6240.3,2927,0,35,1.0,31,2.5,76,0.56,0.008,0.303,0.183,0.653,1,45
2026-07-11,0xed2f4c1a5b2ea42eb0fbc9c03adc267a04c39897,didibaba5AE86,33592.37,0.111,302699.5,498.9,335793.0,2883,27,61,0.876,112,405.4,9.5,0.5,0.355,0.146,0.042,0.485,1,46
2026-07-11,0x80cd8310aa624521e9e1b2b53b568cafb0ef0273,HaileyWelch,-189278.9,-0.4895,386711.2,0.0,197432.3,2296,0,62,0.454,120,676.9,7.0,0.6,0.126,0.071,0.335,,1,47
2026-07-11,0xdf0d2ccfe3d7c2ef120395534e43afe283509f79,0xdf0D2CcfE3d7C2EF120395534e43Afe283509F79-1774320078733,2526.2,0.006,419253.0,0.0,421779.2,2244,0,754,0.986,741,19.1,2,0.99,0.0,0.0,1.0,0.027,1,48
2026-07-11,0x91aab8d0ae5c7dde7d9ea7ca49aeb985e09819b8,0xfifr4t0g0vkdkefj,50062.2,0.2849,175746.9,1646.5,224162.6,2788,24,151,0.82,173,66.7,11,0.28,0.287,0.089,0.254,0.157,1,49
2026-07-11,0x98f5d88798331947dc2a0f9087308a17c41f754f,gardenerCx,25936.38,1.1233,23088.5,0.0,49024.9,2572,0,396,0.753,594,508.2,2.0,0.3,0.251,0.124,0.037,-0.007,1,50
2026-07-11,0x82c857cb4d18e919c1b7d3c6865be4debe50da77,wolf9478,1742.77,0.0477,36526.2,0.0,38268.9,2915,0,83,0.973,82,13.6,31.5,0.5,0.015,0.175,0.173,0.667,1,51
2026-07-11,0x3fe80728e50b9765b782bee0acef988ad7e40de3,asdmdwan,65924.03,0.5568,118395.5,17091.5,167228.1,2099,70,61,0.831,113,433.6,8,0.37,0.218,0.258,0.0,0.237,1,52
2026-07-11,0x0d50d8b4407447eadb428fe20e48deaa84d8aec0,0x0D50d8b4407447eAdb428fE20E48dEaa84D8AeC0-1778592192986,-48137.87,-1.0,48137.9,0.0,0.0,159,0,0,0.899,1,562.3,159,0.4,0.0,0.006,0.0,,1,53
2026-07-11,0xd4fa2e10c74ab94bc23414989a516b07386ddcc8,0x0a10,-28.92,-0.0015,18923.2,0.0,18894.3,2974,0,25,1.0,25,4.7,110,0.51,0.071,0.173,0.212,0.633,1,54
2026-07-11,0x170cd9a17ad1ba30f500b1a706ce1e366aa8df86,0x170cd9A17AD1bA30F500B1A706Ce1E366Aa8DF86-1782095004639,14239.94,0.3949,36060.5,0.0,50300.4,1123,0,181,0.385,347,454.6,2,0.3,0.088,0.182,0.035,0.477,1,55
2026-07-11,0x06a738f379ab8a86ffbd4984032e2c2e194ab108,terawdae,18705.58,0.2435,76825.4,0.0,95531.0,1530,0,91,0.722,125,145.3,4,0.353,0.392,0.119,0.158,0.157,1,57
2026-07-11,0x8d1d5d1c6041b13fc708b5d9f668070e1724ed4a,CERTova,31931.39,0.5364,59525.5,16719.7,74737.2,2367,307,324,0.831,228,14.8,8.0,0.027,0.708,0.04,0.15,0.201,1,58
2026-07-11,0x424d6d7cc44dc02a1a4cb6d47602142489153b7e,0x424d6d7c,-133201.88,-0.1792,743148.4,578644.1,31302.4,1467,270,39,0.0,490,481.2,3.0,0.37,0.085,0.193,0.046,0.717,1,59
2026-07-11,0x31393e2f8333d4a6e2e31ca6424defe8b6cb9e2e,hot-garbage,-54.93,-0.004,13755.9,0.0,13700.9,2942,0,56,0.983,65,8.5,31,0.52,0.024,0.154,0.204,0.537,1,60
2026-07-11,0x5bb44d0d51c6a04b8e292ed163936d491bda692a,F0xff5BB44d0D51C6A04B8E29,-936.06,-0.0389,24056.4,1831.7,21288.6,2824,15,155,0.019,102,65.8,25.0,0.19,0.266,0.033,0.116,0.407,1,61
2026-07-11,0x44ab68a9e1272216005366a9a955e5320d28bef3,jaicobioas,-15830.8,-0.6554,24154.8,0.0,8324.0,2886,0,60,1.0,61,8.6,32,0.48,0.036,0.17,0.201,0.486,1,62
2026-07-11,0x946769f131a690e168efb9e26e6628f4152ed15f,cereals155970,10692.91,0.0227,470211.8,0.0,480904.7,2536,0,450,0.953,392,139.5,2.0,0.99,0.0,0.001,0.998,-0.023,1,63
2026-07-11,0x48ea6b561bdef5c384f83b1e05fde6b7af973e30,plytrader4life,-8177.54,-0.5159,15851.9,0.0,7674.4,2886,0,84,1.0,93,6.2,23,0.48,0.023,0.172,0.199,0.461,1,64
2026-07-11,0xb0f85baa97990910a3e8ac2b4a58a322f01ecef5,pspspsps5,-154.67,-0.0076,20369.5,0.0,20214.9,2815,0,184,1.0,311,5.8,7,0.2,0.353,0.088,0.18,0.317,1,65
2026-07-11,0xcb92e59eef071c7dfac33fbc64c60952d277e62f,lelimarket,21934.99,0.8461,25923.6,10708.2,37150.4,484,1076,609,0.001,614,34.4,2.0,0.52,0.058,0.248,0.223,0.477,1,66
2026-07-11,0x5b6331e7ff0831a3fe2ed12004747db1a9c911a4,neutralwave23,21248.59,0.1259,168763.8,64141.6,125870.8,2290,395,312,0.096,579,12.2,2,0.48,0.082,0.168,0.197,0.507,1,67
2026-07-11,0x4228048ea2f8f571ff2777cc32baee584c5134cb,trinity42,5346.0,0.1634,32710.8,5923.9,32132.9,1485,756,591,0.0,813,28.1,2,0.53,0.024,0.256,0.164,0.497,1,68
