ts_deteccion_utc,market_id,activo,ventana_min,direccion,lag_apertura_s,restante_s,py_ask_yes,profundidad_ratio,profundidad_ask
2026-08-21T04:58:21+00:00,3736764,BTC,5,BUY_NO,62.51,237.5,0.29,2928.1,0.5
2026-08-21T05:01:19+00:00,3736808,BTC,5,BUY_NO,32.46,267.5,0.42,,
2026-08-21T05:02:10+00:00,3736809,SOL,5,BUY_YES,100.44,199.6,0.66,39.9,0.67
2026-08-21T05:02:22+00:00,3736808,BTC,5,BUY_YES,130.94,169.1,0.66,,
2026-08-21T05:05:12+00:00,3736810,BTC,15,BUY_NO,249.7,650.3,0.25,5998.9,0.13
2026-08-21T05:07:29+00:00,3736823,SOL,5,BUY_YES,3.63,296.4,0.92,,
2026-08-21T05:07:44+00:00,3736824,BTC,5,BUY_YES,4.49,295.5,0.9,,
2026-08-21T05:11:14+00:00,3736831,BTC,5,BUY_YES,14.45,285.6,0.89,,
2026-08-21T05:11:15+00:00,3736828,SOL,5,BUY_YES,18.45,281.5,0.64,,
2026-08-21T05:17:31+00:00,3736841,BTC,5,BUY_YES,19.38,280.6,0.77,2462.8,0.74
2026-08-21T05:17:29+00:00,3736852,SOL,5,BUY_YES,20.43,279.6,0.84,,
2026-08-21T05:22:18+00:00,3736855,BTC,5,BUY_YES,21.61,278.4,0.69,,
2026-08-21T05:23:57+00:00,3736855,BTC,5,BUY_NO,210.67,89.3,0.03,,
2026-08-21T05:26:27+00:00,3736868,BTC,5,BUY_NO,86.8,213.2,0.12,,
2026-08-21T05:27:16+00:00,3736843,BTC,15,BUY_NO,735.92,164.1,0.06,,
2026-08-21T05:30:05+00:00,3736873,BTC,5,BUY_NO,2.02,298.0,0.29,,
2026-08-21T05:30:49+00:00,3736875,BTC,15,BUY_NO,2.03,898.0,0.32,,
2026-08-21T05:34:33+00:00,3736873,BTC,5,BUY_YES,184.24,115.8,0.78,,
2026-08-21T05:37:49+00:00,3736959,BTC,5,BUY_NO,22.91,277.1,0.27,,
2026-08-21T05:37:54+00:00,3736956,SOL,5,BUY_YES,42.14,257.9,0.71,,
2026-08-21T05:38:39+00:00,3736959,BTC,5,BUY_YES,87.45,212.6,0.68,0.0,0.8
