timestamp_utc,slug,market_id,condition_id,activo,ventana_min,end_date,restante_s,strike,strike_src,spot,spot_src,dist_pct,lado_rezagado,best_ask,ask_usd_le2c,ask_usd_le3c,ask_usd_le5c,best_bid,py_yes_evento,outcome_real,rezagado_gano
2026-08-30T00:09:50+00:00,bnb-updown-5m-1788048300,3963618,0x30341850cf7fb62b7f28e55b945ce8b112e4a949bedddaaa37bf2cf6846c6c6b,BNB,5,2026-08-30T00:10:00+00:00,9.9,692.41,kline_open,692.22,binance_ticker,-0.02744,Up,0.01,14.62,14.91,15.16,,0.515,Down,0
2026-08-30T00:14:49+00:00,btc-updown-5m-1788048600,3963666,0x08b1ae1f7fb77c6e1e928ec33bf7163e765b5337866b64bac07445ce32f2a8a6,BTC,5,2026-08-30T00:15:00+00:00,10.5,78186.01,kline_open,78177.5,binance_ticker,-0.01088,Up,0.01,117.39,124.45,134.6,,0.065,Down,0
2026-08-30T00:14:49+00:00,eth-updown-5m-1788048600,3963671,0x29f9bc23a5ea69a6f8f387f6f90a72b4d397a75a30dd31ce9b0c3c8cea2711b5,ETH,5,2026-08-30T00:15:00+00:00,10.0,2455.75,kline_open,2456.26,binance_ticker,0.02077,Down,,0,0,0,0.99,0.225,Down,1
2026-08-30T00:14:50+00:00,sol-updown-5m-1788048600,3963665,0x82c6ebba805d011f30fd585c738a9f27a14944752b690fb0272e87814bb42ece,SOL,5,2026-08-30T00:15:00+00:00,9.9,105.35,kline_open,105.34,binance_ticker,-0.00949,Up,0.01,42.2,42.65,48.8,,0.1,Down,0
2026-08-30T00:14:50+00:00,xrp-updown-5m-1788048600,3963669,0xdce845dc8d2074cf420a344bfa703a79efcab0f4337722b04c49f39277140f8a,XRP,5,2026-08-30T00:15:00+00:00,9.9,1.3937,kline_open,1.3943,binance_ticker,0.04305,Down,,0,0,0,0.99,0.465,Down,1
2026-08-30T00:14:49+00:00,doge-updown-5m-1788048600,3963670,0xca6dfc4cf16b6c465a7b0460f914d9e327b33dc2701a42f14dc49e5b39b2e55b,DOGE,5,2026-08-30T00:15:00+00:00,10.5,0.08519,kline_open,0.08522,binance_ticker,0.03522,Down,0.71,0,0,0,0.61,0.225,Down,1
2026-08-30T00:14:49+00:00,bnb-updown-5m-1788048600,3963672,0xdd5eb2a9defe7bfef2a136212f6ed705b7bc374379e4fdadcdade9e37f2d7813,BNB,5,2026-08-30T00:15:00+00:00,10.4,692.1,kline_open,692.16,binance_ticker,0.00867,Down,,0,0,0,0.99,0.13,Down,1
2026-08-30T00:14:49+00:00,btc-updown-15m-1788048000,3963589,0xa89a8ed113ad964362c4f2699f7c587becc5aa33127efa4fa28ba3fda594ba17,BTC,15,2026-08-30T00:15:00+00:00,10.4,78230.0,kline_open,78177.5,binance_ticker,-0.06711,Up,0.001,49.61,55.47,62.59,,0.005,Down,0
2026-08-30T00:14:49+00:00,eth-updown-15m-1788048000,3963583,0xf37e1c3c9586a7ab2d3f098aecdf7c332dbfea996eeb2c53918faa0c674f3548,ETH,15,2026-08-30T00:15:00+00:00,10.2,2457.67,kline_open,2456.26,binance_ticker,-0.05737,Up,0.001,19.1,19.25,28.36,,0.015,Down,0
2026-08-30T00:14:49+00:00,doge-updown-15m-1788048000,3963581,0x873404f1254b9a843834edb80bf2333359790f3df43b558a1d2236ae47689db2,DOGE,15,2026-08-30T00:15:00+00:00,10.0,0.0853,kline_open,0.08522,binance_ticker,-0.09379,Up,0.001,9.7,9.85,13.34,,0.005,Down,0
