ts_deteccion_utc,market_id,activo,lag_apertura_s,restante_s,py_ask_yes,profundidad_ratio_no,profundidad_ask_no
2026-08-07T11:01:55+00:00,3378583,DOGE,115.2,184.8,0.44,0.0,0.6
2026-08-07T11:05:02+00:00,3378594,XRP,2.01,298.0,0.43,15.0,0.58
2026-08-07T11:07:06+00:00,3378589,DOGE,126.16,173.8,0.43,5.9,0.56
2026-08-07T11:10:56+00:00,3378627,DOGE,56.04,244.0,0.45,6.5,0.56
2026-08-07T11:11:04+00:00,3378626,XRP,64.4,235.6,0.45,2.7,0.57
2026-08-07T11:15:59+00:00,3378629,DOGE,59.79,240.2,0.38,0.0,0.73
2026-08-07T11:16:02+00:00,3378634,XRP,62.78,237.2,0.43,9.9,0.58
2026-08-07T11:20:02+00:00,3378653,XRP,2.07,297.9,0.38,0.0,0.66
2026-08-07T11:20:02+00:00,3378654,DOGE,2.07,297.9,0.38,0.0,0.76
2026-08-07T11:25:05+00:00,3378663,XRP,5.37,294.6,0.43,5.6,0.58
2026-08-07T11:25:23+00:00,3378668,DOGE,23.77,276.2,0.42,0.0,0.68
2026-08-07T11:30:08+00:00,3378685,DOGE,7.98,292.0,0.41,0.0,0.76
2026-08-07T11:30:08+00:00,3378684,XRP,8.22,291.8,0.35,3.1,0.66
2026-08-07T11:35:04+00:00,3378735,DOGE,4.3,295.7,0.43,0.0,0.73
2026-08-07T11:35:25+00:00,3378739,XRP,25.6,274.4,0.35,19.1,0.66
2026-08-07T11:40:48+00:00,3378748,DOGE,47.99,252.0,0.33,0.0,0.71
2026-08-07T11:40:48+00:00,3378744,XRP,48.64,251.4,0.39,24.6,0.62
2026-08-07T11:45:02+00:00,3378764,DOGE,2.01,298.0,0.45,0.0,0.71
2026-08-07T11:50:12+00:00,3378769,XRP,12.56,287.4,0.45,11.3,0.56
2026-08-07T11:52:05+00:00,3378774,DOGE,125.78,174.2,0.23,0.0,0.83
2026-08-07T12:00:05+00:00,3378901,XRP,5.03,295.0,0.45,3.3,0.57
2026-08-07T12:00:17+00:00,3378921,DOGE,17.59,282.4,0.35,0.0,0.71
