evento_timestamp_utc,market_id,subtype,direction,precio_original,stake_eur,ratio_original,precio_contrario,ratio_contrario,ask_contrario,profundidad_contrario_eur
2026-08-25T08:36:57+00:00,3763330,ETH,BUY_NO,0.5415,1.05,0.0,0.4585,0.0,0.883,0.0
2026-08-25T08:36:58+00:00,3763340,SOL,BUY_NO,0.5055,1.05,0.0,0.4945,0.0,0.986,0.0
2026-08-25T08:36:56+00:00,3763321,BTC,BUY_YES,0.51,1.05,171.3,0.49,2625.3,0.51,2756.55
2026-08-25T08:37:00+00:00,3779812,ETH,BUY_NO,0.53,1.05,0.0,0.47,748.6,0.47,786.07
2026-08-25T08:37:01+00:00,3779847,ETH,BUY_NO,0.5555,1.05,0.0,0.4445,0.0,0.87,0.0
2026-08-25T08:37:01+00:00,3779851,ETH,BUY_NO,0.575,1.05,0.0,0.425,0.0,0.85,0.0
2026-08-25T08:36:59+00:00,3779808,ETH,BUY_YES,0.735,1.05,5373.2,0.265,0.0,0.3,0.0
2026-08-25T08:37:00+00:00,3779811,BTC,BUY_NO,0.59,1.05,0.0,0.41,0.0,0.73,0.0
2026-08-25T08:37:00+00:00,3779816,ETH,BUY_NO,0.745,1.05,4040.2,0.255,0.0,0.28,0.0
2026-08-25T08:37:01+00:00,3779822,BTC,BUY_NO,0.6255,1.05,0.0,0.3745,0.0,0.689,0.0
2026-08-25T08:37:00+00:00,3779820,ETH,BUY_NO,0.875,1.05,4575.7,0.125,0.0,0.15,0.0
2026-08-25T08:37:05+00:00,3779899,SOL,BUY_NO,0.67,1.05,0.0,0.33,0.0,0.65,0.0
2026-08-25T08:37:04+00:00,3779894,SOL,BUY_NO,0.5015,1.05,0.0,0.4985,0.0,0.987,0.0
2026-08-25T08:37:03+00:00,3779866,ETH,BUY_NO,0.519,1.05,0.0,0.481,0.0,0.92,0.0
2026-08-25T08:37:04+00:00,3779896,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-25T08:37:02+00:00,3779863,ETH,BUY_NO,0.54,1.05,0.0,0.46,0.0,0.89,0.0
2026-08-25T08:37:05+00:00,3779902,SOL,BUY_NO,0.505,1.05,0.0,0.495,0.0,0.98,0.0
2026-08-25T08:37:03+00:00,3779868,BTC,BUY_NO,0.82,1.05,5872.6,0.18,0.0,0.2,0.0
2026-08-25T08:37:03+00:00,3779865,BTC,BUY_NO,0.685,1.05,4114.6,0.315,21.5,0.33,22.58
2026-08-25T08:37:06+00:00,3779914,SOL,BUY_NO,0.7655,1.05,0.0,0.2345,0.0,0.468,0.0
2026-08-25T08:37:06+00:00,3808957,ETH,BUY_YES,0.71,1.05,4297.6,0.29,0.0,0.32,0.0
2026-08-25T08:37:06+00:00,3808958,BTC,BUY_NO,0.595,1.05,0.0,0.405,0.0,0.65,0.0
2026-08-25T08:37:07+00:00,3808960,ETH,BUY_NO,0.53,1.05,2634.3,0.47,763.6,0.47,801.77
2026-08-25T08:37:07+00:00,3808965,BTC,BUY_NO,0.6,1.05,0.0,0.4,0.0,0.72,0.0
2026-08-25T08:37:07+00:00,3808964,ETH,BUY_NO,0.745,1.05,4630.5,0.255,0.0,0.27,0.0
2026-08-25T08:37:06+00:00,3808954,BTC,BUY_NO,0.62,1.05,0.0,0.38,0.0,0.73,0.0
2026-08-25T08:37:06+00:00,3779912,SOL,BUY_NO,0.5005,1.05,0.0,0.4995,0.0,0.989,0.0
2026-08-25T08:37:09+00:00,3809078,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-25T08:37:09+00:00,3809086,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-25T08:37:10+00:00,3809090,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-25T08:37:09+00:00,3809029,ETH,BUY_NO,0.825,1.05,0.0,0.175,0.0,0.33,0.0
