timestamp_utc,window,rank,account,pnl,notional,account_value
2026-09-18T00:00:02+00:00,week,22,0xA6A279Ae513d06ACD243EbA5406e3CeBEd342FB8,2175.924088446238,424445.77835,20178.171210036961152429309209
2026-09-18T00:00:02+00:00,week,23,0x525A422ab4eaFbFcc18d156c246a220f36734973,2059.1724630772005,610059.7442970001,0.000000077199999999999983
2026-09-18T00:00:02+00:00,week,24,0x118c3b032bE733A2BdcB346AA71Fb50C4013A2cf,2007.0339228913085,8335764.236676998,370871.87667216699776752185517
2026-09-18T00:00:02+00:00,week,25,0xD285Df4Ae3ED22E53308EbA5371c4D1C4849706b,1999.7751130024096,11595046.637656005,466761.30643559368388539659960
2026-09-18T00:00:02+00:00,week,26,0x3d0a1716D5FaF302cB38f69A1f873bEC0320E577,1986.7718303044248,4341677.482115,207159.95296812089312576350553
2026-09-18T00:00:02+00:00,week,27,0x4FCc342cea4A0a3EB9fE970D5976b94c01737245,1650.796217597686,33187112.76358701,338353.01288667876303239879341
2026-09-18T00:00:02+00:00,week,28,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,1561.8869129136806,11151885.407712001,1310636.3547282978579434594916
2026-09-18T00:00:02+00:00,week,29,0x46175df8e70b4582f40F309EF3a5087265c250bd,1546.5134269205003,2152701.9034779994,202172.07207104747306000000015
2026-09-18T00:00:02+00:00,week,30,0xEc177f74595997F425D18415E3384E6E49941e0F,1460.9433843809788,1059138.83498,2060.9433846472010088794991502
2026-09-18T00:00:02+00:00,week,31,0xF465708136AbdD3AE45315de3CB63b1621733E66,1272.791602157502,17359.959196,23764.379515293142996381855009
2026-09-18T00:00:02+00:00,week,32,0xE0Ebcff994a0f3A644634927aE1B68913ad58A39,1263.0126657090018,273106.25,266130.52174939741410699999993
2026-09-18T00:00:02+00:00,week,33,0x6F23b4d7E7abE18002d2f1C4666a7Bf437058d32,1185.753159828688,3796807.8831589986,219738.35004274520376882757999
2026-09-18T00:00:02+00:00,week,34,0xA5e3E73308b2037271F88bf4863D8CDDdC7a011b,1058.96734753175,426446.70894900005,0.000000531749999999999995
