ts_deteccion_utc,market_id,condition_id,activo,marco,restante_s,lado,ask_lado,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion
2026-08-31T15:10:21+00:00,4003526,0x03f40d9a4a5acdab04e8e0e57d2d31cc0f9b3b583e8a0ca182c436f26e587707,XRP,15min,278.7,NO,0.95,0.95,336.89,320.8
2026-08-31T15:12:32+00:00,4003530,0x529b53a22ddabc4e9c882762ea0c6b10842a83f2e8c87849489c9cf746183e05,BTC,15min,147.8,NO,0.99,0.99,623.74,594.0
2026-08-31T15:27:46+00:00,4003553,0xaed0e3eae176a5a057fd4070a70bbd37ae5bf27e3517700868da7e1d51ce93a2,XRP,15min,133.8,YES,0.98,0.98,40.54,38.6
2026-08-31T15:42:32+00:00,4003795,0xf1a1d9d9e3afaec3da356d0578ec39c3b39710f0937f51da43edc44dd655589b,BTC,15min,147.8,YES,0.98,0.98,759.61,723.4
2026-08-31T15:53:58+00:00,4003875,0xe002d111310d14393a54269312b407f33048cbe68113e61c1b6e14b51497c62c,XRP,15min,361.6,NO,0.95,0.95,1109.15,1056.3
2026-08-31T15:57:13+00:00,4003877,0x469e11299b8669fab6eadacf3dbef8b3d5811d448426e6af880e92d879d500d9,BTC,15min,166.7,NO,0.98,0.97,1096.4,1044.2
2026-08-31T16:01:32+00:00,3974837,0xc73f109057bb38f293171a93bea69130191b68107a260f52e84f0dbf40e1894f,BTC,60min,-92.1,NO,0.99,0.99,357.93,340.9
2026-08-31T16:11:45+00:00,4004479,0xdf54c419f21c0b309d4d1e3a5073e9f091d279be38f818a32c439700601c2802,BTC,15min,194.2,YES,0.98,0.98,678.44,646.1
2026-08-31T16:26:42+00:00,4004538,0x9d03829cd3dbfc7ee9820f73ba5edc39f920ef032e64157cc61722b7199111ec,BTC,15min,197.9,NO,0.96,0.96,11933.84,11365.6
2026-08-31T16:26:42+00:00,4004542,0x14c411325aa62a530489b3d7eb6df04d98ae471a8dd119b3bb49c6cfc01e3236,XRP,15min,197.6,NO,0.97,0.95,598.82,570.3
2026-08-31T16:42:14+00:00,4004639,0x96473fa804273775d0a29bcf962606bd227f1a4403957a4014186a3ac475729d,XRP,15min,165.2,YES,0.98,0.98,36.52,34.8
