ts_entrada,activo,nesting,combo,coste,n_shares,coste_total_usd,ask_leg1,ask_leg2,gap_opens_pct,depth_usd,min_orden_ok,end_utc,inner_slug,outer_slug,status,ts_cierre,gano_leg1,gano_leg2,payout_por_share,pnl_usd,garantia_ok,pasa_filtro,persistio_ciclo_anterior
2026-07-10T05:55:11+00:00,BTC,5min15m,YESout+NOin,0.62,16.13,10.0006,0.04,0.58,0.0055,14.9,0,2026-07-10T06:00:00+00:00,btc-updown-5m-1783662900,btc-updown-15m-1783662300,OPEN,,,,,,,0,0
2026-07-10T05:55:12+00:00,ETH,5min15m,YESout+NOin,0.83,12.05,10.0015,0.31,0.52,0.0301,17.67,1,2026-07-10T06:00:00+00:00,eth-updown-5m-1783662900,eth-updown-15m-1783662300,OPEN,,,,,,,1,0
2026-07-10T06:59:27+00:00,ETH,5min15m,YESout+NOin,0.99,10.1,9.999,0.01,0.98,0.0514,18.14,0,2026-07-10T07:00:00+00:00,eth-updown-5m-1783666500,eth-updown-15m-1783665900,OPEN,,,,,,,0,1
2026-07-10T07:10:11+00:00,BTC,5min15m,NOout+YESin,0.98,10.2,9.996,0.43,0.55,-0.0174,117.38,1,2026-07-10T07:15:00+00:00,btc-updown-5m-1783667400,btc-updown-15m-1783666800,CLOSED,2026-07-10T07:17:01+00:00,0,1,1,0.204,1,1,0
2026-07-10T08:40:11+00:00,ETH,5min15m,YESout+NOin,0.78,12.82,9.9996,0.26,0.52,0.0805,11.18,1,2026-07-10T08:45:00+00:00,eth-updown-5m-1783672800,eth-updown-15m-1783672200,CLOSED,2026-07-10T08:47:01+00:00,0,0,0,-9.9996,0,0,0
2026-07-10T08:40:12+00:00,XRP,5min15m,YESout+NOin,0.77,12.99,10.0023,0.25,0.52,0.0359,16.01,1,2026-07-10T08:45:00+00:00,xrp-updown-5m-1783672800,xrp-updown-15m-1783672200,OPEN,,,,,,,1,0
2026-07-10T08:55:11+00:00,BTC,5min15m,NOout+YESin,0.99,10.1,9.999,0.4,0.59,-0.011,67.31,1,2026-07-10T09:00:00+00:00,btc-updown-5m-1783673700,btc-updown-15m-1783673100,OPEN,,,,,,,1,0
2026-07-10T09:55:12+00:00,ETH,5min15m,YESout+NOin,0.93,10.75,9.9975,0.43,0.5,0.029,41.27,1,2026-07-10T10:00:00+00:00,eth-updown-5m-1783677300,eth-updown-15m-1783676700,OPEN,,,,,,,1,0
2026-07-10T10:25:12+00:00,BTC,5min15m,NOout+YESin,0.54,18.52,10.0008,0.06,0.48,-0.0091,24.46,1,2026-07-10T10:30:00+00:00,btc-updown-5m-1783679100,btc-updown-15m-1783678500,CLOSED,2026-07-10T10:32:01+00:00,0,1,1,8.5192,1,1,0
2026-07-10T10:45:10+00:00,BTC,15min60m,NOout+YESin,0.64,15.62,9.9968,0.22,0.42,-0.0047,19.8,1,2026-07-10T11:00:00+00:00,btc-updown-15m-1783680300,bitcoin-up-or-down-july-10-2026-6am-et,CLOSED,2026-07-10T11:05:02+00:00,0,0,0,-9.9968,0,1,0
2026-07-10T10:59:12+00:00,SOL,5min15m,YESout+NOin,0.81,12.35,10.0035,0.01,0.8,0.0252,11.11,0,2026-07-10T11:00:00+00:00,sol-updown-5m-1783680900,sol-updown-15m-1783680300,OPEN,,,,,,,0,1
2026-07-10T11:10:11+00:00,ETH,5min15m,NOout+YESin,0.87,11.49,9.9963,0.32,0.55,-0.0122,10.2,1,2026-07-10T11:15:00+00:00,eth-updown-5m-1783681800,eth-updown-15m-1783681200,OPEN,,,,,,,0,0
2026-07-10T11:11:13+00:00,SOL,5min15m,YESout+NOin,0.99,10.1,9.999,0.46,0.53,0.063,16.22,1,2026-07-10T11:15:00+00:00,sol-updown-5m-1783681800,sol-updown-15m-1783681200,OPEN,,,,,,,0,0
2026-07-10T11:45:10+00:00,ETH,15min60m,NOout+YESin,0.95,10.53,10.0035,0.46,0.49,-0.1792,13.23,1,2026-07-10T12:00:00+00:00,eth-updown-15m-1783683900,ethereum-up-or-down-july-10-2026-7am-et,CLOSED,2026-07-10T12:03:01+00:00,0,1,1,0.5265,1,0,0
2026-07-10T11:59:11+00:00,SOL,15min60m,YESout+NOin,0.48,20.83,9.9984,0.05,0.43,0.0252,13.86,1,2026-07-10T12:00:00+00:00,sol-updown-15m-1783683900,solana-up-or-down-july-10-2026-7am-et,CLOSED,2026-07-10T12:05:02+00:00,0,0,0,-9.9984,0,0,1
2026-07-10T12:40:13+00:00,BTC,5min15m,YESout+NOin,0.63,15.87,9.9981,0.08,0.55,0.0334,39.52,1,2026-07-10T12:45:00+00:00,btc-updown-5m-1783687200,btc-updown-15m-1783686600,CLOSED,2026-07-10T12:47:02+00:00,0,1,1,5.8719,1,1,0
