timestamp_utc,activo,market_id,condition_id,delta_ratio,py_deteccion,ratio_deteccion,ask_deteccion,ratio_decision,ask_decision,degradacion_ask_pct,sigue_fillable_en_decision,registrada_prediccion
2026-08-27T18:23:08+00:00,SOL,3905543,0xa578942dc2f9d10270829afee8dccadcc404278b5073c3466d0715e5d461fe88,-0.3973,0.46,0.0,0.57,509.2,0.44,-22.81,1,1
2026-08-27T18:51:49+00:00,SOL,3907469,0x8b3160dd52eb3ee3f76b4d1effe236742f13aaac892808bb898a3a4037e99e1c,-0.387,0.38,0.0,0.69,0.0,0.81,17.39,0,0
2026-08-27T19:13:07+00:00,DOGE,3910447,0x3b07dc1497c1f549a2e184fff333f68fe810ae3b3108089619a5c0c2e2b1f598,-0.4323,0.5,0.0,0.7,0.0,0.61,-12.86,0,0
2026-08-27T19:31:36+00:00,BNB,3910710,0x94b6eb8470ca445d085f784ae63223536141e961fef5132939b75841fa3e3839,-0.4275,0.4,0.0,0.66,0.0,0.66,0.0,0,0
2026-08-27T19:42:32+00:00,XRP,3910932,0x63cbfaa30d0fedba4b9352e1e424070f197b42feac2fbb12343a01a39ce261ae,-0.3812,0.38,0.0,0.77,0.0,0.81,5.19,0,0
2026-08-27T20:12:09+00:00,SOL,3911999,0xd8441b811f7d0f5cee94b00b9d2968ec35d5daa17a69287a500bbdc7eabc236c,-0.4199,0.49,0.0,0.54,61.3,0.48,-11.11,1,1
2026-08-27T20:13:19+00:00,XRP,3912007,0x833d4256bc190234403a1c3d376bc30b8c03a5f00909edb199cb8fba84be056f,-0.3811,0.38,0.0,0.66,0.0,0.68,3.03,0,0
2026-08-27T20:31:37+00:00,XRP,3912156,0xb91ac07145b3b9b0a5047107fb073084a957a057a30136e0d41acd9835ff4cc2,-0.3887,0.38,0.0,0.66,0.0,0.66,0.0,0,0
2026-08-27T20:56:48+00:00,BNB,3912609,0x91e06d7c128101e8545f1b7f5efed603535dd186bd7bcc373ab76d30dee0c856,-0.4214,0.45,0.0,0.59,0.0,0.6,1.69,0,0
2026-08-27T21:16:38+00:00,DOGE,3912758,0x6b78d32e4b0ac4aa53b04074cefc27e5e8b190a33128db9344ceceff5783b088,-0.3901,0.5,0.0,0.54,27.2,0.51,-5.56,1,1
2026-08-27T21:26:41+00:00,ETH,3913103,0xaa02c5351503823634c869604312c2e49105d9d2e8912394342e4e96382f1534,-0.4475,0.53,124.8,0.48,271.3,0.41,-14.58,1,1
2026-08-27T21:26:47+00:00,DOGE,3913100,0x7a1e2dcdb6c4ef320da05bc67967f12a734b85f7f58fbee4a514482b1437c9fb,-0.4328,0.47,28.8,0.55,50.0,0.54,-1.82,1,1
2026-08-27T21:27:07+00:00,SOL,3913101,0xed654bed05f56d2dca07df97bc5f90732679b0d272265478d9507bd3f9d6abbd,-0.4343,0.47,23.6,0.55,23.6,0.55,0.0,1,1
2026-08-27T23:06:34+00:00,ETH,3916174,0x82d70da6a9f541e30186deb689495b896b58d09bd42eb88b4bbaddfc2e7188af,-0.3845,0.46,5.1,0.54,2.7,0.56,3.7,0,0
2026-08-27T23:17:13+00:00,DOGE,3916242,0x83f9d7c7bb0958bebf75cff7c88f4d105006dfe81e49f36be598e852703544a0,-0.3945,0.57,0.0,0.48,0.0,0.46,-4.17,0,0
2026-08-27T23:43:24+00:00,SOL,3916800,0x9e6ae807521d2f0b5c72af0167b659a1a2484b0874b1e09dca5504e8e400522c,-0.3879,0.39,67.3,0.62,145.9,0.59,-4.84,1,1
2026-08-27T23:43:47+00:00,XRP,3916798,0xf1dbe705c74d9c5263ee3e01440c4c07c534895d7cfefcda933c11f243a9b379,-0.4299,0.52,27.4,0.49,0.0,0.53,8.16,0,0
2026-08-28T00:06:40+00:00,BNB,3917124,0x50748bd165d6fb2a4337e301768c256f56883fa8d6401ac7d6494891d13c4309,-0.3945,0.61,0.0,0.63,0.0,0.65,3.17,0,0
2026-08-28T00:13:28+00:00,XRP,3917311,0xcfa3fe68bc08b669441709ae9b0ba7fc21ff60223f1352364eb544fabd638fa9,-0.3888,0.58,0.0,0.46,0.0,0.56,21.74,0,0
2026-08-28T00:47:21+00:00,ETH,3922264,0xdf40b5478ae1c7395a09ee78a0d0510a3877d5137b6503e148b0113ca4afc4e3,-0.457,0.48,81.8,0.53,241.7,0.49,-7.55,1,1
2026-08-28T00:51:35+00:00,DOGE,3922448,0x175a15948bfd9b34f4698723f81a8216fceb9d544be34cbd0bff430e13c93dd2,-0.456,0.51,0.0,0.53,0.0,0.61,15.09,0,0
2026-08-28T00:54:06+00:00,XRP,3922452,0xb200630fe99e0d2314514950a2c0f51dc081d600dacc07f8f2adc15d104bfea1,-0.4043,0.55,0.0,0.59,0.0,0.84,42.37,0,0
2026-08-28T01:41:43+00:00,ETH,3923506,0xd620de858336257b47d34c316e8999ea13a475e9ce32bba5b832d99ce2202651,-0.4429,0.47,2.6,0.55,2.6,0.55,0.0,0,0
2026-08-28T01:53:12+00:00,ETH,3923754,0x6d4360d39057e56a24d5ef9638cf0ee635faf08a8feec17196b6d91cec1affed,-0.3949,0.39,113.5,0.62,30.5,0.64,3.23,1,1
2026-08-28T03:11:39+00:00,ETH,3924510,0x7d13ec76ce8187929811ba6b018c67fe52e8dac1e5039c5ca72cf82de777a244,-0.4146,0.53,0.0,0.53,0.0,0.55,3.77,0,0
2026-08-28T03:37:28+00:00,ETH,3924827,0x0eee6709c9345eb9c36b898c6412d8cef6586df490abed9cb0b246b93d63d3cb,-0.3963,0.46,97.0,0.55,0.0,0.62,12.73,0,0
2026-08-28T04:06:38+00:00,ETH,3925303,0xae8034b330c8f79ae5cbdb972fa923a9e8bd1461dfc56a27c8e61122ea308e0e,-0.4129,0.55,13.4,0.47,0.0,0.49,4.26,0,0
2026-08-28T04:06:43+00:00,XRP,3925301,0x2117ed3f0a57d7ffca63f79343d83b7cfe6449ec56dafad431426494e2c397b0,-0.418,0.4,0.0,0.7,0.0,0.78,11.43,0,0
2026-08-28T04:23:45+00:00,BNB,3925353,0x11b547375c5c778d0d746661cea540255d10a543f30a18dde01262cf8f3a087b,-0.4235,0.47,10.3,0.54,10.3,0.54,0.0,1,1
2026-08-28T04:36:50+00:00,ETH,3925908,0x227700d70390aba4e8544e134fb8718401944abcb5b25a9dbbde8f703d85e1e4,-0.4119,0.54,0.0,0.53,0.0,0.5,-5.66,0,0
2026-08-28T04:46:35+00:00,DOGE,3926244,0x1c83df71f434b879731928e8773f05a2fb1d9fd06049895b65b01f450e979750,-0.4077,0.41,0.0,0.62,29.0,0.61,-1.61,1,1
2026-08-28T04:56:37+00:00,ETH,3926696,0xfe6f49c13eb437ffc282a7a7b764a8d3a944d3ec520405cb6a653d2f1f87abbd,-0.4164,0.47,36.3,0.54,18.3,0.54,0.0,1,1
2026-08-28T04:56:42+00:00,BNB,3926694,0xca86d68bbced644d569d6ad5dc03b8ae7925fbb16f1016ca60fcb0cb912e48a5,-0.4576,0.44,0.0,0.6,0.0,0.6,0.0,0,0
2026-08-28T05:17:06+00:00,XRP,3926777,0x94b85f8e3fe18fe8789a0c81acdd787235c770e51e53d03e7797355a6711099f,-0.39,0.48,0.0,0.58,0.0,0.58,0.0,0,0
2026-08-28T05:44:05+00:00,ETH,3927284,0xefb61b906a6fc3a034e03543d90d7ce62b17ede7698c7155278a435edf59ba43,-0.4402,0.58,0.0,0.47,0.0,0.47,0.0,0,0
2026-08-28T06:23:18+00:00,SOL,3927471,0x42d4fb3aca429cf1abe1bc7795daffc48c18306926d5f74966b7ae37ade5712c,-0.4364,0.46,58.5,0.55,58.5,0.55,0.0,1,1
2026-08-28T06:57:12+00:00,ETH,3927924,0xa8521aa6883c63a9320731d59b9f6378d03f08644b68f597e96329228b90516d,-0.3871,0.43,28.1,0.59,0.0,0.6,1.69,0,0
2026-08-28T08:12:08+00:00,BNB,3928726,0x5f012960e82921559de3b6fdd16611156acb89fd0dc8a01b058dc72cc90a4ff8,-0.4283,0.58,0.0,0.49,76.6,0.41,-16.33,1,1
2026-08-28T08:21:37+00:00,XRP,3928750,0xf48379109d96062b4ad4a644a151061faa52e1e96708f00e09c523fd4e470879,-0.3835,0.48,2.6,0.54,0.0,0.56,3.7,0,0
2026-08-28T08:37:41+00:00,SOL,3928825,0x995ba6108a3a2720f5fb315e5839cc2027ce80a7de18166688f93864f609002b,-0.394,0.46,0.0,0.61,124.0,0.48,-21.31,1,1
2026-08-28T10:01:38+00:00,BNB,3929315,0x22ae0d2221ef5a2eed9a14fe253e36e46711c3cb49f64ccadf08b8e44b769068,-0.4217,0.6,15.8,0.41,0.0,0.45,9.76,0,0
2026-08-28T10:08:53+00:00,BNB,3929338,0xd4eeac9067cadd844acd2cabd0ba42a6f5d43e017ec73e24345edb8fc8becca7,-0.4051,0.42,0.0,0.65,0.0,0.71,9.23,0,0
2026-08-28T10:51:37+00:00,BNB,3929626,0x982cf1c7b9f093df5a1e219e5c6f314cce80a71f0e170d792e2ba57e8478729e,-0.4265,0.38,0.0,0.66,0.0,0.66,0.0,0,0
2026-08-28T11:11:35+00:00,XRP,3929930,0x70daa0f97b98954fa9f38b9fbd4500b077cc4c044992b88fe45032d196bb677b,-0.396,0.52,0.0,0.51,16.7,0.5,-1.96,1,1
2026-08-28T11:11:42+00:00,ETH,3929934,0x1f6b1233a9597bb35b286ae4afeb7b6bc83284bafe7f196aeffbffc3b0fffb39,-0.4304,0.43,2.8,0.59,0.0,0.6,1.69,0,0
2026-08-28T11:31:54+00:00,ETH,3930039,0xeb49634c2fe5946cb4e4872391306ee7036ee63adad7de6e202ae4295fba9277,-0.4413,0.43,33.6,0.58,339.2,0.49,-15.52,1,1
2026-08-28T11:41:39+00:00,BNB,3930127,0x162624809ac5fb3fbc6377de09bd143e6b6ff68adcde52bbbf18798a6bed1b86,-0.4266,0.55,0.0,0.49,64.7,0.44,-10.2,1,1
2026-08-28T12:04:14+00:00,SOL,3930375,0xe97bb922e77f7747cae0a3487fa1a403ccabb3ed969f1a766e7d60d84b395568,-0.4097,0.49,0.0,0.61,341.6,0.38,-37.7,1,1
