timestamp_utc,ts_end,dry_run,activo,direccion_implicita,ask_implicita,gate_confirmado,gate_motivo,ratio_vs_stake,vwap_fill_estimado,t_lectura_ms,t_firma_ms,t_total_ms,disparado,order_ok,order_error
2026-09-05T18:24:58+00:00,1788632700,True,DOGE,Down,,False,sin_ask,,,63.2,,,,,
2026-09-05T18:24:58+00:00,1788632700,True,BNB,Up,,False,sin_ask,,,59.7,,,,,
2026-09-05T18:29:58+00:00,1788633000,True,BTC,Down,,False,sin_ask,,,79.7,,,,,
2026-09-05T18:29:58+00:00,1788633000,True,ETH,Down,,False,sin_ask,,,78.1,,,,,
2026-09-05T18:29:58+00:00,1788633000,True,SOL,Down,,False,sin_ask,,,61.0,,,,,
2026-09-05T18:29:58+00:00,1788633000,True,XRP,Down,,False,sin_ask,,,59.7,,,,,
2026-09-05T18:29:58+00:00,1788633000,True,DOGE,Down,,False,sin_ask,,,54.3,,,,,
2026-09-05T18:29:58+00:00,1788633000,True,BNB,Up,,False,sin_ask,,,60.2,,,,,
2026-09-05T18:34:58+00:00,1788633300,True,BTC,Up,,False,sin_ask,,,61.5,,,,,
2026-09-05T18:34:58+00:00,1788633300,True,ETH,Up,0.99,False,ninguno_confirma,288.9,0.99,57.9,,,,,
2026-09-05T18:34:58+00:00,1788633300,True,SOL,Up,,False,sin_ask,,,57.9,,,,,
2026-09-05T18:34:58+00:00,1788633300,True,XRP,Up,,False,sin_ask,,,57.3,,,,,
2026-09-05T18:34:58+00:00,1788633300,True,DOGE,Up,,False,sin_ask,,,63.2,,,,,
2026-09-05T18:34:58+00:00,1788633300,True,BNB,Down,,False,sin_ask,,,62.0,,,,,
2026-09-05T18:39:58+00:00,1788633600,True,BTC,Down,0.01,False,ninguno_confirma,189.7,0.01,64.1,,,,,
2026-09-05T18:39:58+00:00,1788633600,True,ETH,Down,,False,sin_ask,,,58.4,,,,,
2026-09-05T18:39:58+00:00,1788633600,True,SOL,Down,,False,sin_ask,,,62.1,,,,,
2026-09-05T18:39:58+00:00,1788633600,True,XRP,Down,,False,sin_ask,,,68.8,,,,,
2026-09-05T18:39:58+00:00,1788633600,True,DOGE,Down,,False,sin_ask,,,73.9,,,,,
2026-09-05T18:39:58+00:00,1788633600,True,BNB,Up,,False,sin_ask,,,103.8,,,,,
2026-09-05T18:44:58+00:00,1788633900,True,BTC,Down,,False,sin_ask,,,64.0,,,,,
2026-09-05T18:44:58+00:00,1788633900,True,ETH,Up,,False,sin_ask,,,62.7,,,,,
2026-09-05T18:44:58+00:00,1788633900,True,SOL,Up,,False,sin_ask,,,56.3,,,,,
2026-09-05T18:44:58+00:00,1788633900,True,XRP,Down,,False,sin_ask,,,53.8,,,,,
