veto_timestamp_utc,market_id,strategy,subtype,direction,motivo_origen,precio_plan,stake_eur,ratio_inicial,muestras_json,mejora_detectada,t_mejora_s,ratio_max,senal_contraria_activada,t_senal_contraria_s,ratio_contrario_en_senal,ask_contrario_en_senal,ratio_contrario_max
2026-08-12T23:25:00+00:00,3528474,GBM_LATE_15M_MULTIHORIZONTE,SOL#15min,BUY_NO,candidato_evaluacion,0.52,1.05,0.0,"[[5.0,0.0,0.91,840.1,0.1],[10.2,0.0,0.9,799.0,0.11],[15.8,0.0,0.92,880.3,0.09],[21.4,0.0,0.93,909.6,0.08],[26.6,0.0,0.93,908.0,0.08],[31.9,0.0,0.93,928.2,0.08],[37.2,0.0,0.93,940.7,0.09],[42.9,0.0,0.93,946.6,0.08],[48.2,0.0,0.93,951.2,0.08],[53.4,0.0,0.79,691.5,0.25],[59.1,0.0,0.58,246.8,0.43],[64.4,0.0,0.66,329.0,0.36]]",0,,0.0,0,,,,951.2
2026-08-12T23:27:01+00:00,3529049,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,XRP#5min,BUY_YES,candidato_evaluacion,0.82,1.05,0.0,"[[5.0,0.0,0.94,47.6,0.08],[10.3,0.0,0.92,54.9,0.09],[15.5,0.0,0.93,52.6,0.08],[21.0,0.0,0.93,51.1,0.09],[26.6,0.0,0.95,50.2,0.06],[32.4,0.0,0.95,49.9,0.07],[37.8,0.0,0.96,58.4,0.06],[43.2,0.0,0.96,52.0,0.06],[48.6,0.0,0.96,59.4,0.05],[53.9,0.0,0.97,57.1,0.04],[59.2,0.0,0.97,59.0,0.04],[64.6,0.0,0.97,58.7,0.04]]",0,,0.0,0,,,,59.4
2026-08-12T23:27:01+00:00,3529053,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,SOL#5min,BUY_YES,candidato_evaluacion,0.8,1.05,3.2,"[[5.0,4.0,0.84,90.4,0.17],[10.3,196.4,0.8,13.7,0.21],[15.5,526.2,0.77,0.0,0.23],[21.2,549.6,0.76,0.0,0.26],[27.2,24.0,0.84,44.4,0.18],[32.5,0.0,0.87,81.3,0.14],[37.9,0.0,0.86,79.6,0.15],[43.2,0.0,0.86,72.0,0.15],[48.6,8.0,0.84,60.5,0.17],[54.0,0.0,0.85,75.6,0.16],[59.3,0.0,0.91,115.9,0.1],[64.7,0.0,0.89,122.4,0.12]]",1,10.3,549.6,0,,,,122.4
2026-08-12T23:27:01+00:00,3529047,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,DOGE#5min,BUY_YES,candidato_evaluacion,0.85,1.05,0.0,"[[5.0,0.0,0.92,3.9,0.13],[10.3,41.9,0.88,4.0,0.13],[15.5,299.9,0.59,0.0,0.58],[21.1,417.9,0.45,0.0,0.57],[27.2,350.5,0.56,0.0,0.52],[32.5,299.7,0.6,0.0,0.45],[37.8,270.9,0.8,0.0,0.22],[43.1,189.4,0.81,0.0,0.25],[48.6,286.3,0.79,0.0,0.27],[54.0,312.9,0.79,0.0,0.28],[59.4,0.0,0.9,0.0,0.16],[64.8,39.5,0.83,0.0,0.18]]",1,10.3,417.9,0,,,,4.0
2026-08-12T23:30:25+00:00,3529072,BALLENAS_CONFIRMADAS_15M,XRP#15min,BUY_YES,candidato_evaluacion,0.58,1.05,0.0,"[[5.0,10.3,0.58,23.0,0.43],[10.3,24.2,0.57,27.0,0.44],[15.9,16.9,0.57,37.7,0.44],[21.5,52.9,0.57,13.9,0.44],[27.2,0.0,0.63,213.4,0.38],[32.8,0.0,0.64,281.8,0.38],[38.5,0.0,0.65,279.0,0.38],[44.1,0.0,0.68,187.4,0.34],[49.5,0.0,0.69,253.6,0.33],[55.3,0.0,0.69,268.6,0.33],[61.3,0.0,0.69,179.4,0.32]]",1,5.0,52.9,0,,,,281.8
2026-08-12T23:31:02+00:00,3529067,FAVORITO_CONFIRMADO,DOGE#5min,BUY_YES,candidato_evaluacion,0.6,1.05,0.0,"[[5.0,0.0,0.85,150.4,0.2],[10.5,0.0,0.88,93.4,0.2],[16.4,0.0,0.88,120.9,0.18],[22.3,0.0,0.86,149.2,0.16],[27.7,0.0,0.87,145.0,0.17],[33.4,0.0,0.91,142.9,0.16],[38.8,0.0,0.89,136.0,0.16],[44.2,0.0,0.89,146.8,0.15],[49.7,0.0,0.93,150.0,0.14],[55.2,0.0,0.87,139.6,0.14],[60.6,0.0,0.93,137.5,0.13]]",0,,0.0,0,,,,150.4
2026-08-12T23:31:03+00:00,3529073,FAVORITO_CONFIRMADO,XRP#5min,BUY_YES,candidato_evaluacion,0.64,1.05,0.0,"[[5.0,0.0,0.77,75.1,0.24],[10.5,0.0,0.8,97.1,0.21],[16.4,0.0,0.79,102.0,0.22],[22.3,0.0,0.8,89.9,0.21],[27.7,0.0,0.8,85.5,0.21],[33.2,0.0,0.8,88.8,0.21],[38.6,0.0,0.82,105.5,0.19],[44.0,0.0,0.82,97.2,0.19],[49.5,0.0,0.83,104.3,0.18],[55.1,0.0,0.83,89.5,0.18],[61.2,0.0,0.83,109.2,0.18]]",0,,0.0,0,,,,109.2
2026-08-12T23:31:02+00:00,3529078,FAVORITO_CONFIRMADO,ETH#5min,BUY_YES,candidato_evaluacion,0.64,1.05,0.0,"[[5.0,0.0,0.84,784.7,0.17],[10.8,0.0,0.89,511.9,0.15],[16.5,0.0,0.86,674.9,0.15],[22.6,0.0,0.86,604.5,0.15],[28.0,0.0,0.8,669.3,0.2],[33.6,0.0,0.84,789.0,0.16],[39.1,0.0,0.85,795.6,0.16],[44.5,0.0,0.86,787.1,0.15],[50.4,0.0,0.87,786.3,0.14],[55.8,0.0,0.87,776.3,0.14],[61.4,0.0,0.87,801.7,0.14]]",0,,0.0,0,,,,801.7
2026-08-12T23:31:04+00:00,3529067,BALLENAS_TARDIAS,DOGE#5min,BUY_YES,candidato_evaluacion,0.6,1.05,0.0,"[[5.0,0.0,0.85,157.2,0.2],[10.7,0.0,0.88,125.7,0.2],[16.4,0.0,0.87,132.8,0.18],[22.6,0.0,0.9,138.5,0.13],[28.2,0.0,0.9,145.0,0.17],[33.9,0.0,0.89,142.3,0.16],[39.5,0.0,0.89,146.0,0.16],[44.9,0.0,0.89,146.4,0.15],[50.5,0.0,0.89,145.4,0.14],[55.9,0.0,0.88,140.6,0.14],[61.4,0.0,0.92,141.7,0.13]]",0,,0.0,0,,,,157.2
2026-08-12T23:31:02+00:00,3529075,FAVORITO_CONFIRMADO,SOL#5min,BUY_YES,candidato_evaluacion,0.64,1.05,0.0,"[[5.0,0.0,0.78,300.1,0.23],[10.5,0.0,0.81,223.0,0.22],[16.5,0.0,0.8,414.1,0.21],[22.3,0.0,0.83,434.3,0.18],[27.8,0.0,0.83,471.9,0.17],[33.6,0.0,0.84,534.0,0.17],[39.3,0.0,0.85,593.8,0.16],[44.7,0.0,0.87,545.5,0.14],[50.6,0.0,0.87,584.6,0.14],[56.1,0.0,0.87,600.5,0.14],[61.6,0.0,0.88,583.0,0.13]]",0,,0.0,0,,,,600.5
