ts_deteccion_utc,ts_prediccion_utc,market_id,strategy,activo,marco,decision,precio_yes_mercado,bot_consenso_lado,bot_consenso_n,bot_consenso_pct,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion,sigue_fillable,decision_dry_run
2026-09-09T16:19:43+00:00,2026-09-09T16:18:47+00:00,4368477,MOMENTUM_IBS_15M_BALLENA,BNB,15min,BUY_NO,0.495,Down,3,1.0,0.9,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T17:50:08+00:00,2026-09-09T17:49:41+00:00,4373611,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.505,Up,5,1.0,0.66,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T18:36:32+00:00,2026-09-09T18:36:06+00:00,4375682,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,5,0.6,0.75,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T18:43:33+00:00,2026-09-09T18:43:26+00:00,4376404,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.22,Up,13,0.7692,0.75,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T21:06:51+00:00,2026-09-09T21:06:39+00:00,4389170,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_YES,0.56,Up,4,0.75,0.4,705.82,672.2,1,DISPARARIA
2026-09-09T21:32:12+00:00,2026-09-09T21:31:36+00:00,4389593,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_YES,0.5,Up,3,0.6667,0.58,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T21:46:23+00:00,2026-09-09T21:45:51+00:00,4389730,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.505,Down,5,1.0,0.66,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T21:57:09+00:00,2026-09-09T21:57:07+00:00,4389787,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.55,Up,4,1.0,0.75,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T22:48:19+00:00,2026-09-09T22:48:10+00:00,4391189,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.44,Down,7,0.5714,0.5,104.77,99.8,1,DISPARARIA
2026-09-09T23:35:15+00:00,2026-09-09T23:34:50+00:00,4392843,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.5,Up,3,1.0,0.8,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T23:56:08+00:00,2026-09-09T23:55:36+00:00,4393847,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,3,1.0,0.91,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T00:31:17+00:00,2026-09-10T00:31:08+00:00,4394046,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,5,0.6,0.8,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T00:41:33+00:00,2026-09-10T00:41:24+00:00,4394793,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,5,0.8,0.97,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T01:21:20+00:00,2026-09-10T01:21:14+00:00,4395292,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_YES,0.3,Up,7,0.5714,0.31,17.98,17.1,1,DISPARARIA
2026-09-10T01:51:55+00:00,2026-09-10T01:51:33+00:00,4396262,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,5,0.6,0.7,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T01:54:10+00:00,2026-09-10T01:54:05+00:00,4396236,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_YES,0.19,Up,4,0.75,0.14,200.08,190.6,1,DISPARARIA
2026-09-10T02:18:38+00:00,2026-09-10T02:18:23+00:00,4396482,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.465,Down,4,1.0,0.66,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T02:31:39+00:00,2026-09-10T02:31:24+00:00,4396545,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.72,Down,5,0.6,0.21,173.02,164.8,1,DISPARARIA
2026-09-10T03:35:51+00:00,2026-09-10T03:35:38+00:00,4398490,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.495,Down,8,0.875,0.93,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T03:52:06+00:00,2026-09-10T03:51:45+00:00,4398522,MOMENTUM_IBS_15M_BALLENA,BNB,15min,BUY_NO,0.5,Down,3,0.6667,0.9,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T04:00:39+00:00,2026-09-10T04:00:35+00:00,4398746,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.69,Down,4,1.0,0.21,353.87,337.0,1,DISPARARIA
2026-09-10T05:00:26+00:00,2026-09-10T05:00:14+00:00,4400370,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.4,Up,7,0.5714,0.29,579.2,551.6,1,DISPARARIA
2026-09-10T05:05:47+00:00,2026-09-10T05:05:33+00:00,4400386,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,11,0.6364,0.29,848.0,807.6,1,DISPARARIA
2026-09-10T05:26:05+00:00,2026-09-10T05:26:05+00:00,4400604,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.34,Up,3,0.6667,0.35,8.74,8.3,1,DISPARARIA
2026-09-10T06:02:09+00:00,2026-09-10T06:01:57+00:00,4401031,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.13,Up,5,0.6,0.08,45.96,43.8,1,DISPARARIA
2026-09-10T07:18:07+00:00,2026-09-10T07:18:01+00:00,4401723,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.25,Up,14,0.7143,0.26,6.4,6.1,1,DISPARARIA
2026-09-10T07:35:26+00:00,2026-09-10T07:34:57+00:00,4402178,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,6,0.5,0.18,867.09,825.8,1,DISPARARIA
2026-09-10T07:40:27+00:00,2026-09-10T07:40:19+00:00,4402190,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.39,Up,3,0.6667,0.64,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T09:02:19+00:00,2026-09-10T09:02:17+00:00,4403215,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.73,Down,13,0.5385,0.33,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T09:06:04+00:00,2026-09-10T09:05:54+00:00,4403223,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.87,Down,5,0.6,0.21,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T09:31:36+00:00,2026-09-10T09:31:19+00:00,4403374,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,16,0.5625,0.97,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T09:46:23+00:00,2026-09-10T09:46:20+00:00,4403631,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.48,Up,8,0.5,0.58,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T10:22:16+00:00,2026-09-10T10:21:53+00:00,4403781,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_YES,0.465,Up,15,0.5333,0.72,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T10:31:18+00:00,2026-09-10T10:31:01+00:00,4403819,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,9,0.7778,0.88,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T10:35:36+00:00,2026-09-10T10:35:03+00:00,4403871,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,7,0.5714,0.19,1041.59,992.0,1,DISPARARIA
2026-09-10T11:46:53+00:00,2026-09-10T11:46:30+00:00,4404549,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,9,0.6667,0.84,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T11:51:11+00:00,2026-09-10T11:50:41+00:00,4404602,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,4,1.0,0.9,0.0,0.0,0,NO_dispara_sin_libro
