ts_deteccion_utc,market_id,lado_mayoria,lado_minoria,pct_mayoria_detectado,n_ballenas,ask_minoria_deteccion,muestras_json,outcome_pendiente
2026-08-21T13:13:37+00:00,3744404,YES,NO,1.0,4,0.03,"[[0.0,0.0,0.99],[5.1,0.0,null],[10.5,0.0,null],[15.7,0.0,0.98],[20.8,0.0,null],[32.6,0.0,null],[37.9,0.0,null],[43.0,0.0,null],[48.0,0.0,null],[53.1,0.0,null],[58.6,0.0,null],[63.8,0.0,null],[68.9,0.0,null],[75.5,0.0,null],[80.6,0.0,null]]",1
2026-08-21T13:16:27+00:00,3744421,YES,NO,1.0,7,0.27,"[[0.0,0.0,0.74],[5.1,0.0,0.74],[10.4,0.0,0.78],[15.6,0.0,0.8],[21.4,0.0,0.83],[30.3,0.0,0.87],[35.4,0.0,0.87],[40.5,0.0,0.89],[45.6,0.0,0.89],[50.9,0.0,0.95],[56.9,0.0,0.99],[62.8,0.0,0.99],[67.9,0.0,0.99],[72.9,0.0,0.99],[78.1,0.0,0.99],[83.2,0.0,null],[88.3,0.0,null],[93.5,0.0,null],[98.9,0.0,null],[104.1,0.0,null],[109.2,0.0,null],[114.3,0.0,null],[119.4,0.0,null],[124.5,0.0,null],[129.6,0.0,null],[134.7,0.0,null],[139.8,0.0,null],[144.9,0.0,null],[150.1,0.0,null],[155.2,0.0,null],[160.9,0.0,null],[166.0,0.0,null],[171.1,0.0,null],[176.2,0.0,null],[181.2,0.0,null],[186.4,0.0,null],[191.5,0.0,null],[196.9,0.0,null],[202.0,0.0,null],[207.7,0.0,null]]",1
2026-08-21T13:21:08+00:00,3744491,YES,NO,1.0,13,0.34,"[[0.0,0.0,0.67],[5.1,0.0,0.66],[10.2,0.0,0.69],[15.3,0.0,0.64],[20.5,0.0,0.61],[25.6,0.0,0.62],[30.7,0.0,0.65],[36.0,0.0,0.69],[41.0,0.0,0.72],[46.2,0.0,0.72],[51.4,0.0,0.76],[56.6,0.0,0.78],[61.7,0.0,0.79],[66.8,0.0,0.78],[71.9,0.0,0.86],[77.0,0.0,0.74],[82.1,0.0,0.65],[87.3,0.0,0.77],[92.4,0.0,0.77],[97.4,0.0,0.86],[102.5,0.0,0.8],[107.6,0.0,0.8],[112.8,0.0,0.78],[117.9,0.0,0.84],[123.0,0.0,0.89],[128.2,0.0,0.87],[133.3,0.0,0.86],[138.4,0.0,0.9],[143.6,0.0,0.91],[148.7,0.0,0.92],[154.0,0.0,0.99],[159.1,0.0,null],[164.2,0.0,null],[169.2,0.0,null],[174.3,0.0,null],[179.4,0.0,null],[184.6,0.0,null],[189.7,0.0,null],[194.8,0.0,null],[199.9,0.0,null],[205.0,0.0,null],[213.1,0.0,null],[218.2,0.0,null],[223.4,0.0,null],[228.5,0.0,null]]",1
2026-08-21T13:26:10+00:00,3744555,NO,YES,1.0,29,0.94,"[[0.0,805.1,0.94],[5.1,652.6,0.95],[10.3,843.4,0.92],[15.5,459.2,0.97],[20.7,658.2,0.93],[25.9,545.0,0.95],[31.1,324.9,0.97],[36.2,453.5,0.96],[41.3,4.7,0.98],[46.4,0.0,0.99],[51.5,0.0,0.99],[56.7,170.5,0.98],[61.9,0.0,0.99],[67.0,0.0,0.99],[72.1,0.0,0.99],[77.2,0.0,0.99],[87.8,0.0,0.99],[93.5,0.0,0.99],[98.9,0.0,null],[104.0,0.0,null],[109.6,0.0,null],[114.8,0.0,null],[119.9,0.0,null],[125.2,0.0,null],[130.4,0.0,null],[137.7,0.0,null],[142.9,0.0,null],[148.0,0.0,null],[153.8,0.0,null],[160.9,0.0,null],[166.0,0.0,null],[171.1,0.0,null],[176.3,0.0,null],[181.4,0.0,null],[186.5,0.0,null],[191.7,0.0,null],[196.8,0.0,null],[201.9,0.0,null],[207.0,0.0,null],[212.1,0.0,null],[217.2,0.0,null],[222.3,0.0,null],[227.5,0.0,null]]",1
2026-08-21T13:31:13+00:00,3744580,YES,NO,1.0,55,0.05,"[[0.0,0.0,0.96],[5.2,0.0,0.97],[10.3,0.0,0.95],[15.7,0.0,0.95],[21.5,0.0,0.96],[27.2,0.0,0.96],[33.2,0.0,0.97],[38.6,0.0,0.97],[44.0,0.0,0.97],[49.2,0.0,0.98],[54.5,0.0,0.99],[59.9,0.0,0.99],[65.8,0.0,0.99],[71.1,0.0,0.99],[76.3,0.0,0.99],[82.1,0.0,0.99],[87.3,0.0,0.99],[92.4,0.0,0.99],[97.6,0.0,null],[102.7,0.0,null],[107.9,0.0,null],[113.1,0.0,null],[118.2,0.0,null],[123.4,0.0,null],[128.5,0.0,null],[133.6,0.0,null],[139.1,0.0,null],[144.9,0.0,null],[150.0,0.0,null],[155.1,0.0,null],[160.2,0.0,null],[165.3,0.0,null],[170.4,0.0,null],[175.5,0.0,null],[180.7,0.0,null],[186.2,0.0,null],[191.3,0.0,null],[196.4,0.0,null],[201.5,0.0,null],[206.6,0.0,null],[211.8,0.0,null],[216.9,0.0,null],[222.1,0.0,null]]",1
2026-08-21T13:36:10+00:00,3744623,YES,NO,1.0,36,0.16,"[[0.0,0.0,0.83],[5.2,0.0,0.83],[14.8,0.0,0.92],[20.3,0.0,0.83],[25.4,0.0,0.79],[30.5,0.0,0.72],[35.6,0.0,0.69],[40.7,0.0,0.72],[45.8,0.0,0.59],[50.9,0.0,0.57],[56.1,0.0,0.54],[61.2,0.0,0.48],[66.4,0.0,0.54],[71.6,0.0,0.63],[76.7,0.0,0.49],[81.7,0.0,0.37],[86.8,0.0,0.31],[92.2,0.0,0.3],[97.5,0.0,0.42],[102.6,0.0,0.36],[107.7,0.0,0.32],[112.8,0.0,0.24],[118.0,0.0,0.25],[123.1,0.0,0.23],[128.2,0.0,0.21],[134.3,14.8,0.15],[139.6,26.4,0.08],[144.8,45.5,0.09],[149.9,37.2,0.08],[155.0,51.2,0.09],[160.1,48.3,0.01],[166.9,45.1,0.01],[172.4,58.2,0.01],[177.5,65.2,0.01],[182.7,66.2,0.01],[187.8,66.8,0.01],[193.7,71.2,0.01],[198.9,75.2,0.01],[204.0,77.5,0.01],[209.2,78.5,0.01],[214.4,77.9,0.001],[224.3,63.6,0.001]]",1
2026-08-21T13:41:11+00:00,3745218,NO,YES,1.0,35,0.95,"[[0.0,1161.1,0.95],[5.1,1065.8,0.95],[10.2,870.9,0.97],[15.3,871.4,0.97],[20.4,1051.7,0.94],[28.3,687.6,0.97],[34.0,687.6,0.97],[39.1,557.2,0.97],[44.2,457.8,0.98],[49.3,457.8,0.98],[54.5,457.8,0.98],[59.6,120.6,0.98],[64.7,114.8,0.98],[69.8,358.9,0.99],[74.9,111.3,0.99],[80.0,111.3,0.99],[85.1,69.7,0.99],[90.3,69.7,0.99],[95.4,69.7,0.99],[100.5,108.8,0.98],[105.6,113.5,0.98],[110.7,0.0,null],[117.6,0.0,null],[122.9,0.0,null],[128.1,0.0,null],[133.2,0.0,null],[138.4,0.0,null],[143.5,0.0,null],[148.6,0.0,null],[153.8,0.0,null],[158.9,0.0,null],[164.0,0.0,null],[169.1,0.0,null],[174.3,0.0,null],[179.4,0.0,null],[184.5,0.0,null],[189.6,0.0,null],[194.6,0.0,null],[199.7,0.0,null],[204.8,0.0,null],[209.9,0.0,null],[215.0,0.0,null],[220.1,0.0,null],[225.2,0.0,null]]",1
2026-08-21T13:46:08+00:00,3745234,NO,YES,1.0,6,0.38,"[[0.0,64.0,0.38],[5.1,0.0,0.49],[10.3,0.0,0.47],[15.5,0.0,0.43],[20.6,0.0,0.49],[25.8,96.1,0.37],[31.0,0.0,0.54],[36.2,0.0,0.61],[41.3,0.0,0.6],[46.4,0.0,0.59],[51.5,0.0,0.58],[56.8,0.0,0.73],[61.9,0.0,0.79],[67.0,0.0,0.86],[72.1,0.0,0.84],[77.3,0.0,0.71],[82.5,0.0,0.67],[87.6,0.0,0.63],[93.0,0.0,0.54],[98.1,0.0,0.64],[103.2,0.0,0.76],[108.3,0.0,0.71],[113.4,0.0,0.75],[118.4,0.0,0.54],[123.6,0.0,0.78],[128.6,0.0,0.82],[133.7,0.0,0.87],[140.5,0.0,0.87],[145.8,0.0,0.77],[151.0,0.0,0.92],[156.1,0.0,0.74],[161.3,0.0,0.92],[166.4,0.0,0.96],[171.5,0.0,0.95],[176.5,0.0,null],[181.6,0.0,null],[186.7,0.0,null],[191.9,0.0,null],[197.0,0.0,null],[202.1,0.0,null],[207.2,0.0,null],[212.3,0.0,null],[217.4,0.0,null],[222.6,0.0,null],[227.7,0.0,null]]",1
2026-08-21T13:51:07+00:00,3745313,NO,YES,1.0,23,0.79,"[[0.0,39.0,0.82],[5.1,39.0,0.82],[10.2,0.0,0.84],[15.4,104.9,0.81],[20.5,355.7,0.78],[25.6,637.9,0.73],[30.8,312.8,0.79],[36.1,205.7,0.79],[41.3,222.9,0.79],[46.6,365.1,0.79],[51.7,0.0,0.84],[56.7,1315.5,0.51],[61.8,1824.6,0.33],[66.9,1964.1,0.29],[72.0,1830.2,0.38],[77.1,1774.4,0.46],[82.5,1631.4,0.42],[87.6,1385.9,0.55],[92.7,1042.7,0.63],[97.8,649.7,0.73],[102.9,1153.9,0.63],[108.0,1378.9,0.59],[113.1,1820.1,0.37],[120.7,1981.1,0.29],[125.8,1274.5,0.55],[130.9,1056.5,0.65],[136.0,1590.6,0.5],[141.2,1562.6,0.51],[146.3,742.8,0.61],[151.4,1211.7,0.58],[156.5,804.9,0.69],[161.6,518.7,0.73],[166.8,793.5,0.67],[171.8,1739.9,0.14],[177.0,1683.7,0.08],[182.0,1605.5,0.04],[187.1,1658.6,0.01],[192.3,1661.5,0.01],[197.4,1661.6,0.01],[202.5,1675.4,0.01],[207.6,1677.8,0.01],[212.7,1683.8,0.01],[217.8,1681.4,0.01],[222.9,1679.6,0.01],[228.1,1675.4,0.01]]",1
2026-08-21T13:57:15+00:00,3745342,NO,YES,1.0,5,0.67,"[[0.0,161.6,0.68],[5.2,623.1,0.59],[10.3,889.5,0.51],[15.4,649.9,0.58],[20.6,688.8,0.54],[25.8,1017.6,0.5],[30.9,959.9,0.48],[36.2,846.2,0.51],[41.3,912.4,0.5],[46.4,973.3,0.43],[51.5,1380.6,0.26],[56.6,1333.8,0.25],[63.4,1540.1,0.16],[68.6,1480.2,0.18],[73.7,1429.1,0.23],[78.8,1307.9,0.34],[83.9,1012.9,0.44],[89.1,1121.2,0.45],[94.2,1088.7,0.45],[99.3,758.3,0.5],[104.4,1017.0,0.44],[109.6,0.0,0.87],[114.7,0.0,0.97],[119.8,0.0,null],[124.9,0.0,null],[130.0,0.0,null],[135.1,0.0,null],[140.2,0.0,null],[145.3,0.0,null],[150.4,0.0,null],[155.5,0.0,null],[160.7,0.0,null]]",1
2026-08-21T14:01:25+00:00,3745366,YES,NO,0.9,10,0.25,"[[0.0,0.0,0.79],[5.1,0.0,0.76],[10.3,0.0,0.76],[15.4,0.0,0.77],[20.5,0.0,0.75],[25.6,0.0,0.83],[30.8,0.0,0.79],[35.9,0.0,0.85],[41.0,0.0,0.86],[46.1,0.0,0.92],[51.3,0.0,0.92],[56.3,0.0,0.88],[61.5,0.0,0.92],[66.6,0.0,0.96],[71.7,0.0,0.96],[76.8,0.0,0.95],[81.9,0.0,0.94],[87.0,0.0,0.96],[92.2,0.0,0.96],[97.3,0.0,0.98],[102.4,0.0,0.98],[107.5,0.0,0.98],[112.8,0.0,0.95],[120.4,0.0,0.95],[125.6,0.0,null],[130.8,0.0,null],[136.0,0.0,null],[141.1,0.0,null],[146.5,0.0,null],[151.6,0.0,null],[156.8,0.0,null],[162.0,0.0,null],[167.1,0.0,null],[172.2,0.0,null],[177.3,0.0,null],[182.4,0.0,null],[187.6,0.0,null],[192.7,0.0,null],[197.8,0.0,null],[202.9,0.0,null],[208.0,0.0,null],[213.1,0.0,null]]",1
2026-08-21T14:06:11+00:00,3745374,NO,YES,1.0,16,0.97,"[[0.0,912.0,0.97],[5.1,948.4,0.96],[10.2,917.5,0.96],[15.2,902.9,0.96],[20.3,907.3,0.97],[25.4,731.9,0.97],[30.5,513.8,0.98],[35.6,450.3,0.99],[40.8,708.0,0.97],[45.9,630.2,0.98],[51.0,578.8,0.98],[56.1,670.9,0.96],[61.3,771.3,0.95],[66.3,1038.3,0.93],[71.4,790.7,0.96],[76.5,846.9,0.96],[81.6,799.4,0.96],[86.8,686.6,0.97],[91.8,609.0,0.97],[96.9,936.7,0.94],[102.0,775.9,0.95],[107.1,766.5,0.96],[112.2,871.4,0.95],[117.3,28.2,0.99],[122.4,26.3,0.99],[127.5,0.0,null],[132.6,0.0,null],[137.7,0.0,null],[142.9,0.0,null],[148.0,0.0,null],[153.2,0.0,null],[158.2,0.0,null],[163.3,0.0,null],[168.4,0.0,null],[173.5,0.0,null],[178.6,0.0,null],[184.3,0.0,null],[189.5,0.0,null],[194.6,0.0,null],[199.8,0.0,null],[204.9,0.0,null],[210.0,0.0,null],[215.2,0.0,null],[220.3,0.0,null],[225.4,0.0,null]]",1
2026-08-21T14:11:14+00:00,3745400,NO,YES,1.0,3,0.78,"[[0.0,341.9,0.75],[5.2,144.5,0.76],[10.3,468.7,0.74],[15.4,246.1,0.76],[20.6,492.9,0.73],[25.8,0.0,0.82],[31.1,176.8,0.76],[37.2,223.5,0.75],[43.1,0.0,0.87],[48.3,0.0,0.87],[54.1,0.0,0.9],[59.2,0.0,0.9],[64.4,0.0,0.9],[69.5,0.0,0.88],[74.6,143.5,0.77],[79.7,693.0,0.68],[84.9,18.0,0.79],[90.1,464.2,0.71],[95.1,1391.4,0.56],[100.2,1325.8,0.52],[105.4,950.0,0.63],[110.5,37.6,0.79],[115.6,267.6,0.74],[120.7,337.8,0.72],[125.8,1348.3,0.54],[131.0,1335.1,0.54],[136.1,253.4,0.76],[141.2,278.6,0.73],[146.3,258.6,0.74],[151.4,0.0,0.82],[156.6,0.0,0.93],[161.8,1076.0,0.55],[167.0,1695.9,0.08],[177.9,1188.1,0.49],[183.0,1653.6,0.3],[188.1,509.2,0.66],[193.2,0.0,0.98],[198.4,0.0,null],[203.5,0.0,null],[208.8,0.0,null],[214.0,0.0,null],[219.1,0.0,null],[224.6,0.0,null]]",1
2026-08-21T14:19:22+00:00,3745405,YES,NO,1.0,4,0.01,"[[0.0,0.0,null],[8.0,0.0,null],[13.2,0.0,null],[18.3,0.0,null],[23.5,0.0,null],[28.7,0.0,null],[33.9,0.0,null]]",1
