fuente,ts_utc,activo,marco,slug,market_id,ini,fin,resto_s,p_justo,p_justo_prev,direccion,ref_twap,spot,edad_tick_s,ask,profundidad_eur,ratio_vs_stake,vwap_fill,fill_completo,lat_libro_ms,error
polybolt,2026-09-24T15:58:37.334+00:00,SOL,5m,sol-updown-5m-1790265300,4883044,1790265300,1790265600,82.7,0.8979,0.8009,Up,116.14861917200001,116.22743865,0.18,0.87,135.76,129.3,0.87,True,51,
polybolt,2026-09-24T15:58:44.966+00:00,ETH,5m,eth-updown-5m-1790265300,4883049,1790265300,1790265600,75.0,0.8801,0.7654,Up,2681.921375019,2683.03315162,0.8,0.84,457.06,435.3,0.84,True,75,
polybolt,2026-09-24T15:58:44.967+00:00,XRP,5m,xrp-updown-5m-1790265300,4883045,1790265300,1790265600,75.0,0.676,0.4921,Up,1.5144382521666666,1.51488347,0.8,0.75,21.18,20.2,0.75,True,63,
polybolt,2026-09-24T15:58:44.967+00:00,XRP,15m,xrp-updown-15m-1790264700,4882924,1790264700,1790265600,75.0,0.7388,0.5626,Up,1.514259736,1.51488347,0.8,0.78,30.41,29.0,0.78,True,125,
polybolt,2026-09-24T15:58:52.300+00:00,DOGE,15m,doge-updown-15m-1790264700,4882933,1790264700,1790265600,67.7,0.2647,0.3677,Down,0.09566010716666667,0.09562518,0.12,0.72,58.35,55.6,0.72,True,57,
polybolt,2026-09-24T15:58:52.299+00:00,DOGE,5m,doge-updown-5m-1790265300,4883047,1790265300,1790265600,67.7,0.5383,0.6397,Down,0.09561984716666667,0.09562518,0.12,0.54,24.96,23.8,0.54,True,82,
polybolt,2026-09-24T15:58:59.210+00:00,BNB,5m,bnb-updown-5m-1790265300,4883048,1790265300,1790265600,60.8,0.6106,0.6914,Down,780.213662116,780.2639754,0.05,0.36,11.64,11.1,0.36,True,58,
polybolt,2026-09-24T15:59:08.697+00:00,XRP,15m,xrp-updown-15m-1790264700,4882924,1790264700,1790265600,51.3,0.7301,0.8776,Down,1.514259736,1.5146,0.52,0.44,13.25,12.6,0.44,True,96,
polybolt,2026-09-24T15:59:08.697+00:00,XRP,5m,xrp-updown-5m-1790265300,4883045,1790265300,1790265600,51.3,0.6305,0.8114,Down,1.5144382521666666,1.5146,0.52,0.54,10.9,10.4,0.54,True,61,
polybolt,2026-09-24T15:59:09.800+00:00,BTC,5m,btc-updown-5m-1790265300,4883046,1790265300,1790265600,50.2,0.7923,0.9386,Down,84371.95000429917,84383.1499257,0.57,0.2,77.59,73.9,0.2,True,50,
polybolt,2026-09-24T15:59:09.801+00:00,ETH,5m,eth-updown-5m-1790265300,4883049,1790265300,1790265600,50.2,0.7425,0.9148,Down,2681.921375019,2682.27,0.57,0.28,25.34,24.1,0.28,True,96,
polybolt,2026-09-24T15:59:19.362+00:00,DOGE,5m,doge-updown-5m-1790265300,4883047,1790265300,1790265600,40.6,0.2409,0.1566,Up,0.09561984716666667,0.09559264,0.2,0.31,11.34,10.8,0.31,True,300,
polybolt,2026-09-24T15:59:25.235+00:00,BNB,5m,bnb-updown-5m-1790265300,4883048,1790265300,1790265600,34.8,0.2679,0.1696,Up,780.213662116,780.15012217,0.08,0.2,4.92,4.7,0.2,True,52,
polybolt,2026-09-24T15:59:28.832+00:00,XRP,15m,xrp-updown-15m-1790264700,4882924,1790264700,1790265600,31.2,0.79,0.6469,Up,1.514259736,1.51491929,0.64,0.95,183.03,174.3,0.95,True,51,
polybolt,2026-09-24T15:59:28.832+00:00,XRP,5m,xrp-updown-5m-1790265300,4883045,1790265300,1790265600,31.2,0.6996,0.5373,Up,1.5144382521666666,1.51491929,0.64,0.88,72.31,68.9,0.88,True,53,
polybolt,2026-09-24T16:00:06.957+00:00,DOGE,5m,doge-updown-5m-1790265600,4883065,1790265600,1790265900,293.0,0.5618,0.654,Down,0.09559443183333333,0.09561859,0.8,0.48,94.36,89.9,0.48,True,74,
polybolt,2026-09-24T16:00:06.956+00:00,SOL,15m,sol-updown-15m-1790265600,4883080,1790265600,1790266500,893.0,0.4854,0.5756,Down,116.25857273266666,116.24876077,0.8,0.5,42.56,40.5,0.5,True,165,
polybolt,2026-09-24T16:00:06.955+00:00,SOL,5m,sol-updown-5m-1790265600,4883064,1790265600,1790265900,293.0,0.4732,0.6365,Down,116.25857273266666,116.24876077,0.8,0.53,89.25,85.0,0.53,True,320,
polybolt,2026-09-24T16:00:06.956+00:00,XRP,5m,xrp-updown-5m-1790265600,4883058,1790265600,1790265900,293.0,0.5007,0.6057,Down,1.5144957208333334,1.5145,0.8,0.52,60.16,57.3,0.52,True,414,
polybolt,2026-09-24T16:00:11.440+00:00,ETH,5m,eth-updown-5m-1790265600,4883068,1790265600,1790265900,288.6,0.5149,0.6095,Down,2682.617369367,2682.70684456,0.28,0.5,291.3,277.4,0.5,True,585,
polybolt,2026-09-24T16:00:17.364+00:00,BNB,5m,bnb-updown-5m-1790265600,4883076,1790265600,1790265900,282.6,0.5656,0.6692,Down,780.1319365960001,780.2259656,0.21,0.47,36.68,34.9,0.47,True,79,
polybolt,2026-09-24T16:00:31.527+00:00,DOGE,5m,doge-updown-5m-1790265600,4883065,1790265600,1790265900,268.5,0.3002,0.392,Down,0.09559443183333333,0.09551564,0.36,0.73,113.41,108.0,0.73,True,194,
polybolt,2026-09-24T16:00:33.098+00:00,SOL,15m,sol-updown-15m-1790265600,4883080,1790265600,1790266500,866.9,0.2729,0.3669,Down,116.25857273266666,116.09621467,0.9,0.67,104.89,99.9,0.67,True,90,
polybolt,2026-09-24T16:00:33.098+00:00,SOL,5m,sol-updown-5m-1790265600,4883064,1790265600,1790265900,266.9,0.1244,0.2588,Down,116.25857273266666,116.09621467,0.9,0.79,148.77,141.7,0.79,True,113,
polybolt,2026-09-24T16:00:33.477+00:00,ETH,5m,eth-updown-5m-1790265600,4883068,1790265600,1790265900,266.5,0.2659,0.3509,Down,2682.617369367,2681.18848522,0.31,0.7,60.42,57.5,0.7,True,297,
polybolt,2026-09-24T16:00:33.472+00:00,BTC,5m,btc-updown-5m-1790265600,4883057,1790265600,1790265900,266.5,0.3388,0.4344,Down,84391.23261678034,84367.3717481,0.31,0.64,1577.96,1502.8,0.64,True,297,
polybolt,2026-09-24T16:00:37.507+00:00,BNB,15m,bnb-updown-15m-1790265600,4883056,1790265600,1790266500,862.5,0.3451,0.4449,Down,780.1319365960001,779.71431859,0.34,0.61,18.55,17.7,0.61,True,53,
polybolt,2026-09-24T16:00:37.507+00:00,BNB,5m,bnb-updown-5m-1790265600,4883076,1790265600,1790265900,262.5,0.2218,0.3953,Down,780.1319365960001,779.71431859,0.34,0.72,55.28,52.6,0.72,True,98,
polybolt,2026-09-24T16:00:39.431+00:00,DOGE,15m,doge-updown-15m-1790265600,4883061,1790265600,1790266500,860.6,0.2154,0.3102,Down,0.09559443183333333,0.09537,0.27,0.75,49.98,47.6,0.75,True,253,
polybolt,2026-09-24T16:00:39.430+00:00,ETH,15m,eth-updown-15m-1790265600,4883081,1790265600,1790266500,860.6,0.2297,0.3183,Down,2682.617369367,2679.399991,0.27,0.73,1399.71,1333.1,0.73,True,246,
polybolt,2026-09-24T16:00:42.315+00:00,XRP,15m,xrp-updown-15m-1790265600,4883072,1790265600,1790266500,857.7,0.1509,0.2314,Down,1.5144957208333334,1.50958603,0.14,0.79,414.03,394.3,0.79,True,196,
polybolt,2026-09-24T16:00:42.314+00:00,BTC,15m,btc-updown-15m-1790265600,4883067,1790265600,1790266500,857.7,0.2013,0.2987,Down,84391.23261678034,84300.0,0.16,0.72,1674.13,1594.4,0.72,True,254,
polybolt,2026-09-24T16:01:12.056+00:00,BNB,15m,bnb-updown-15m-1790265600,4883056,1790265600,1790266500,828.0,0.216,0.1135,Up,780.1319365960001,779.21506012,0.81,0.33,20.35,19.4,0.33,True,138,
polybolt,2026-09-24T16:01:12.054+00:00,DOGE,15m,doge-updown-15m-1790265600,4883061,1790265600,1790266500,828.0,0.2434,0.1396,Up,0.09559443183333333,0.09536802,0.81,0.32,13.42,12.8,0.32,True,122,
polybolt,2026-09-24T16:01:12.036+00:00,SOL,15m,sol-updown-15m-1790265600,4883080,1790265600,1790266500,828.0,0.259,0.1759,Up,116.25857273266666,116.0633744,0.81,0.35,18.58,17.7,0.35,True,199,
polybolt,2026-09-24T16:01:31.270+00:00,DOGE,5m,doge-updown-5m-1790265600,4883065,1790265600,1790265900,208.7,0.1933,0.1059,Up,0.09559443183333333,0.0954639,0.11,0.3,11.05,10.5,0.3,True,134,
polybolt,2026-09-24T16:01:31.271+00:00,BNB,5m,bnb-updown-5m-1790265600,4883076,1790265600,1790265900,208.7,0.1913,0.1051,Up,780.1319365960001,779.66042453,0.11,0.32,17.7,16.9,0.32,True,693,
polybolt,2026-09-24T16:01:52.393+00:00,SOL,5m,sol-updown-5m-1790265600,4883064,1790265600,1790265900,187.6,0.1512,0.2387,Down,116.25857273266666,116.12374552,0.2,0.83,451.88,430.4,0.83,True,90,
polybolt,2026-09-24T16:01:52.432+00:00,DOGE,5m,doge-updown-5m-1790265600,4883065,1790265600,1790265900,187.6,0.1334,0.2376,Down,0.09559443183333333,0.09543785,0.19,0.81,154.63,147.3,0.81,True,101,
polybolt,2026-09-24T16:01:53.447+00:00,DOGE,15m,doge-updown-15m-1790265600,4883061,1790265600,1790266500,786.6,0.2934,0.3747,Down,0.09559443183333333,0.09542212,0.28,0.68,28.24,26.9,0.68,True,98,
polybolt,2026-09-24T16:01:53.455+00:00,BNB,5m,bnb-updown-5m-1790265600,4883076,1790265600,1790265900,186.6,0.1633,0.2522,Down,780.1319365960001,779.63827258,0.28,0.82,222.79,212.2,0.82,True,224,
polybolt,2026-09-24T16:01:54.286+00:00,BTC,15m,btc-updown-15m-1790265600,4883067,1790265600,1790266500,785.7,0.1332,0.216,Down,84391.23261678034,84273.66484442,0.06,0.76,8481.99,8078.1,0.76,True,85,
polybolt,2026-09-24T16:02:12.627+00:00,DOGE,5m,doge-updown-5m-1790265600,4883065,1790265600,1790265900,167.4,0.1339,0.0455,Up,0.09559443183333333,0.09542272,0.46,0.2,7.45,7.1,0.2,True,73,
polybolt,2026-09-24T16:02:20.478+00:00,BNB,5m,bnb-updown-5m-1790265600,4883076,1790265600,1790265900,159.5,0.2023,0.115,Up,780.1319365960001,779.69219137,0.16,0.3,13.52,12.9,0.3,True,81,
polybolt,2026-09-24T16:02:37.364+00:00,DOGE,5m,doge-updown-5m-1790265600,4883065,1790265600,1790265900,142.6,0.3295,0.1836,Up,0.09559443183333333,0.09553301,0.2,0.38,21.53,20.5,0.38,True,66,
polybolt,2026-09-24T16:02:37.362+00:00,SOL,5m,sol-updown-5m-1790265600,4883064,1790265600,1790265900,142.6,0.3737,0.2607,Up,116.25857273266666,116.22107484,0.2,0.41,51.06,48.6,0.41,True,91,
polybolt,2026-09-24T16:02:47.426+00:00,BNB,5m,bnb-updown-5m-1790265600,4883076,1790265600,1790265900,132.6,0.1539,0.2505,Down,780.1319365960001,779.65839264,0.23,0.84,48.83,46.5,0.84,True,97,
polybolt,2026-09-24T16:03:04.354+00:00,SOL,5m,sol-updown-5m-1790265600,4883064,1790265600,1790265900,115.6,0.1323,0.2179,Down,116.25857273266666,116.14704118,0.19,0.87,138.59,132.0,0.87,True,50,
polybolt,2026-09-24T16:03:04.355+00:00,DOGE,5m,doge-updown-5m-1790265600,4883065,1790265600,1790265900,115.6,0.119,0.21,Down,0.09559443183333333,0.09545349,0.19,0.86,130.5,124.3,0.86,True,56,
