evento_timestamp_utc,market_id,strategy,subtype,direction,precio_original,stake_eur,ratio_original,precio_contrario,muestras_json,ratio_contrario_inicial,ratio_contrario_max,ratio_contrario_min
2026-08-14T12:19:10+00:00,3563855,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.78,1.05,3071.8,0.22,"[[0.0,0.0,0.36],[5.5,0.0,0.4],[10.8,0.0,0.43],[15.8,0.0,0.49],[21.0,0.0,0.49],[26.3,0.0,0.5]]",0.0,0.0,0.0
2026-08-14T12:19:12+00:00,3563849,GBM_LATE_15M_ESPACIO_ATR,SOL#15min,BUY_YES,0.67,1.05,753.9,0.33,"[[0.0,0.0,0.47],[5.4,0.0,0.51],[10.7,0.0,0.52],[15.8,0.0,0.57],[20.9,0.0,0.57],[26.3,0.0,0.61]]",0.0,0.0,0.0
2026-08-14T12:19:11+00:00,3563855,GBM_LATE_15M,ETH#15min,BUY_YES,0.72,1.05,2034.8,0.28,"[[0.0,0.0,0.36],[5.3,0.0,0.4],[10.6,0.0,0.43],[15.7,0.0,0.49],[20.8,0.0,0.49],[26.2,0.0,0.47]]",0.0,0.0,0.0
2026-08-14T12:19:10+00:00,3563849,FAVORITO_CONFIRMADO,SOL#15min,BUY_YES,0.67,1.05,751.0,0.33,"[[0.0,0.0,0.47],[5.5,0.0,0.51],[10.8,0.0,0.52],[15.9,0.0,0.56],[21.0,0.0,0.57],[26.4,0.0,0.61]]",0.0,0.0,0.0
2026-08-14T12:19:13+00:00,3563851,UPDOWN_GBM_15M_TARDIO,BNB#15min,BUY_NO,0.28,1.05,58.9,0.72,"[[0.0,0.0,0.78],[5.3,0.0,0.76],[10.4,4.9,0.75],[15.6,22.8,0.73],[20.7,351.2,0.63],[25.9,347.5,0.61]]",0.0,351.2,0.0
2026-08-14T12:19:14+00:00,3563859,GBM_LATE_15M_ESPACIO_ATR,BTC#15min,BUY_YES,0.73,1.05,6075.6,0.27,"[[0.0,0.0,0.37],[5.3,0.0,0.41],[10.4,0.0,0.41],[15.6,0.0,0.47],[20.8,0.0,0.48],[25.8,0.0,0.5]]",0.0,0.0,0.0
2026-08-14T12:19:12+00:00,3563855,GBM_LATE_15M_ESPACIO_ATR,ETH#15min,BUY_YES,0.72,1.05,1408.8,0.28,"[[0.0,0.0,0.36],[5.4,0.0,0.4],[10.5,0.0,0.43],[15.6,0.0,0.49],[20.8,0.0,0.49],[26.0,0.0,0.49]]",0.0,0.0,0.0
2026-08-14T12:19:17+00:00,3563851,GBM_LATE_15M_ESPACIO_ATR,BNB#15min,BUY_NO,0.27,1.05,33.1,0.73,"[[0.0,5.1,0.76],[5.1,0.0,0.77],[10.2,118.4,0.73],[15.3,515.6,0.66],[20.6,420.7,0.61],[25.8,372.2,0.61]]",5.1,515.6,0.0
2026-08-14T12:19:40+00:00,3563847,BALLENAS_CONFIRMADAS_15M,DOGE#15min,BUY_YES,0.37,1.05,19.9,0.63,"[[0.0,3.8,0.66],[5.1,0.0,0.67],[10.1,0.0,0.67],[15.3,0.0,0.67],[20.6,32.2,0.63],[25.9,37.9,0.64]]",3.8,37.9,0.0
2026-08-14T12:19:58+00:00,3563857,BALLENAS_TARDIAS,DOGE#5min,BUY_YES,0.68,1.05,233.6,0.32,"[[0.0,0.0,null],[5.2,0.0,null],[10.4,0.0,null],[15.6,0.0,null],[20.8,0.0,null],[25.9,0.0,null]]",0.0,0.0,0.0
2026-08-14T12:21:08+00:00,3563872,FAVORITO_CONFIRMADO_5MIN_BAJALATENCIA,XRP#5min,BUY_NO,0.59,1.05,34.4,0.41,"[[0.0,13.6,0.28],[5.4,105.9,0.29],[10.6,114.2,0.29],[15.8,111.3,0.3],[20.9,144.6,0.3],[26.0,111.1,0.3]]",13.6,144.6,13.6
2026-08-14T12:21:12+00:00,3563870,FAVORITO_CONFIRMADO,BTC#5min,BUY_NO,0.56,1.05,4218.0,0.44,"[[0.0,0.0,0.68],[5.5,0.0,0.66],[10.7,0.0,0.69],[15.8,0.0,0.73],[20.9,0.0,0.72],[26.1,0.0,0.76]]",0.0,0.0,0.0
2026-08-14T12:21:13+00:00,3563869,FAVORITO_CONFIRMADO,SOL#5min,BUY_NO,0.57,1.05,454.6,0.43,"[[0.0,0.0,0.8],[5.4,0.0,0.79],[10.6,0.0,0.79],[15.7,0.0,0.8],[20.9,0.0,0.8],[26.0,0.0,0.73]]",0.0,0.0,0.0
2026-08-14T12:21:59+00:00,3563875,FAVORITO_CONFIRMADO,ETH#5min,BUY_YES,0.56,1.05,387.2,0.44,"[[0.0,0.0,0.49],[5.2,0.0,0.48],[10.2,0.0,0.48],[15.3,725.9,0.31],[20.7,789.2,0.28],[25.8,858.7,0.28]]",0.0,858.7,0.0
2026-08-14T12:22:00+00:00,3563870,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BTC#5min,BUY_YES,0.7,1.05,3555.0,0.3,"[[0.0,0.0,0.44],[5.1,0.0,0.41],[10.2,344.5,0.28],[15.4,902.0,0.22],[20.5,828.7,0.23],[25.6,1563.4,0.18]]",0.0,1563.4,0.0
