timestamp_utc,market_id,question,end_date,strategy,subtype,direction,stake_eur,entry_price,ic_modelo,edge_neto,conviction_score,kelly_recomendado,status,close_timestamp,exit_price,outcome_real,fee_eur,pnl_bruto_eur,pnl_neto_eur,notas
2026-07-02T16:27:47+00:00,2758530,"Ethereum Up or Down - July 2, 12:30PM-12:45PM ET",2026-07-02T16:45:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.6,0.48,0.427,-0.073,0.1212,1.6,CLOSED,2026-07-02T16:45:07+00:00,0.0,YES,0.0,-1.6000,-1.6000,
2026-07-02T19:22:13+00:00,2760380,"Ethereum Up or Down - July 2, 3:15PM-3:30PM ET",2026-07-02T19:30:00,UPDOWN_GBM,ETH#15min,BUY_NO,0.0,0.515,0.6529,-0.0313,0.1119,1.39,ERROR,,,,0.0,,,"PolyApiException[status_code=400, error_message={'error': 'invalid amounts, the market buy orders maker amount supports a max accuracy of 2 decimals, taker amount a max of 4 decimals'}]"
2026-07-02T19:26:58+00:00,2760421,"Solana Up or Down - July 2, 3:30PM-3:45PM ET",2026-07-02T19:45:00,UPDOWN_GBM,SOL#15min,BUY_NO,2.0,0.5,0.4962,-0.0402,0.1923,2.0,CLOSED,2026-07-02T19:48:09+00:00,0.0,YES,0.0,-2.0000,-2.0000,
2026-07-03T06:34:15+00:00,2766154,"XRP Up or Down - July 3, 2:30AM-2:45AM ET",2026-07-03T06:45:00,GBM_LATE_15M,XRP#15min,BUY_YES,2.0,0.52,0.5819,0.0819,0.2234,2.0,CLOSED,2026-07-03T06:48:57+00:00,0.0,NO,0.0,-2.0000,-2.0000,slip_real=+0.0400
2026-07-03T06:34:55+00:00,2766166,"Solana Up or Down - July 3, 2:30AM-2:45AM ET",2026-07-03T06:45:00,GBM_LATE_15M,SOL#15min,BUY_YES,1.19,0.59,0.6339,0.1089,0.1304,1.19,CLOSED,2026-07-03T06:48:57+00:00,0.0,NO,0.0,-1.1900,-1.1900,slip_real=+0.0850
2026-07-03T06:38:51+00:00,2766225,"Bitcoin Up or Down - July 3, 2:45AM-3:00AM ET",2026-07-03T07:00:00,UPDOWN_GBM,BTC#15min,BUY_NO,2.0,0.51,0.4155,-0.0472,0.2179,2.0,CLOSED,2026-07-03T07:01:11+00:00,0.0,YES,0.0,-2.0000,-2.0000,slip_real=+0.0050
2026-07-03T06:38:51+00:00,2766229,"Ethereum Up or Down - July 3, 2:45AM-3:00AM ET",2026-07-03T07:00:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.35,0.51,0.3845,-0.0519,0.1184,1.35,CLOSED,2026-07-03T07:04:11+00:00,0.0,YES,0.0,-1.3500,-1.3500,slip_real=+0.0050
2026-07-03T08:48:20+00:00,2766574,"Solana Up or Down - July 3, 4:45AM-5:00AM ET",2026-07-03T09:00:00,GBM_LATE_15M,SOL#15min,BUY_YES,0.0,0.505,0.5711,0.0461,0.12,0.98,ERROR,,,,0.0,,,"PolyApiException[status_code=400, error_message={'error': 'invalid amount for a marketable BUY order ($0.98), min size: 1'}]"
2026-07-03T08:49:38+00:00,2766575,"XRP Up or Down - July 3, 4:45AM-5:00AM ET",2026-07-03T09:00:00,GBM_LATE_15M,XRP#15min,BUY_YES,1.63,0.04,0.6167,0.1217,0.2,1.63,CLOSED,2026-07-03T09:01:02+00:00,0.0,NO,0.0,-1.6300,-1.6300,slip_real=-0.4350
2026-07-03T08:53:37+00:00,2766611,"Ethereum Up or Down - July 3, 5:00AM-5:15AM ET",2026-07-03T09:15:00,UPDOWN_GBM,ETH#15min,BUY_NO,0.0,0.49,0.4203,-0.0497,0.1154,0.94,ERROR,,,,0.0,,,"PolyApiException[status_code=400, error_message={'error': 'invalid amount for a marketable BUY order ($0.94), min size: 1'}]"
2026-07-03T09:18:14+00:00,2766640,"Solana Up or Down - July 3, 5:15AM-5:30AM ET",2026-07-03T09:30:00,GBM_LATE_15M,SOL#15min,BUY_YES,1.05,0.3,0.4191,0.0741,0.1154,1.05,CLOSED,2026-07-03T09:33:17+00:00,0.0,NO,0.0,-1.0500,-1.0500,slip_real=-0.0250
2026-07-03T13:19:21+00:00,2768664,"Solana Up or Down - July 3, 9:15AM-9:30AM ET",2026-07-03T13:30:00,GBM_LATE_15M,SOL#15min,BUY_YES,1.05,0.48,0.5886,0.0636,0.1316,1.05,CLOSED,2026-07-03T13:33:49+00:00,1.0,YES,0.0,1.1375,1.1375,slip_real=-0.0250
2026-07-03T13:33:03+00:00,2768693,"Solana Up or Down - July 3, 9:30AM-9:45AM ET",2026-07-03T13:45:00,GBM_LATE_15M,SOL#15min,BUY_YES,1.05,0.43,0.596,0.076,0.1316,1.05,CLOSED,2026-07-03T13:51:39+00:00,0.0,NO,0.0,-1.0500,-1.0500,slip_real=-0.0700
2026-07-03T13:42:06+00:00,2768692,"XRP Up or Down - July 3, 9:30AM-9:45AM ET",2026-07-03T13:45:00,GBM_LATE_15M,XRP#15min,BUY_YES,1.05,0.407,0.6148,0.1148,0.161,1.05,CLOSED,2026-07-03T13:50:16+00:00,0.0,NO,0.0,-1.0500,-1.0500,slip_real=-0.0730
2026-07-03T13:54:24+00:00,2768881,"Ethereum Up or Down - July 3, 10:00AM-10:15AM ET",2026-07-03T14:15:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.05,0.53,0.3726,-0.0538,0.1049,1.05,CLOSED,2026-07-03T14:17:48+00:00,1.0,NO,0.0,0.9311,0.9311,slip_real=+0.0250
2026-07-03T14:03:15+00:00,2768880,"Solana Up or Down - July 3, 10:00AM-10:15AM ET",2026-07-03T14:15:00,GBM_LATE_15M,SOL#15min,BUY_YES,1.05,0.14,0.3482,0.1732,0.1271,1.05,CLOSED,2026-07-03T14:19:12+00:00,0.0,NO,0.0,-1.0500,-1.0500,slip_real=-0.0150
2026-07-03T14:03:38+00:00,2768878,"XRP Up or Down - July 3, 10:00AM-10:15AM ET",2026-07-03T14:15:00,GBM_LATE_15M,XRP#15min,BUY_YES,1.05,0.49,0.5342,0.0292,0.15,1.05,CLOSED,2026-07-03T14:19:12+00:00,0.0,NO,0.0,-1.0500,-1.0500,slip_real=+0.0050
2026-07-03T14:19:53+00:00,2768978,"XRP Up or Down - July 3, 10:15AM-10:30AM ET",2026-07-03T14:30:00,GBM_LATE_15M,XRP#15min,BUY_YES,1.05,0.48,0.6407,0.1257,0.1393,1.05,CLOSED,2026-07-03T14:34:27+00:00,0.0,NO,0.0,-1.0500,-1.0500,slip_real=-0.0150
2026-07-03T14:20:39+00:00,2768981,"Ethereum Up or Down - July 3, 10:15AM-10:30AM ET",2026-07-03T14:30:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.05,0.47,0.5809,-0.0325,0.1098,1.05,CLOSED,2026-07-03T14:35:50+00:00,1.0,NO,0.0,1.1840,1.1840,slip_real=-0.0250
2026-07-03T14:39:17+00:00,2769104,"Ethereum Up or Down - July 3, 10:45AM-11:00AM ET",2026-07-03T15:00:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.05,0.49,0.4985,-0.0498,0.1145,1.05,CLOSED,2026-07-03T15:06:37+00:00,0.0,YES,0.0,-1.0500,-1.0500,slip_real=+0.0000
2026-07-03T14:54:10+00:00,2769143,"Ethereum Up or Down - July 3, 11:00AM-11:15AM ET",2026-07-03T15:15:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.05,0.51,0.4903,-0.0361,0.1071,1.05,CLOSED,2026-07-03T15:15:26+00:00,0.0,YES,0.0,-1.0500,-1.0500,slip_real=+0.0050
2026-07-03T15:18:13+00:00,2769186,"Solana Up or Down - July 3, 11:15AM-11:30AM ET",2026-07-03T15:30:00,GBM_LATE_15M,SOL#15min,BUY_YES,1.05,0.28,0.4222,0.0972,0.129,1.05,OPEN,,,,0.0,,,slip_real=-0.0250
