timestamp_utc,rank_combined,address,username,pnl,vol,rank_pnl,rank_vol,score,verified_badge,x_username
2026-06-19T10:20:27+00:00,5,0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,,112792.35160466784,28117683.370585,13,2,0.828,False,
2026-06-19T10:20:27+00:00,6,0x06dc51826bc524d9a83770e7de9dd7e005b04524,0x06dc51826bc524d9a83770e7de9dd7e005b0452,110902.3879898474,24084166.205121994,14,3,0.808,False,
2026-06-19T10:20:27+00:00,7,0x9501ec3b8b3e330ae593ebe5b071c3d11b648223,horizon.,85410.663304,14725976.431862,18,11,0.696,False,
2026-06-19T10:20:27+00:00,8,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,0xcE25E214D5cfE4f459cf67F08DF581885AAE7Fdc-1777575398144,118468.47305879352,8690123.574972998,11,23,0.684,False,
2026-06-19T10:20:27+00:00,9,0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,bobe2.1,74019.459258,18640405.627466,23,7,0.668,False,
2026-06-19T10:20:27+00:00,10,0xf284ad6d607f777f34bc643cea587c33a886b9f9,strike123,467253.7928659568,3746218.9669149998,0,,0.6,False,
2026-06-19T10:20:27+00:00,11,0x0f0edbb5fca07a7efffe283624f085a7b2e2a019,prayingnotbroke,225020.685792,622024.5894010001,1,,0.588,False,
2026-06-19T10:20:27+00:00,12,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,aenews2,204973.8981302501,2377442.839706,2,,0.576,False,aenews
2026-06-19T10:20:27+00:00,13,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,CAR-GangVersion,66172.659345228,14157607.841587,27,13,0.572,False,
2026-06-19T10:20:27+00:00,14,0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,Dropper,158542.754008535,673779.806155,4,,0.552,False,DropperPM
2026-06-19T10:20:27+00:00,15,0x55be7aa03ecfbe37aa5460db791205f7ac9ddca3,coinman2,156031.56596251694,1851175.408209,5,,0.54,False,
2026-06-19T10:20:27+00:00,16,0x565ca59275f81991bd9877d7fa8404c5ecf6519e,bbwlover,139396.96725671057,963207.1738300001,7,,0.516,False,
2026-06-19T10:20:27+00:00,17,0x9f5ffe76a818dce37c70f947998b52b70671a008,0x9F5fFE76a818DCE37c70F947998b52b70671A008-1772728605528,89037.68622412797,6642012.276852,17,36,0.508,False,
2026-06-19T10:20:27+00:00,18,0x4834f8ba3454b8c3bae2cac7d235ba1adc0b1bfa,Surpriced-Legacy,121959.61642089539,496196.1417079999,10,,0.48,False,BTCBeliever21
2026-06-19T10:20:27+00:00,19,0xf705fa045201391d9632b7f3cde06a5e24453ca7,,116127.36564900842,3852724.5828930004,12,,0.456,False,
2026-06-19T10:20:27+00:00,20,0xa2cd4ccda9a1f95949df7a3355c4c2daa0642ba0,0xA2cd4CcdA9A1f95949DF7A3355C4c2DAa0642Ba0-1729178570395,100422.39256200001,6084029.820985001,15,47,0.444,False,
2026-06-19T10:20:27+00:00,21,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,elmcap2,57831.70778403971,8595089.099197,32,25,0.416,False,elm_cap
2026-06-19T10:20:27+00:00,22,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,justdance,96434.75930855633,3807464.235221999,16,,0.408,False,
2026-06-19T10:20:27+00:00,23,0x72a0d79b4325638bc2bcfc9a2b8a380c2d81c059,,83225.7679157781,1753345.6573459997,19,,0.372,False,
2026-06-19T10:20:27+00:00,24,0x6480542954b70a674a74bd1a6015dec362dc8dc5,tripping,122.89639246449951,23096624.543477997,,4,0.368,False,
2026-06-19T10:20:27+00:00,25,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,suntori,-268362.8349308779,22110328.316919,,5,0.36,False,
2026-06-19T10:20:27+00:00,26,0xce71bed9dd1418abc34d244730879d795e8683bc,tutrucks,78230.4082443271,702747.9736949999,20,,0.36,False,
2026-06-19T10:20:27+00:00,27,0x59aed45d6b8c0a4fc67af69a371007b3cceb22d5,0x59Aed45d6b8C0a4fc67af69A371007B3CceB22d5-1730864521381,-95979.41721176532,20278769.746834002,,6,0.352,False,
2026-06-19T10:20:27+00:00,28,0xc851cd9bee7d262afd78674f861f9f576a12cd2a,betwick,77190.55911999999,613548.846253,21,,0.348,False,Betwick1
2026-06-19T10:20:27+00:00,29,0x71a70f24538d885d1b45f9cea158a2cdf2e56fcf,easyclap,76931.02005512011,1133151.808674,22,,0.336,False,
