slot_start_utc,slot_end_utc,activo,ventana_min,strategy,decision,outcome_real,acierto,pnl_neto,prob_yes_modelo,edge_neto,drift_60min,drift_15min,sigma_h,pct_spot_vs_ref,delta_ratio
2026-05-12T15:25:00+00:00,2026-05-12T15:30:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.552,0.012,-1.1616,-2.6842,0.006783,0.0422,
2026-05-12T15:35:00+00:00,2026-05-12T15:40:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4519,0.0081,-0.4686,-1.1211,0.007011,-0.0141,
2026-05-12T15:40:00+00:00,2026-05-12T15:45:00+00:00,ETH,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4257,0.0343,-0.7282,0.1115,0.006805,-0.0208,
2026-05-12T15:45:00+00:00,2026-05-12T15:50:00+00:00,BTC,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.3611,0.0989,-0.5098,-0.1517,0.003771,-0.0261,
2026-05-12T15:45:00+00:00,2026-05-12T15:50:00+00:00,ETH,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3493,0.1107,-0.5895,-0.3305,0.005628,-0.0464,
2026-05-12T15:45:00+00:00,2026-05-12T15:50:00+00:00,DOGE,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4282,0.0318,-0.1836,0.1472,0.006564,-0.0276,
2026-05-12T15:55:00+00:00,2026-05-12T16:00:00+00:00,SOL,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3957,0.0643,-0.4653,0.3829,0.0058,-0.0319,
2026-05-12T15:55:00+00:00,2026-05-12T16:00:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.608,0.068,-0.042,1.0964,0.003863,0.028,
2026-05-12T15:55:00+00:00,2026-05-12T16:00:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6252,0.0852,0.2482,1.6572,0.004951,0.0367,
2026-05-12T15:55:00+00:00,2026-05-12T16:00:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6109,0.0709,-0.13,0.7177,0.00265,0.0214,
2026-05-12T16:00:00+00:00,2026-05-12T16:05:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.7031,0.1631,-0.1531,0.1057,0.003299,0.048,
2026-05-12T16:05:00+00:00,2026-05-12T16:10:00+00:00,DOGE,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.4591,0.0009,-0.1468,-0.2571,0.007857,-0.0184,
2026-05-12T16:10:00+00:00,2026-05-12T16:15:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5627,0.0227,-0.3372,-0.4149,0.002972,0.0177,
2026-05-12T16:10:00+00:00,2026-05-12T16:15:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6701,0.1301,-0.3282,-0.1624,0.003907,0.0499,
2026-05-12T16:10:00+00:00,2026-05-12T16:15:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5565,0.0165,-0.6865,-0.3825,0.005576,0.0319,
2026-05-12T16:10:00+00:00,2026-05-12T16:15:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6397,0.0997,-0.3565,-0.3364,0.004675,0.0491,
2026-05-12T16:10:00+00:00,2026-05-12T16:15:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6259,0.0859,-0.4317,-0.2633,0.003198,0.0337,
2026-05-12T16:15:00+00:00,2026-05-12T16:20:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4083,0.0517,-0.238,-0.1403,0.005349,-0.0281,
2026-05-12T16:25:00+00:00,2026-05-12T16:30:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.621,0.081,0.0472,-0.3202,0.004511,0.0351,
2026-05-12T16:25:00+00:00,2026-05-12T16:30:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6271,0.0871,0.2214,-0.0736,0.005943,0.046,
2026-05-12T16:25:00+00:00,2026-05-12T16:30:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.7403,0.2003,0.3131,0.4902,0.003258,0.049,
2026-05-12T16:30:00+00:00,2026-05-12T16:35:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6185,0.0785,-0.0363,0.4173,0.004542,0.036,
2026-05-12T16:30:00+00:00,2026-05-12T16:35:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6166,0.0766,0.1169,0.5528,0.005802,0.0425,
2026-05-12T16:30:00+00:00,2026-05-12T16:35:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5637,0.0237,0.3655,0.7577,0.004858,0.014,
2026-05-12T16:30:00+00:00,2026-05-12T16:35:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6359,0.0959,-0.046,-0.0736,0.005047,0.046,
2026-05-12T16:30:00+00:00,2026-05-12T16:35:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6291,0.0891,0.2746,0.3001,0.003056,0.0214,
2026-05-12T16:40:00+00:00,2026-05-12T16:45:00+00:00,BNB,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.2756,0.1844,0.1334,-0.41,0.00284,-0.0459,
2026-05-12T16:50:00+00:00,2026-05-12T16:55:00+00:00,DOGE,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4273,0.0327,-1.1568,-3.9364,0.007996,-0.0186,
2026-05-12T16:55:00+00:00,2026-05-12T17:00:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5975,0.0575,-0.5065,-1.1818,0.0059,0.046,
2026-05-12T16:55:00+00:00,2026-05-12T17:00:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5892,0.0492,-0.2125,-0.3404,0.006709,0.0426,
2026-05-12T16:55:00+00:00,2026-05-12T17:00:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5986,0.0586,-0.2243,-0.6733,0.00596,0.0422,
2026-05-12T16:55:00+00:00,2026-05-12T17:00:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6211,0.0811,-0.1715,-0.5024,0.004264,0.0368,
2026-05-12T17:00:00+00:00,2026-05-12T17:05:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4344,0.0256,-0.2174,0.1406,0.005796,-0.0211,
2026-05-12T17:00:00+00:00,2026-05-12T17:05:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5641,0.0241,-0.8351,0.1111,0.007771,0.0463,
2026-05-12T17:05:00+00:00,2026-05-12T17:10:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5646,0.0246,-0.3859,2.8609,0.007253,0.0369,
2026-05-12T17:05:00+00:00,2026-05-12T17:10:00+00:00,BNB,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.4463,0.0137,0.0429,0.9828,0.003748,-0.0138,
2026-05-12T17:10:00+00:00,2026-05-12T17:15:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5713,0.0313,0.117,0.937,0.004998,0.0212,
2026-05-12T17:10:00+00:00,2026-05-12T17:15:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6012,0.0612,0.1684,1.2364,0.004655,0.028,
2026-05-12T17:10:00+00:00,2026-05-12T17:15:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5585,0.0185,-0.2853,1.2593,0.006035,0.0277,
2026-05-12T17:15:00+00:00,2026-05-12T17:20:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.623,0.083,0.2974,1.1595,0.003602,0.0242,
2026-05-12T17:20:00+00:00,2026-05-12T17:25:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6988,0.1588,0.3131,1.0491,0.003429,0.0409,
2026-05-12T17:20:00+00:00,2026-05-12T17:25:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5733,0.0333,-0.0736,0.5902,0.005533,0.0276,
2026-05-12T17:20:00+00:00,2026-05-12T17:25:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6985,0.1585,0.251,1.3297,0.003041,0.0367,
2026-05-12T17:25:00+00:00,2026-05-12T17:30:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5641,0.0241,0.287,0.9979,0.003259,0.0088,
2026-05-12T17:25:00+00:00,2026-05-12T17:30:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5755,0.0355,0.1668,1.023,0.003052,0.0122,
2026-05-12T17:30:00+00:00,2026-05-12T17:35:00+00:00,BTC,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.2757,0.1843,0.1309,0.4369,0.003089,-0.0497,
2026-05-12T17:30:00+00:00,2026-05-12T17:35:00+00:00,SOL,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.3942,0.0658,0.2972,0.1694,0.003867,-0.0317,
2026-05-12T17:30:00+00:00,2026-05-12T17:35:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4148,0.0452,0.2311,-0.3908,0.004337,-0.0279,
2026-05-12T17:30:00+00:00,2026-05-12T17:35:00+00:00,BNB,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.382,0.078,0.2081,0.4402,0.0029,-0.0259,
2026-05-12T17:35:00+00:00,2026-05-12T17:40:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.7371,0.1971,0.1699,0.5127,0.002918,0.045,
2026-05-12T17:35:00+00:00,2026-05-12T17:40:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6959,0.1559,0.3294,0.0932,0.003371,0.0391,
2026-05-12T17:35:00+00:00,2026-05-12T17:40:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6563,0.1163,0.3928,0.2116,0.003683,0.0317,
2026-05-12T17:35:00+00:00,2026-05-12T17:40:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6004,0.0604,0.266,0.0279,0.003862,0.0209,
2026-05-12T17:35:00+00:00,2026-05-12T17:40:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6469,0.1069,-0.0828,0.1842,0.004589,0.046,
2026-05-12T17:35:00+00:00,2026-05-12T17:40:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5753,0.0353,0.1667,0.0428,0.002436,0.0092,
2026-05-12T17:40:00+00:00,2026-05-12T17:45:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5562,0.0162,0.2558,0.3269,0.002543,0.005,
2026-05-12T17:40:00+00:00,2026-05-12T17:45:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6429,0.1029,0.5197,0.3517,0.00324,0.022,
2026-05-12T17:40:00+00:00,2026-05-12T17:45:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6579,0.1179,0.4699,0.3074,0.003405,0.0279,
2026-05-12T17:45:00+00:00,2026-05-12T17:50:00+00:00,ETH,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.4211,0.0389,0.7696,0.2304,0.003403,-0.0303,
2026-05-12T17:45:00+00:00,2026-05-12T17:50:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4215,0.0385,0.7804,0.5589,0.002914,-0.0279,
2026-05-12T17:50:00+00:00,2026-05-12T17:55:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6924,0.1524,0.7266,0.1835,0.002652,0.0223,
2026-05-12T17:50:00+00:00,2026-05-12T17:55:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6925,0.1525,0.5759,0.0352,0.003312,0.0334,
2026-05-12T17:50:00+00:00,2026-05-12T17:55:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5769,0.0369,0.8864,0.4188,0.002949,0.0,
2026-05-12T17:55:00+00:00,2026-05-12T18:00:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5717,0.0317,0.6412,0.3513,0.002033,-0.0012,
2026-05-12T17:55:00+00:00,2026-05-12T18:00:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6122,0.0722,0.6388,0,0.002885,0.0106,
2026-05-12T17:55:00+00:00,2026-05-12T18:00:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5739,0.0339,0.7236,0.3351,0.002506,0.0,
2026-05-12T17:55:00+00:00,2026-05-12T18:00:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6852,0.1452,0.6824,0.2438,0.003238,0.0289,
2026-05-12T18:00:00+00:00,2026-05-12T18:05:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.7439,0.2039,0.6206,0.1984,0.002091,0.025,
2026-05-12T18:00:00+00:00,2026-05-12T18:05:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.7358,0.1958,0.6706,0.0846,0.002635,0.0317,
2026-05-12T18:00:00+00:00,2026-05-12T18:05:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.8488,0.3088,0.8434,0.3907,0.002361,0.0488,
2026-05-12T18:00:00+00:00,2026-05-12T18:05:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.8044,0.2644,0.6945,0.4268,0.001692,0.0259,
2026-05-12T18:05:00+00:00,2026-05-12T18:10:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6619,0.1219,0.508,0.1033,0.002026,0.0134,
2026-05-12T18:05:00+00:00,2026-05-12T18:10:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3774,0.0826,0.4064,-0.2789,0.002621,-0.0279,
2026-05-12T18:05:00+00:00,2026-05-12T18:10:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5736,0.0336,0.6434,0.5304,0.001922,-0.0015,
2026-05-12T18:10:00+00:00,2026-05-12T18:15:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.2671,0.1929,0.2871,-0.5022,0.002747,-0.0489,
2026-05-12T18:10:00+00:00,2026-05-12T18:15:00+00:00,BNB,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.3282,0.1318,0.6049,0.2498,0.002169,-0.035,
2026-05-12T18:15:00+00:00,2026-05-12T18:20:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.7115,0.1715,0.2871,0.1737,0.002182,0.0266,
2026-05-12T18:15:00+00:00,2026-05-12T18:20:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5799,0.0399,0.1993,-0.1685,0.003337,0.0141,
2026-05-12T18:15:00+00:00,2026-05-12T18:20:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5863,0.0463,0.0698,-0.2788,0.002686,0.014,
2026-05-12T18:15:00+00:00,2026-05-12T18:20:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.7405,0.2005,0.4967,0.4446,0.002233,0.0289,
2026-05-12T18:20:00+00:00,2026-05-12T18:25:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.7202,0.1802,0.2396,0.1583,0.002294,0.0306,
2026-05-12T18:20:00+00:00,2026-05-12T18:25:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6321,0.0921,0.1376,-0.0123,0.003236,0.0259,
2026-05-12T18:20:00+00:00,2026-05-12T18:25:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5554,0.0154,0.1326,0.3628,0.002552,0.007,
2026-05-12T18:20:00+00:00,2026-05-12T18:25:00+00:00,DOGE,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3394,0.1206,0.5065,0.3668,0.003493,-0.0458,
2026-05-12T18:20:00+00:00,2026-05-12T18:25:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.728,0.188,0.4687,0.6332,0.002245,0.0274,
2026-05-12T18:25:00+00:00,2026-05-12T18:30:00+00:00,BTC,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.3734,0.0866,0.1323,0.0643,0.002123,-0.0199,
2026-05-12T18:25:00+00:00,2026-05-12T18:30:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6152,0.0752,0.1327,0.3911,0.002138,0.014,
2026-05-12T18:25:00+00:00,2026-05-12T18:30:00+00:00,BNB,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.45,0.01,0.5957,0.9864,0.002553,-0.0182,
2026-05-12T18:30:00+00:00,2026-05-12T18:35:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6235,0.0835,0.1517,-0.1039,0.001928,0.0131,
2026-05-12T18:30:00+00:00,2026-05-12T18:35:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6523,0.1123,0.2102,0.2634,0.001778,0.0145,
2026-05-12T18:30:00+00:00,2026-05-12T18:35:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6675,0.1275,0.0318,-0.2538,0.002887,0.0318,
2026-05-12T18:30:00+00:00,2026-05-12T18:35:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3759,0.0841,0.1747,0.0279,0.002205,-0.0209,
2026-05-12T18:30:00+00:00,2026-05-12T18:35:00+00:00,DOGE,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4189,0.0411,0.4698,-0.5128,0.001988,-0.0183,
2026-05-12T18:30:00+00:00,2026-05-12T18:35:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.549,0.009,0.6641,1.1071,0.002528,-0.003,
2026-05-12T18:35:00+00:00,2026-05-12T18:40:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.8148,0.2748,0.1466,0.0837,0.001914,0.0418,
2026-05-12T18:40:00+00:00,2026-05-12T18:45:00+00:00,BTC,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4477,0.0123,0.206,0.6218,0.002541,-0.0121,
2026-05-12T18:40:00+00:00,2026-05-12T18:45:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5983,0.0583,0.2262,0.7922,0.002155,0.0101,
2026-05-12T18:40:00+00:00,2026-05-12T18:45:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5696,0.0296,0.1164,0.8047,0.002761,0.0106,
2026-05-12T18:40:00+00:00,2026-05-12T18:45:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.7806,0.2406,0.2164,0.6418,0.00262,0.0488,
2026-05-12T18:40:00+00:00,2026-05-12T18:45:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6908,0.1508,0.5746,0.8139,0.002984,0.0288,
